SHIR FPGA 4096 no dequant,SHIR FPGA 8192 no dequant,SHIR FPGA 16384 no dequant,SHIR FPGA 32768 no dequant,SHIR FPGA 65536 no dequant,SHIR FPGA 131072 no dequant,SHIR FPGA 262144 no dequant
9359555,16066854,33604718,65920441,129651631,294123792,653674678
9341726,16071245,33577823,66054325,129591464,294267742,648889198
9440395,15937665,33599076,66171739,129667602,295742814,652314314
9315121,16047955,33599800,65918952,129407600,293837101,640199453
9211866,16089937,33540926,65934897,129083576,294082173,633512070
9489229,16026359,33595964,66107308,129429138,294078447,636184695
9420297,15985888,33509857,66088903,129039444,293315820,647611063
9304292,16037376,33619439,66168057,129097469,291387558,594003296
9266584,16077561,33630799,65989927,129105434,291826049,596335736
9273464,16044192,33534414,66100769,129116538,291262776,592980606
9337159,16001398,33646389,65977352,129015254,291290785,595881618
9347599,16083017,33614261,66115967,129070389,291165681,604100169
9319408,16046300,33504349,65997332,129582901,291348244,591760112
9411165,16024756,33573105,65986340,129633585,291348359,588845310
9435757,15943990,33492660,66003271,129509130,291754881,585873297
9305587,16014519,33605990,65919860,129656439,291678682,583500253
9438545,15976920,33678740,66119591,129557970,291810349,581150135
9359097,16064869,33635144,66121846,129647716,291675170,634975765
9351710,16083965,33552000,66118512,129664532,291841688,583094302
9549131,16059310,33560519,66124403,129798902,293015789,635190846
9190983,16012009,33616681,66157410,129681643,293199958,581544884
9342423,16040696,33604807,66163510,129831090,293187709,589559343
9768486,15980791,33573338,66186214,129603655,293201783,629804999
9659226,16072541,33587735,66001168,129769848,293275633,585760125
9583287,16049147,33648961,65953416,129568817,293470665,628422941
9506168,15999533,33599707,66056174,129679430,293577453,598919951
9546673,16084187,33537795,66020633,129747718,293309349,636756778
9348355,16060554,33557935,66110304,129749401,293228705,609635435
9427296,15974913,33564054,66099938,129519859,293222822,628486219
9556549,16005117,33632789,65985620,129735840,293295446,619510794
9524221,16009004,33635701,65965884,129505572,293200374,632141353
9415280,16037659,33618125,65984678,129730373,294127950,611063365
9444964,16080356,33606565,66103633,129763909,293226909,632362591
9483653,16088109,33600651,66072118,129750136,293365644,611151970
9504044,16197301,33590947,66064677,129625071,293100941,638726099
9571431,16027837,33586141,66076228,129553081,293273556,618030137
9410709,16042014,33568823,66014315,129665803,293330044,634372469
9508063,16043317,33641827,66138439,129574559,293752701,617193862
9971366,16041137,33558304,66088572,129509136,293257104,635385676
9483896,16044351,33762136,65995035,129662653,293302565,622735727
9494625,16079666,33734114,66008665,129698961,293368402,635061917
9532719,16106648,33626458,66188671,129708603,293393283,623021690
9385139,16069744,33605776,66144874,129527579,293050516,635110637
9453409,16023284,33566899,66135357,129685382,293703322,623314579
9486412,16059344,33608609,66091123,129651557,293518477,632064395
9507287,16104237,33675732,66076387,129779589,293432834,623280971
9358456,16050415,33599039,66112340,129515427,293338236,632029267
9485105,16090846,33628311,66122066,129613517,294018167,622438633
9496090,15987158,33667782,65959501,129705232,293368361,631484124
9452218,16017680,33579808,66003832,130011652,293245807,624738277
9491478,16063636,33610764,66146771,129461976,293164834,631740924
9499075,16080172,33637943,65959554,129290644,293159485,623626355
9414900,16007120,33685296,66042017,129042070,293209229,631591792
9476246,16014590,33598674,66119268,129126281,293253924,634972207
9541777,16025980,33990743,66246630,129093482,292198539,631956979
9573328,16165554,33621258,66119165,129016943,291842424,624128405
9431493,16029660,33576386,66122702,129046939,291910502,630631691
9453493,16076252,33598790,66180581,129063929,292043359,614767933
9467200,16103416,33610621,66093087,128893036,291881921,631378364
9438482,16005968,33614568,66103865,129054130,291723684,624224278
9482843,16028631,33488923,66074907,129324027,291858432,633311173
9549209,16033603,33605906,65994568,129500941,291739517,628430923
9475214,15991864,33619289,66087851,129373971,291828437,631202485
9457451,16018596,33598854,66081828,129392767,291982421,624225981
9464060,16004816,33892975,66085252,129331742,291659761,631762386
10871372,16065813,33646659,65968733,129747411,291820580,624873864
9525177,16059101,33599803,66040623,130927190,292103171,632340323
9498035,16094466,33558553,66039433,129435943,291944990,627661715
9521515,16111467,33545745,66068180,129329729,291924681,632502082
9369019,15958059,33614582,66096857,129396750,291920227,624315583
9502372,16024462,33627363,66161006,129311068,291859558,631412541
9543004,16086364,33721649,65956465,129383879,291744102,624223597
9505271,16025057,33563951,66049154,129276896,291674419,689080817
9508298,16113298,33576755,66017302,129407993,291682199,624470331
9523214,16084480,33584917,66045750,129430648,291757619,631289723
9334186,16053915,33605688,65937915,129431578,291838698,623900350
9468305,16019558,33635145,66165547,129363674,291830480,631545723
9431600,16086205,33638959,66052745,129396052,291880838,628108962
9506505,16054879,33642057,66132656,129303265,291823361,631529205
9450394,16053499,33553664,66074092,129334345,291864875,624137836
9413225,15950469,33558256,66186199,129259380,291924042,696034458
9507655,16029652,33585684,66060628,129565018,291712175,623871355
9492823,16046833,33583907,66000869,129347644,291809319,631698136
9331378,16038249,33581609,66102501,129380429,291784081,638396530
9492099,16017267,33625636,65872302,129290079,291767056,631742505
9330131,16049711,33622092,66101899,129373187,291970792,627874019
9508109,16081338,33637764,66079161,129315992,291964218,631741127
9329895,16085540,33592954,66100715,129366168,291915023,638248014
9424602,16220713,33559391,66063387,129371632,291763476,660793205
9387046,16057237,33649422,66055839,129425930,291959625,615766503
9489999,16065902,33672776,66109822,129262448,291816238,635257083
12819963,16049876,33630377,66032818,129232769,291767677,717732153
9499941,16052694,33597389,66007819,129715126,291967445,630409883
9450948,16080192,33554923,66181982,130145880,291675403,620773243
9475230,16056782,33553222,65963410,129965383,291783824,659477817
9489415,16047389,33613073,66144112,130026965,291792030,648744392
9520779,16090643,33588000,66163081,129839631,292127197,636895777
9556860,15970593,33651443,66008727,130109519,292050365,623132262
9507284,16015695,33642473,66121518,129873905,291999236,639554723
9500139,15996285,33589936,66074274,129734033,291887803,688754334
9525016,16080861,33579004,66099934,129311013,291829464,629467075
9358890,16130050,33608009,66143208,129369790,291982702,624923067
9444953,15977673,33615867,66082065,129262056,291681594,632507431
