SHIR FPGA 16,SHIR FPGA 32,SHIR FPGA 64,SHIR FPGA 128,SHIR FPGA 256,SHIR FPGA 512,SHIR FPGA 1024,SHIR FPGA 2048,SHIR FPGA 4096,SHIR FPGA 8192,SHIR FPGA 16384,SHIR FPGA 32768,SHIR FPGA 65536,SHIR FPGA 131072,SHIR FPGA 262144
292980,276342,412400,507984,754185,1238412,2296079,4613908,8750342,17447568,33462974,72285517,139102857,326761723,765094183
302164,278509,406838,514257,791934,1238805,2360918,4984410,8863325,17108228,33469679,71575350,138794776,328922365,843942317
288444,294063,414563,512546,779008,1199866,2311861,4629011,8814662,16954138,33435974,72399120,137726894,326970824,765938135
389753,257646,400747,520727,775469,1221345,2353106,4740268,8834595,17053417,33497184,71878549,137727618,327654006,768334827
339244,287640,410019,509339,750716,1193174,2251395,4553392,8661394,16948024,33514550,71799243,137615429,327371462,770416916
334003,275014,399975,518761,765396,1190259,2297412,4515629,8461991,17053992,33468965,72214967,139999596,327458754,768263075
323253,276874,384758,530752,797183,1189923,2257424,4846864,8361085,18834155,33525361,71791276,137659733,327265199,767003358
332357,278273,381307,517104,753722,1206162,2304125,4447794,8563390,17012404,33522072,73932445,137744549,327804270,767263731
318993,257564,386260,508457,745257,1199148,2302396,4546419,8572896,17103638,33499620,75685612,137870110,327460573,766060981
320507,284989,367784,509578,743618,1193755,2303352,4390342,8716859,16950270,33546751,70307125,138431368,327276287,768612639
339258,273740,384013,513539,802716,1191332,2323562,4479561,8490303,17061791,33514808,70466055,137369199,327109940,772941661
320837,275728,393450,514709,778702,1197704,2314769,4834058,8558585,16983931,33547355,70776257,137403169,327241481,767340676
321606,294134,384284,506879,789595,1190579,2299961,4451137,8535092,17068603,33359754,70596001,137394246,327762910,761380186
329443,275975,376541,513898,742990,1194987,2313180,4727911,8641443,16842581,33556186,70428405,137061548,327190437,788872867
316468,276674,372067,523504,751036,1202192,2337146,4497945,8617248,17085798,33494726,70474539,137095512,327392150,760343628
335059,281082,382150,504304,752468,1211148,2313112,4460973,8534844,16923711,33516871,70577885,137299152,327439960,803187154
336819,280953,382836,506481,778254,1183598,2329916,4838403,8614013,16985013,33363980,72109640,137567367,327003970,776367926
318010,279240,373854,524831,765101,1191957,2349946,4463078,8384459,16920219,33513888,70181292,137362580,327750379,769636861
305752,274636,386416,505682,753780,1188960,2321718,4550743,8545578,17139084,33631217,70480263,137191979,326472086,763169587
324076,260441,386240,517657,770006,1208414,2307594,4408507,9502787,16865885,33501259,70518204,137147827,327443433,770358519
307926,289814,389677,504504,783790,1191032,2347641,4476942,8595623,17095624,33481530,70534966,137132111,326933574,762275058
309671,257415,394269,521491,743394,1194169,2358980,4794757,8539565,16925515,33470704,70209654,137630314,327369311,772084733
307375,276235,403369,512705,764753,1186530,2332584,4516828,8481780,17020103,33504811,70014140,137762376,327341354,762776986
306751,274158,384640,499912,752539,1206614,2298078,4514769,8706163,17003957,33476422,70358418,137476596,327623064,770772715
319150,280254,379842,509980,750848,1189762,2291768,4467540,8503464,17090332,33518018,70287714,135151438,327298276,763466593
303867,298066,379977,528332,750177,1196918,2320877,4437000,8855219,16962433,33536069,75397999,137365991,327457017,769844284
310224,257438,373349,511108,783095,1189678,2309612,4860444,8583376,17389505,33407079,74057351,137033208,327275758,763027092
323296,274778,386208,517805,745374,1211016,2320622,4454088,8478301,16882093,33465389,71635165,137832568,326502202,770820913
308149,278021,384835,507809,782673,1203841,2357360,4517418,8652620,17016245,33528356,77543024,137470873,327683809,761884730
306857,276018,387726,546607,764311,1194459,2558645,4479894,8513659,19361127,33498840,75745358,137176783,326802439,801955561
306205,275377,371928,517439,788259,1252743,2415286,4785926,8581826,16915799,33477055,79635655,135995677,327236768,763350585
310428,273426,348066,503974,789570,1253129,2384271,4666182,8421257,17480349,33537269,78588908,136941972,327124741,772324133
317929,277810,350165,512692,753384,1351681,3096036,4366201,8614595,17048655,33519411,79111762,136677368,327152867,764174531
307399,269216,347296,528549,752811,1324508,2312365,4489522,8858310,17077170,33469636,81138451,137664607,327735645,772882895
299094,257410,356627,525006,1522786,1282301,2356348,4610295,8608970,17041798,33476029,82188670,137291375,326797589,764215620
296763,280375,352436,517917,762928,1249203,2340606,4609732,8433069,16909261,33503885,81783787,137022084,326664364,772138194
299950,274466,349392,506136,786846,1236636,2282334,4986766,8365148,16895891,33522033,86087387,137130673,325902940,765131205
309781,275383,356715,515199,794405,1237993,2343085,4495921,8282767,17112353,33499385,87221989,137037628,326293514,772504433
295756,295184,333930,509871,784152,1223291,2322887,4583350,8736898,17038117,33478670,86710135,137199866,326511579,764221712
298098,275782,367901,506637,780848,1216683,2305216,4489706,8825325,17073490,33468432,86417452,137578671,326615741,772122904
311353,278635,360658,508927,761130,1219158,2360434,4527834,8517987,17054231,33538704,86793006,137189830,326337018,775858108
302716,278821,359912,507641,758308,1213217,2284809,4800425,8588670,17125554,33374448,86896404,136915266,326261316,772122098
299901,278161,365221,512373,773463,1223117,2341633,4461959,9711194,17007589,33586521,86654387,137137546,325542980,763800042
298295,275364,362994,514750,770357,1217686,2333205,4498224,8620776,17052112,33553625,87734078,136768636,327807690,772596687
300053,258687,365977,511206,773731,1209246,2342231,4769254,8916789,16944760,33393465,86456595,142461687,327324603,764885631
311136,279737,366514,517439,780405,1212101,2361006,4722740,8619494,16836681,33562529,86865235,142788462,326868355,774193258
298017,289727,369539,507476,762774,1221130,2351725,4862042,8694492,19263862,33573514,81032368,141830752,326620766,764288125
300473,275915,356444,549984,752072,1233484,2332604,4509139,8625841,16988197,33588283,81796264,141031058,326658649,771863396
299514,276184,354392,535181,816989,1201600,2363707,4551216,8478382,17085202,33518441,81852617,142339589,327541554,775174616
295662,276659,353457,504453,848754,1223804,2306603,4432973,8599074,16956693,33528903,81786151,142979008,327218206,772261548
308808,275051,333504,540761,799257,1217698,2354682,4485217,8502047,17064151,33487897,81166590,142553249,325599173,763687877
