FP32 inductor 16,FP32 inductor 32,FP32 inductor 64,FP32 inductor 128,FP32 inductor 256,FP32 inductor 512,FP32 inductor 1024,FP32 inductor 2048,FP32 inductor 4096,FP32 inductor 8192,FP32 inductor 16384,FP32 inductor 32768,FP32 inductor 65536,FP32 inductor 131072,FP32 inductor 262144
427390,639323,722303,723395,827498,1180281,1711662,7212518,12299941,25601655,46278945,142173786,147633336,255106347,471379331
426707,661465,712144,736789,901065,1309335,1734612,7780954,10564370,25295652,47127702,140321044,146682122,264221276,487660589
436556,648931,731409,720596,867120,1362699,1701356,6608741,10522435,25667519,46704851,143476165,147780678,271487495,501682644
428301,652862,711505,738876,850727,1184848,1664773,7923492,11280083,24505356,47182386,133541337,147753975,272241621,484835392
420865,654299,720718,714594,869980,1238317,1643637,6333345,17549891,26547982,46502191,132954722,144920033,266009606,497601880
440626,659699,720484,737103,995169,1206154,1704618,7292500,10711473,25270508,47247364,135313395,146973651,268548560,509701257
427038,635127,725833,713169,946952,1082359,1747273,5832377,9676284,25729580,46363275,132760177,145675565,271236476,494596510
435106,649411,713932,663692,1019046,1055468,2001893,7831837,9375063,25302911,47069553,126019877,146677878,266918072,490206668
438825,636161,711425,672643,990428,1090796,1701966,6014453,9408133,25654765,46273678,139188431,150661636,269414367,514133338
485487,660212,729796,730716,957132,1125010,1616051,7019398,10141850,25442591,47015508,141052748,144847787,260020688,497055563
434931,654689,733321,704471,975145,1223059,2403488,5504513,11239187,25661237,46433007,137342220,154475291,276781020,508941274
424595,654156,724882,730146,965721,1121930,2426151,6508584,9963954,25307308,46969658,138696671,153389647,265164982,506344471
435204,639029,722492,702765,919807,1217848,2231187,6498509,11248616,25689300,46601995,130893931,147909076,274155062,495426562
437868,669993,713815,719345,987320,1148412,2102582,8014786,10560751,25450852,47209054,135700646,143408422,277308540,499989012
424662,637237,726646,692944,950032,1214189,2028961,6112600,12658917,25628168,46507354,135417222,145174120,269853951,494380630
439958,644311,707310,699244,890737,1168890,1931447,7228575,12634373,25304710,47325332,134478538,147530827,264945702,520311301
435657,646167,724413,681981,925976,1189421,1900611,5751667,12801916,25720205,46462602,144054522,147997675,278932985,501235809
447976,653130,705558,705447,916593,1289509,1829051,6946888,12706052,25400286,47069731,130513329,160037533,284790787,505820326
436680,624215,708837,684255,891977,1324686,1920069,5355055,13229141,24689168,46411702,134570954,145879458,274919403,527972301
445939,618572,710833,714997,956285,1304323,1816506,8885976,14609577,26245314,47672612,137651762,148728426,272308084,529728513
436014,589829,688603,681747,916258,1356611,1904257,6719313,13033138,25660084,46381534,124212101,147253875,263705366,527428209
432342,633039,699680,695698,876894,1243408,1834620,7528132,12768166,25445874,46964128,138681773,144526568,278226414,522531316
447911,614177,717649,662386,897483,1350739,1764920,5857381,12754380,25760168,46507410,131660872,144630685,274751105,515783431
419585,616141,698590,692417,896654,1322652,1852568,6939216,13220383,25431339,46885414,132514035,152894577,251516862,531045635
