SHIR FPGA 4096,SHIR FPGA 8192,SHIR FPGA 16384,SHIR FPGA 32768
8436410,16046487,34180368,65753042
8374073,16161428,34023820,65677658
8153349,16104352,33982903,81820159
8083126,16157056,33903554,65913380
8212927,16095740,62120839,68379946
8114557,16041019,33900073,65750585
8089020,16026345,34184021,65575863
8212246,16116079,46182545,74318245
8253505,15920122,33843307,76685881
8208463,16114837,34235975,65695625
8070193,23747217,34259622,65819579
8358308,15993807,34313188,65690179
8323878,15935616,34194678,65861097
8219913,33836128,34564832,65994006
8766463,16062531,34553349,66180226
8107146,15994451,34754839,65856562
8051787,19685744,34347075,65906969
8074681,16008330,36756663,65796213
8136058,16219580,34365380,66352624
8241995,16160256,34212729,65731563
8165892,16116682,35457586,77418597
25355954,16077855,34003500,67049234
8053327,16594902,34521249,66419996
8012881,34550310,34120206,66740695
8003489,16174038,34523862,66560233
8274650,16052566,41878192,66474007
8225435,15920209,34506082,66637392
8227561,16140012,34403275,66422684
8092286,16040952,34156666,66802379
7990103,16076416,34158809,66753145
8088705,15964443,34090946,66700205
8118197,15926749,34204300,70981692
8279299,16192467,34173524,66897094
8234340,16162383,35001623,66908335
12188478,16173025,34690325,66458402
8281096,38555399,34142079,67003236
8247168,15967367,34108909,69735927
8075190,16043739,34205469,66933149
8100919,16045252,34172863,66840522
8184881,15907026,34243044,66900539
8052899,15953063,34222479,66728387
7904503,35116234,34187493,67114199
7907227,16037030,34196858,66975808
8191522,16149296,34047475,67022436
8026129,16066995,34124657,67029416
7959394,15995802,34286184,69323950
7909080,16836314,34472608,66583692
7983059,16049300,34120717,67095683
8640385,16003141,34196609,66928894
7953209,16112175,34219432,66506533
8276541,18350952,39547910,66586990
8217799,16051217,34238191,71152999
8086107,16123614,34347975,72108478
9752817,16117914,34197205,66722339
7984876,16193132,34428698,66774388
11071513,24558393,34205947,70569509
8250113,16025825,42317763,66752785
8394294,15927383,34008596,65969610
12944319,15999854,34204412,66457640
21790124,16108180,34006179,66462794
8181112,22178833,34228164,66412007
11231200,16039348,34227506,66392282
8323062,16049968,37976708,66554547
8204590,16006624,34200354,66446504
8116308,16121343,34201863,68160155
8033610,16091630,35804751,66108643
7963251,16078221,40056348,66046718
7883269,16092888,34242293,66085942
7981939,16113282,34611601,66086498
8165463,16235892,36297433,67223679
8146837,16117793,35980897,66103309
7988676,16123333,34044757,65918517
7934558,37444290,33978526,65975458
7891651,16036388,34111562,66096375
8104085,15978667,33992336,65993593
8060557,16046540,34204226,66217014
8017062,16107583,34127612,66025044
7829800,16154164,34989464,66055573
7858659,16118307,34137519,65869989
8180825,16249517,34116693,66010082
7861693,16034964,33947749,66946781
8198522,15927159,34262239,66171835
8029834,16035868,33960838,66019425
7926819,16043354,35207936,65787485
7890442,16004879,34033416,66093094
7902253,15978122,34133972,66315947
7905902,15976641,34203338,66143336
8179315,16279581,34142252,91777544
8113274,16164731,34204603,66047961
8034677,16152492,34176299,71159993
7968285,16079684,34160538,66535745
7975810,16005996,34263445,66333477
7999906,16426610,36076029,66157267
8204782,16255229,34231442,66124161
8050426,16001837,34161298,69587371
7979015,16051727,34310882,66144415
7923757,16001917,34291584,66047735
7860502,16102712,34069068,66195912
7869379,16033137,34272204,66008540
7928296,16046307,34234107,66126729
8250306,15948042,34235638,65790373
8389499,15978370,34351886,65745162
9235739,16049561,33994581,73146181
8201229,16066374,34238101,66223973
8045304,16154419,34199340,66395869
8095706,16123737,34190981,66280582
8106613,16141254,33935250,66049457
8003033,16063856,34158813,66379058
7909050,16123725,33947778,97067992
7849054,16126580,33861460,102460265
7790942,16147236,34076938,66052748
7773793,16153093,34126874,66278873
8003246,16134115,33870122,66122299
8166727,16022976,34235608,66277120
8099120,16165944,34230640,66208036
8061230,15980358,34147998,66004462
7985156,19293913,34200848,66260054
8414565,16052825,34227287,66179758
8112827,15964509,33939725,67126106
8242037,16030427,34174540,66216404
8110706,16003397,34153816,66316299
8641683,16110316,34235670,66202523
8059452,19520900,34232505,66185468
8074363,17904640,34280445,66285300
8292603,16015855,35455897,66232642
10382747,16820494,34122225,66205902
8196400,16133714,34119872,66222272
8109951,16069105,34101347,66461971
8051862,16206723,34181555,66246476
8042149,16136603,34086716,66335278
7944942,16114233,34128886,66206281
17426815,16093703,34168308,66272522
9483213,16032597,33991527,66271050
15411170,16104788,33902825,66709761
8103384,16117119,33859954,72769960
8181407,16860843,33975689,66127693
8419882,16177434,34458846,73642345
9272795,27602731,34425193,90972839
8036989,16209778,33753910,81983799
8023388,16166440,34498325,71087171
8324591,16197712,34419419,73298053
7996743,16166829,34300286,71974347
8069732,16138225,34097039,69882715
11323974,16243173,34276376,76841728
8176163,16259949,34095286,65738499
8161646,16239813,34385955,65719672
8015745,16171542,34227505,66131484
7918887,16063781,34377628,99080216
7841113,16000991,34457088,74744698
8142184,22778237,33930190,65393352
8138805,16106367,33880503,66025372
14317356,16172534,35588678,67401998
9816051,16195706,34342026,72183032
7980586,16189677,34359757,66454764
7991626,16724453,34000756,70979426
8294349,16113065,34293611,82838422
8207335,16182825,38117694,67029008
8069188,16295294,34507935,66369074
7975168,16153569,33950583,67303600
7933213,16110013,34796426,67317091
10996246,16132606,40611594,66169322
8405187,16142818,34387769,66236688
8011346,16061347,35385422,66033778
8152199,16293737,33766736,67294125
53287324,16125593,33883244,66437141
8296457,16041555,36220558,66533554
8215068,16063006,34425267,66573505
8152208,16067002,34162391,65818135
8166281,16088408,34143999,66064199
8143334,16449756,34223063,66042495
8096029,16343745,34080361,65988000
8029511,16011778,34529321,66198638
8143703,16008633,34496188,66153703
8033443,16641347,34487646,66281685
8227806,16244659,34127921,66547585
8228505,16066934,34017376,66122366
8152543,16231144,34157192,66022098
8089432,16817015,34456531,66153029
8073205,28872153,37402340,65974032
7988826,16301874,34369014,89857890
7993319,16125002,34360962,66058825
8050562,16154348,33996539,66651063
7963198,16214491,34374495,67234173
7976474,30862417,34321057,66347358
7915241,16261248,34276702,66272274
7931110,16249046,34360210,70910276
7948872,16194864,34169782,66314509
8008235,16255444,34163333,66179992
7900640,16127014,33953518,66747889
7831770,17366579,34415378,66339757
7780839,18876728,34361038,66236466
7764907,16125998,34380939,66209132
8670916,16056429,34472148,66268662
8198255,16221475,34429121,66055284
8102125,15975736,34330036,65996272
8018126,20462088,34389822,66537061
8101460,15971354,35020181,66067213
11424286,15983029,34208873,65986170
8654608,16013413,34522926,70105027
8095222,23593874,34205502,66115001
7976571,16155358,34509382,66178208
7904849,16078398,42860993,66444590
7870143,16138677,34539900,66637502
9499650,16085478,67212967,73128180
7920905,16909106,34494056,66105080
8156483,17984775,34235396,66387816
8158232,19483032,34511999,66150980
8052984,16065410,34517953,66557812
8050291,16058610,34477953,66524937
10693826,16134133,34534075,66379770
7943010,16089749,34482768,66610712
8034458,27752661,34572212,66507631
8164192,17455249,34500823,66486203
8096826,16047589,34455443,76323384
8071091,16084200,40283721,66404705
7996728,16026731,34584196,75590398
7953860,15951366,34479058,66234052
37232442,34768939,34518152,65884206
8128449,16079858,34510149,69340750
20090672,15934454,34623749,66473763
33451565,16003484,34472003,66213892
19423443,16140575,34312983,65929623
12349960,16067941,34530043,66397641
17781223,16082136,34490477,66148839
8190153,16057122,34701527,65778320
8103647,16089189,34478395,66005395
8005352,16008530,39122674,66022532
8006669,16374780,34527902,79341729
9262032,16043329,34560819,68211249
11091710,16010472,34581900,66258215
8836382,16029956,34531176,83325321
16463333,16210284,34657226,69374390
8167542,16154881,36688335,66648201
8141147,56845391,34883989,65949596
8073561,15839023,34551983,66081992
8168876,16137646,34565032,70016193
8367397,16114220,34462012,66075776
8247319,16082852,35141427,66477582
8199232,16175683,35227854,65756516
8198728,16124648,35002421,85145024
8151533,16065831,34990429,66534490
8574926,16096045,34923377,66403358
8371880,16043136,34973984,67152895
8415715,15989125,34908006,67249394
8196539,15935213,34985672,70095023
10810736,15992362,35043429,67325079
8141002,16026197,37805624,67716666
8857061,15956228,35070686,67322244
8234981,16052304,35103587,68474948
8168946,15977485,35093686,66890381
8135612,16011239,35023027,67578896
8193074,16029204,34169129,66498551
11809587,16023264,34414239,66629635
8065074,15997147,34425423,66759163
8150922,15991274,34409073,70103605
8265868,16087860,34334787,71411033
8127810,16116577,34440376,67541099
8154819,16021556,34430670,67565303
8214743,15967986,34487285,67249179
7984177,16070844,34396463,67305547
8524374,15990724,75759402,67323687
8119651,15962188,34374987,67207075
8134095,15930895,34400300,67211624
10058800,15963506,34334666,67219284
28568504,16002528,39308931,67274945
8199922,41046308,34525362,67282701
8231879,15881158,34500059,67048189
