x86 inductor 4096 no dequant,x86 inductor 8192 no dequant,x86 inductor 16384 no dequant,x86 inductor 32768 no dequant,x86 inductor 65536 no dequant,x86 inductor 131072 no dequant,x86 inductor 262144 no dequant
16523905,27213623,49758841,88489214,161193338,299228021,626557514
16503344,27195527,49687536,88580970,149911088,298470864,637055591
13976417,27267527,49728628,88736205,159983388,288188036,708889411
16691465,27524786,49994255,88849030,163734815,303867844,649337842
14578465,29375797,49799599,88532275,156678504,265116981,728104612
12648009,27438588,49875408,88548569,165254452,292141080,749276884
16315764,27200413,49648237,88731375,155093834,297643417,688032562
16438604,27195451,46959643,88610720,164422923,290859943,652568768
16446524,27618996,49820159,88492086,150083668,289426781,663062756
16339075,27214793,49545666,88742151,162407884,265605748,649024891
18444520,27588944,49734589,88730837,155561430,287318443,702407131
16513430,27358446,49808790,88720665,153551860,263016885,734586753
16305526,27215391,49841305,88892522,164007747,289238745,566315880
13878391,27314791,49747112,88645572,161757677,291452769,695418103
12702748,27347887,49936916,88600366,165303822,254347888,718496341
16360047,27184483,49796935,88570506,165343353,270038262,653240032
14536653,27167143,49640673,88998142,160391284,294650198,675238786
13188961,27289108,49737540,89063547,164532980,270530744,652027963
16332007,30112534,49537372,88570317,153151231,295561125,681551352
16295379,27401739,49832472,88535626,160819352,291049616,680311283
16634113,27522576,49794542,88897266,159993002,292681383,652853054
16064985,27375719,49905351,91314829,168440819,292510948,715930323
13561398,27316865,49738285,88675041,160999981,290778461,649395654
12380209,27444578,49922896,89053546,165181155,270977882,645322118
15914302,27278394,49653542,88678694,150654891,292346137,799653958
14905344,27961378,49814312,88886154,160614046,288134867,656821798
12468001,27552206,49851708,88519075,160752683,299592252,639690518
15995489,27476622,49699457,88607953,161123530,271930085,786960186
15989689,27415162,49642753,89309511,164825945,289818331,721751568
14165840,27679810,49755009,89356338,149895258,267782252,627821884
12812867,27483102,48352485,88773074,158006272,265890381,592048279
15706215,27304679,49885654,88846791,161235893,273601510,652113966
15732598,27309587,49874168,88461601,166254969,265772438,717993740
13319331,27380215,50224334,88668356,150379945,269254452,743531152
12345246,27222360,49724257,88898259,161077029,273350995,719079348
15794555,27470855,49891226,89033745,154998961,269677176,679754950
14973384,27334425,49855207,88528818,150334818,270936407,613144435
12508551,27420828,50400134,88859707,160525096,291575457,678747575
16177759,27379590,49935669,88712191,155838173,291194718,616015079
15199501,28714708,50097230,88797785,169622338,261881089,676159831
15250270,27582891,49848184,88733176,167194047,272567913,700405602
16258299,27644656,49894070,88534436,144476719,280623409,741246792
16955752,27236694,49793392,88495022,163886377,290693148,773419960
17116858,27345908,49825693,88996784,159010872,268210136,729741506
18157500,27383819,49718771,88639496,153948753,293990079,744179913
15596962,27370828,49725521,88700137,149659074,294572430,762588739
13577466,27341136,49736953,88592361,162138557,277532696,737463945
15772271,27367102,49946358,88767747,169779522,293607710,747188122
13784102,27427917,49833593,88804928,153346996,278625246,690473650
15400282,27560513,49719402,88747992,169585539,289633271,705152104
16039270,27349612,49721440,88737528,156431475,273993027,684757692
13289321,27345859,49669506,88442605,167090564,280014945,714465887
15869904,27635910,49764581,88811926,161550959,295393442,692323185
14057048,27311855,47638416,88632594,169125615,293292740,696743560
16198127,27325838,49855702,88649658,161470621,291592831,693658799
16044133,27403297,49708211,88634039,164841862,289106859,725484711
15983161,27366267,49852500,88602022,153491601,291303252,651792860
15940750,32539808,49811736,88461323,165787603,279159369,714303388
14124737,27531809,49677251,88479446,169811084,275670294,672991483
12731119,27312146,49772498,88525922,160847491,274435508,706162672
15853761,27256109,49737155,88809274,159034821,290791305,728952854
15939582,27426395,49850479,88825211,168641680,296781236,669794130
14203008,27571954,49854331,88780981,157959729,286387163,684038435
12814250,27696395,49981101,88578659,163795945,285093150,732735496
16030210,27353913,49687291,88475635,164737709,287755022,891736005
16026021,27346021,49896217,88821243,158755866,293504478,709161773
15956676,27318524,50188823,88545178,154970232,273401694,638777672
13656145,29786661,49853567,88630602,163685317,275230838,727749316
12196749,27706788,50523228,88295214,148816951,282303396,718345756
15905363,27427024,50104476,88878639,163703644,278665542,714774043
13756629,27411104,49817629,88892213,165045820,264601052,826386118
12315120,29614376,49711034,88667753,156033938,273682692,736878296
15995491,27290247,50136443,88613598,164512754,267533756,663302661
14223348,27371576,49972240,88642894,161576613,279027306,684331273
12774232,27413485,49784946,88312364,149996806,273143068,677776366
15388032,27342904,49870177,89070745,166281806,290784217,690943217
16022249,27407865,49820110,88673476,151399155,291608071,752142648
13668604,27401391,49853363,89684159,152643765,289531500,693718801
12600243,27417472,49906901,88483983,167716598,292147691,705167084
