FP32 FX b16,FP32 FX b32,FP32 FX b64,FP32 FX b128,FP32 FX b256,FP32 FX b512,FP32 FX b1024,FP32 FX b2048,FP32 FX b4096
22461,76147,81721,96783,130648,171347,214661,354423,871624
22166,76762,82194,97446,125735,165135,208429,346954,840736
23071,76966,81564,101262,128786,165901,198195,346740,857868
28416,76870,83374,97808,137789,174270,194957,342051,833536
23401,76832,81779,100594,139288,166062,190707,345261,855487
23744,77206,82362,97532,132895,176483,185739,365285,850381
22989,76651,83113,99622,138850,174794,187348,353638,864254
23423,77042,83664,97557,128298,164214,185150,349298,865075
23045,77225,82341,99148,134007,165295,187915,375977,894642
22890,77491,84672,101876,137184,175281,189512,342196,844454
24140,78053,634888,98690,135927,165587,187110,343467,850434
24541,76999,88422,97692,138570,176113,186540,353496,853731
22847,78203,88334,96247,138580,164290,185772,362874,850110
32448,77732,88254,101138,127786,165236,183614,349176,857135
28757,77132,90752,98240,127751,177103,188773,353363,814431
24497,77602,88668,96674,132610,173425,181220,533376,838530
23792,77055,88967,99071,128997,164120,186432,387954,869668
22373,77019,88740,98498,131655,175371,184349,366728,855023
22877,76694,87846,96969,127209,164553,179966,357431,815071
21820,78265,87769,99624,134611,173902,182200,354379,871010
22181,77733,90385,100115,140021,163702,186626,349872,895936
22538,76528,88866,97370,137922,164629,185127,351908,845260
22262,76876,87087,95605,138941,174515,185732,361035,882579
22831,78866,81421,99200,135710,172523,186202,346140,844541
22113,76891,82843,99758,134506,164053,190050,359328,847254
21935,76799,82416,100124,136971,164967,183820,340009,840106
23681,76927,85924,102282,126098,181086,184609,347240,887133
23132,76947,83263,99352,130808,169074,183422,350142,867618
22460,76092,82963,95973,124639,164985,187667,361298,847024
22268,76425,82991,102217,128191,170765,182944,574629,796819
22282,76874,82252,101969,129504,164685,182589,384399,782934
21712,77208,81978,97575,126763,170086,182331,358685,857152
22494,77007,83106,99782,127806,175296,188898,337818,903404
22623,78349,82776,102162,129315,166493,186429,340002,856200
21621,77693,82041,97302,127200,168643,184974,356902,863468
21925,78204,82847,97452,132762,169560,183425,367334,826671
22071,77150,82450,100987,134714,164075,182029,345769,852961
21971,76934,82267,97388,140805,176454,185061,361152,851462
22840,77539,90526,97184,138564,167351,185042,357991,884796
22457,76765,82581,96772,131464,165602,183552,355181,845436
22836,75758,82392,99838,135872,174615,182486,359491,857802
21717,76596,82062,98978,134000,163253,188583,353831,846798
