FP32 eager b16,FP32 eager b32,FP32 eager b64,FP32 eager b128,FP32 eager b256,FP32 eager b512,FP32 eager b1024,FP32 eager b2048,FP32 eager b4096
13468,31017,32502,42498,61107,130906,175005,527616,843591
13126,103041,31612,42361,57768,130251,172961,354102,838502
13329,50447,32072,42622,59508,131591,178111,338181,848477
13515,29793,31360,44492,58395,131014,173734,340422,831991
13206,46506,32457,43558,61961,128193,173081,359962,850091
13539,49701,32061,42602,63912,129951,173602,344079,840013
13229,34984,32840,42269,62392,129734,171432,334174,840023
13448,41172,31882,41843,69709,127730,170491,348900,763011
13430,56070,32822,42932,64690,131334,174112,347768,873810
13402,44520,32687,43479,75848,129731,161695,346543,784488
13861,45806,32350,43242,67350,135368,303366,338677,808614
13413,28228,32273,45151,70027,135915,175861,359157,835758
13637,70689,32102,44007,66715,128191,182013,360763,813993
13774,48078,32303,44711,62799,130971,175951,351176,728666
13337,27981,32184,45000,76115,132361,181808,348664,810382
13367,39378,32371,44761,63774,130526,178138,343941,891512
13518,40823,31689,43912,68466,132304,174718,503109,820084
13453,49463,31928,43573,71201,129400,172218,365184,822540
13261,48263,32074,42896,65325,139977,172544,354920,744754
13972,28894,32333,41846,77508,129424,172263,345802,762398
13672,48112,31798,42376,81490,141898,173243,350729,748144
13419,48810,31958,42804,80734,128595,172400,351257,772591
13355,41225,32427,43268,76451,129825,172196,351187,750947
13424,43961,32105,45583,2366062,137594,176639,354032,818841
13515,41299,32267,43876,335267,130084,172252,353366,823595
13472,48376,32197,43195,1729954,128901,179664,351246,798217
13304,48067,32222,40195,71901,138635,174574,355362,828273
14056,30112,32274,39760,70479,129233,173404,344058,826397
13562,47925,32074,42069,72196,133267,170761,337434,843490
13223,26991,32246,41957,67054,131602,171726,344503,817573
13735,26500,32159,41655,65660,131686,179303,545627,823887
13282,25531,33943,41076,60035,138088,176930,366517,805424
13451,25994,33261,41893,604969,131505,179893,344032,799424
13432,25818,32035,43755,68035,128361,174403,343181,850131
13207,25608,32613,43755,69325,129642,174230,356003,741127
13280,25840,32323,43190,87718,132211,190156,354558,813873
13720,25580,32953,42637,69545,129544,182701,351089,699315
13560,25695,32554,41309,64174,131472,176769,332861,814170
13450,25746,32232,42086,67877,129936,178732,330518,810168
13754,25051,31843,41836,69310,131029,175789,387280,807658
13497,26011,32217,41856,176081,134918,171494,329264,804941
13274,26162,32340,42803,85125,142553,171737,348553,812872
13432,26339,31586,42489,69395,136907,169658,351681,817860
13532,26806,31394,43993,68213,131751,169034,356163,792769
13385,25991,31862,44826,78721,141065,172434,351174,851301
13305,26268,31797,43788,751492,129130,169615,523639,839799
13707,31294,32115,43024,241558,132764,166789,369738,810481
13382,26387,31800,42981,77434,143583,173942,344318,823467
13619,26432,31878,43360,70787,131980,187770,343530,800892
13703,26222,33297,43494,119813,132030,184306,343992,783483
13767,26038,32178,42340,341908,129884,176872,339045,830361
13478,26194,31871,41092,890209,131797,171700,348937,845556
13376,26224,32013,42013,93779,131266,169551,346458,821567
13305,26213,32110,43899,85882,129091,167928,356707,821293
13574,25523,32518,43289,79074,135747,169410,355534,784940
13461,26384,32153,41882,79421,130419,172224,344469,823425
14072,26082,31562,42546,74472,131713,169529,350897,820240
13180,26267,32690,43294,80903,134549,169027,351360,809072
13553,25699,32115,42756,85623,130527,174077,349571,745189
13618,25786,32003,42353,79210,138917,172401,345710,827161
13491,26263,31535,41237,73666,131106,169658,348523,820653
13402,26580,32428,54643,82381,131862,172730,495079,801458
13543,25882,32777,54336,102244,132822,168839,353375,842773
13505,25524,31977,47472,633451,128715,174528,352875,832815
13429,25257,31968,42778,79314,130662,169068,339094,820573
13444,26033,31983,43651,78682,131889,169854,337214,770960
13286,25788,33491,41952,72886,135298,180891,325896,801153
13440,25730,32042,41146,78548,131040,178736,345880,801624
13213,25706,32386,41341,77022,129629,172766,339148,785132
13560,25388,32479,41784,79421,139257,174005,331549,807766
13357,26206,32462,42517,3100203,130988,168767,344054,840219
13460,26179,32461,42753,181654,127935,170785,340952,828067
13312,26254,32492,44819,90113,132042,191002,348463,806147
13419,26121,32227,45292,84043,128936,204591,360314,694472
13606,25666,32483,43227,80921,135063,214130,354085,831741
13394,26216,31528,42864,80344,131946,369837,502224,822289
13399,25785,32191,44310,79577,135991,184319,355843,836197
13660,29885,32034,44075,78327,131133,180278,359337,868037
13466,27230,31975,42525,85063,131916,183991,360424,817221
13589,26858,31960,43185,83452,131104,181818,329600,817313
13469,26544,32768,42958,133346,132281,173485,332438,835447
13584,26943,32603,43232,78473,129001,174499,355473,837589
13371,26617,32355,44466,75186,131690,172719,332220,826757
13562,27011,31673,43589,71534,129751,169378,342213,869113
13580,26108,32430,41663,84753,127491,168914,350239,742652
13578,26392,33106,42106,80308,134800,171895,342617,792976
