x86 FX b16,x86 FX b32,x86 FX b64,x86 FX b128,x86 FX b256,x86 FX b512,x86 FX b1024,x86 FX b2048,x86 FX b4096
1415983,1446672,1585293,1531938,1648989,1804478,1246441,23393547,4833534
1425412,1440377,1517597,1526016,1653768,1805606,1189228,12249697,9640738
1418523,1555423,1482060,1535496,1762704,1804718,1213174,3941668,8397054
1418404,1460704,1483687,1529188,1652449,1802666,1197572,25632453,4883938
1426958,1443547,1488571,1535061,1654553,1808234,1270053,13586270,9607816
1422266,1448969,1512144,1545277,1688587,1889120,1189920,4119533,8353163
1430368,1444721,1484631,1549519,1648233,1864786,1218844,5756039,4821541
1418782,1445789,1493953,1538813,1645491,1800654,2283251,4750297,9807543
1417929,1448104,1484282,1536655,1687304,1800813,3167480,2479842,8489669
1431262,1441383,1483519,1539670,1651484,1857395,2920353,4790031,4979645
1423011,1515419,1591744,1543129,1650005,1782332,2500737,4719268,9315045
1543203,1551536,1500305,1544437,1641822,1800648,2471844,2736615,8393093
1434897,1454784,1505893,1534886,1648446,1784691,1965154,4685479,4967268
1426734,1448687,1492850,1535048,1645095,1805411,1811050,4706217,9398060
1427284,1461197,1475606,1545587,1762540,9317526,1641059,2600963,8893181
1422510,1447177,1477328,1556839,1654511,12705716,1560309,15739294,4629707
1443809,1458193,1471718,1536925,1652710,8980836,1411563,19819642,9898324
1423121,1437776,1478724,1549380,1661918,4271551,1334843,3988887,8539553
1424460,1454135,1478452,1539071,1764605,2579501,1293418,16017259,4838764
1426212,1447219,1485799,1546706,1655003,1892461,1250079,10950236,9680732
1429258,1451759,1579609,1534974,1668666,1877844,1229482,4025118,8546912
1431187,1454550,1479395,1697216,1657173,1840261,1230907,6057046,4790168
1425568,1554093,1474158,1536077,1637556,1842852,1198159,4725654,56353169
1421533,1459573,1484112,1539600,1644046,1815311,1245517,2679968,35357266
1432749,1447920,1471863,1526421,1643315,1806972,1203114,4840767,9815789
1533487,1459983,1468981,1550785,1643447,1813462,1227962,5298779,14223297
1439363,1444881,1463264,1537483,1637256,1802402,1299848,2646055,9440668
1422006,1453851,1467834,1516143,1638593,1811084,1236574,4861413,5068843
1430530,1447150,1489712,1546091,1644432,1791001,1273661,4615262,22769026
1424037,1446212,1585336,1541174,1760263,1812983,1196151,2562032,10782206
1422600,1454987,1492266,1542850,1651475,1786483,1259150,4945941,4799448
1426790,1444510,1471136,1550235,1663003,1845524,1259594,4756281,9693020
1414280,1455424,1487944,1531650,1659307,1799140,1183068,10695351,8334946
1411521,1447802,1460699,1532134,1649478,1808084,1236011,27651898,4737922
1413750,1468565,1479303,1528749,1768953,1808651,1196586,9208562,9358761
1504106,1444070,1470940,1535481,1653472,1794926,1230836,9488577,8765538
1427520,1442724,1484793,1552780,1656738,1802168,1217868,13456175,4675477
1415583,1441090,1463511,1547658,1644692,1810594,1245037,7384831,9424803
1420907,1446750,1494667,1540847,1638954,1799590,1228739,3087287,8559486
1414792,1453857,1481164,1549685,1642191,1823765,1228491,5022115,4349434
1411611,1438401,1603392,1525644,1764922,1809029,1356240,4608742,9389314
1411392,1451169,1482616,1530994,1651224,1803379,1199534,2892471,8340578
1409498,1446775,1498576,1549915,1652974,1801643,1221620,4779895,4839438
1417276,1452766,1478426,1533466,1653354,1822082,1269392,4589254,9656244
1409767,1437900,1491461,1640854,1639326,1828339,1220680,2755290,8691394
1401686,1549909,1470157,1547801,1765523,1797515,1228808,4813291,4963611
1423199,1451890,1486392,1535746,1655012,1805039,1199341,22249058,9448115
1404773,1450116,1465134,1544576,1721540,1817496,1265896,11749857,8501456
1530660,1456911,1478538,1542898,1821460,1792482,1216929,18670449,4745488
1416143,1448433,1583538,1539896,1666489,1799415,1207389,8646621,9655767
1413457,1456229,1486560,1541091,1662125,1797270,1336152,2978907,8385668
1421166,1444467,1474204,1547775,1651409,1799660,1213936,4789967,22249401
1405599,1445877,1554118,1637029,1651550,1794393,1216389,4686261,52132529
1407721,1439969,1466626,1554468,1671012,1827618,1253263,2587644,18338641
1411192,1443326,1478320,1523592,1645998,1790628,1209058,4980231,7893114
1419604,1447497,1469066,1546123,1637316,1800369,1217617,4588929,12548340
1426813,1441336,1478814,1548914,1650230,1791886,1185759,2593442,8466901
1421399,1560368,1466035,1533760,1640541,1841623,1266713,4679774,11373460
1414283,1454703,1493960,1533020,1648330,1795754,1237527,4670740,58107932
1400633,1458501,1588964,1541886,1643291,1792391,1288599,2511334,21299659
1403137,1450254,1481403,1546579,1643679,1809249,1332914,4711306,20279607
1515606,1451112,1466788,1526152,1647633,1841052,1229081,4987102,18816723
1410794,1438959,1479429,1532957,1643119,1815358,1265025,2557117,9102840
1416035,1450870,1465932,1534318,1647261,1802828,1202548,4687693,4760495
1411145,1455883,1473603,1522359,1648708,1794083,1245326,5218545,34252729
1405010,1442203,1481552,1543537,1646926,1796304,1331664,2620495,31894591
1419668,1458970,1486272,1528170,1630547,1795295,1276664,4645714,13998302
1419506,1443542,1479739,1646994,1627251,1807394,1231780,4656723,67307908
1423995,1464816,1479783,1527679,1634211,1910600,1256845,2661535,38820543
1404378,1439101,1580029,1532615,1644013,1807920,1241884,4950060,5994121
1410588,1462143,1478329,1539011,1636271,1796414,1342837,4537965,55366947
1418852,1443431,1480560,1532631,1642193,1805942,1215510,2519983,25286769
1416237,1444157,1475244,1529673,1735813,1788393,9982143,4760215,6274271
1530509,1448637,1479486,1534437,1642693,1784607,14020517,4587645,24763856
1413558,1449505,1476325,1544335,1644109,1784742,4672428,2497640,10324804
1412872,1451666,1471765,1653638,1650948,1899091,2576829,5271082,4833319
1430239,1445825,1466888,1537507,1668601,1781893,2525527,4842670,9970578
1412417,1450335,1480642,1530898,1650053,1807468,2573453,2569549,8671711
1418651,1447927,1572443,1527463,1648887,1788874,2557632,4798276,4939861
1422055,1560503,1479441,1536447,1645664,1806396,2264646,4929194,9939061
1418593,1457327,1481322,1519258,1655512,1788233,2174237,2563352,8555245
1422986,1440821,1475678,1531602,1652255,1808690,2358580,4733597,4820341
1428261,1455698,1474036,1536027,1649436,1806691,2227455,4485300,10703654
1425525,1439167,1474676,1646068,1636414,1797320,2200366,2560030,8719451
1425500,1457183,1473690,1548638,1643238,1773589,2228358,4623744,4900764
1413118,1439505,1474233,1538628,1642143,1800862,2279969,4632347,10186536
1539566,1460953,1481106,1526099,1648193,1795246,2485144,2575233,8956793
1421091,1451390,1483911,1548494,1646818,1782866,2594392,4766099,5040808
1433960,1444858,1478599,1529266,1643225,1793036,2583129,4507054,10026266
1420043,1443592,1483826,1521657,1641332,1820857,2584017,2591969,8690483
1423338,1563816,1599958,1546163,1652999,1802662,2538983,4965563,4675539
1418104,1454097,1489744,1522933,1652751,1792963,2517001,4634426,9648197
1413966,1451813,1462904,1645627,1651921,1790023,2522119,2625905,9033125
1411468,1469768,1484050,1544216,1646576,1848335,2591700,4939545,5067645
1410015,1450469,1471310,1524561,1650734,1838521,2563714,4688603,10370438
1403180,1452274,1492940,1538840,1654483,1807330,2556112,2456427,8108820
1418307,1447619,1485919,1543830,1644788,1820423,2622162,5019593,4884310
1413622,1437647,1483278,1533765,1644844,1812885,2534256,4641066,9813450
1430960,1449882,1583954,1633632,1663407,1830399,2550903,2465898,8603975
1407656,1443686,1487034,1531853,1641368,1802047,2581144,4787323,4133314
1410795,1461113,1470450,1522093,1638557,1802708,2613493,4928338,9830981
1409923,1556273,1469879,1535632,1639861,1831163,2529465,2586368,9157724
1404572,1463412,1461472,1529828,1637504,1805811,2556833,4672506,4576632
1417118,1444569,1469584,1536608,1642731,1811498,2555791,4502214,10528451
1410048,1457828,1474386,1542474,1653031,1786182,2560614,2725179,8509265
1406836,1445992,1469953,1527487,1648402,1812361,2573753,4684226,4746957
1422094,1448087,1477014,1646065,1653238,1783430,2574214,5185567,10022401
1411922,1443724,1470405,1547990,1645306,1808798,2529522,2600183,8820132
1433609,1448180,1485495,1538050,1648280,1795665,2623716,4946909,5010489
1407113,1453029,1480295,1543399,1664872,1823853,2544233,4540315,9889479
1524364,1448055,1477808,1537948,1639470,1799080,2557018,2509046,9053016
1414353,1449222,1463976,1539956,1642680,1814125,2573783,4838554,4819235
1424400,1451073,1468527,1541983,1645884,1831759,2548058,4509800,10024965
1432981,1543805,1465365,1545740,1638915,1804723,2521164,2558492,8859056
1419758,1449907,1481755,1663844,1643502,1800468,2560681,4727667,4901891
1401862,1449795,1466628,1547395,1643814,1815196,2611048,4790133,10476806
1410797,1448288,1484651,1534374,1648145,1798040,2554004,2649301,8458739
1411129,1442964,1479401,1522942,1640255,1823318,2574960,4656565,4923741
1420186,1449600,1504634,1532966,1657313,1796335,2508319,4952935,10108351
1410486,1442172,1483466,1526639,1651994,1802535,2562932,2599494,8807991
1409696,1456702,1496115,1523876,1660297,1799657,2573412,4950293,5163655
1412790,1441738,1478651,1537778,1656875,1820402,2561602,4546848,10216469
1416466,1454223,1489613,1539843,1804070,1792674,2550412,2715023,20863429
1525532,1447210,1487335,1533034,1647599,1801144,2341298,4975649,12001933
1407736,1549362,1492471,1532470,1649271,1796591,2371339,4590366,46526735
1411168,1449794,1478045,1538436,1642091,1857867,2318150,2770712,24426583
1418087,1441060,1484144,1539452,1640668,1812957,2456675,4646131,6801977
1405653,1451872,1603864,1549791,1638717,1804546,2503947,4535567,11139287
1420933,1445420,1495212,1538116,1647083,1803845,2533385,2536500,14415327
1402260,1451582,1477691,1541383,1650561,1781554,2549733,5065924,15984090
1408029,1439862,1496553,1554838,1639430,1801492,2628937,4822623,21172782
1406611,1448711,1488461,1540009,1637230,1792408,2576589,2566950,8888632
1409270,1452363,1493640,1543559,1639658,1816366,2536607,5029087,5191484
1428259,1443426,1483599,1546406,1646579,1798967,2569919,4680852,10690039
1418239,1447032,1486229,1534967,1649820,1791319,2578833,2683545,8838194
1526917,1550732,1472722,1553972,1645795,1801258,2602222,4809820,4856583
1422090,1456975,1494017,1529991,1651947,1772179,2571567,4711965,9652182
1403612,1447469,1581599,1655992,1647629,1805522,2500841,2538945,8966356
1421925,1452449,1494827,1554113,1650272,1803205,2720492,4839656,4202986
1423360,1445243,1480407,1539632,1635116,1823176,2598732,4608845,9843177
1424966,1452635,1498734,1537528,1642255,1800102,2521942,2611675,8798334
1420071,1443282,1478054,1535859,1637575,1811010,2609599,4624914,4653021
1411611,1433926,1487693,1529518,1655234,1802849,2524079,4610984,9944776
1415493,1452880,1480490,1544416,1643758,1801702,2537046,7093311,8522316
1407088,1444909,1492487,1546237,1646044,1780232,2572339,29511760,5031294
1416558,1455619,1481805,1550589,1648847,1808693,2616974,11517741,9689712
1405515,1447826,1487592,1542300,1640728,1855073,2383536,2850264,8637139
1419294,1563078,1491331,1553679,1650349,1802304,2367787,4713630,4852030
1534361,1457412,1493853,1533456,1646089,1776707,2298855,4688104,10014286
1421353,1445243,1488942,1548039,1650258,1796457,2399562,2672601,8713744
1437626,1451670,1489305,1533782,1646302,1846778,2346181,4757401,4798804
1420394,1446618,1485794,1536304,1647817,1782073,2344496,4513644,9990125
1412816,1457572,1483364,1546717,1648270,1796465,2341786,2478394,9044667
1426125,1442477,1488609,1550423,1656854,1795748,2577999,4870913,4853217
1419460,1455265,1485428,1545335,1642199,1796968,2508993,4687150,10220645
1416266,1443359,1490624,1544883,1636152,1784021,2556515,2506087,8515474
1409493,1456133,1594179,1536510,1639776,1796151,2572499,5022036,4719928
1407777,1442274,1503834,1534484,1640982,1839393,2564182,4686402,10006270
1416783,1546050,1480960,1545302,1643949,1797188,2432005,3010522,9088451
1406345,1445864,1485866,1538304,1640086,1807704,2535510,4982589,4856105
1528646,1442570,1477326,1635756,1646343,1830221,2640553,4577443,10381263
1411941,1448145,1493251,1538136,1652027,1797570,2389537,2477190,8509098
1402726,1448984,1475467,1526924,1654854,1799570,2320001,5790729,4398165
1417366,1449103,1479279,1524768,1658970,1799383,2290163,4692135,10205497
1408659,1446451,1482627,1538054,1660793,1796567,2293070,2539267,8629388
1414929,1455657,1496303,1534294,1721308,1793228,2347674,4590920,4793364
1415430,1448725,1597401,1542761,1660782,1771594,2192472,4855298,10110091
1407259,1441069,1492996,1528919,1643740,1839263,2261615,2509825,8941369
1412324,1447131,1474923,1527068,1666655,1793684,2602710,4899221,4771053
1416358,1438222,1487493,1546226,1644059,1832225,2565985,4826322,20140541
1419992,1560194,1483926,1535563,1635151,1863548,2516731,2724554,10492248
1408688,1444580,1486802,1542564,1641820,1813239,2543386,4677108,4793901
1519735,1455554,1484712,1545074,1646138,1777531,2615627,4525717,9686448
1423197,1450434,1492076,1532358,1646503,1785169,2523166,2686393,8559999
1412904,1457681,1485845,1527043,1639071,1803605,2590524,4643652,17109036
1419385,1437093,1488392,1538933,1660588,1799009,2521402,4663040,41240989
1416078,1441368,1488715,1537971,1656374,1785847,2575123,2757809,44212262
1408911,1445192,1471919,1533964,1661480,1791487,2558168,4994264,9416832
1420314,1443615,1474287,1534413,1658662,1800523,2556518,4548042,16244512
1398782,1447247,1483712,1528326,1658588,1786047,2570294,2572827,9437627
1415171,1550097,1473157,1532437,1654164,1804589,2603201,4675797,13368952
1407051,1455990,1480343,1548220,1652777,1810620,2526834,4615753,31467690
1405008,1447393,1477020,1534072,1651249,1814367,2331233,2576254,33106230
1413431,1451420,1483148,1640748,1650966,1800147,2440455,4705892,6787510
1407743,1451208,1486010,1544637,1651258,1816602,2381420,4552182,15536828
1518437,1442849,1481687,1539415,1646801,1801907,2391327,2602735,8565559
1410634,1458221,1600244,1553483,1658593,1856726,2539333,4674242,4664622
1405460,1435150,1487475,1529443,1649543,1798611,2597046,4706140,9941368
1419259,1457157,1495325,1541312,1649293,1803047,2555446,2560477,8906971
1408582,1447091,1480890,1546478,1643619,1800969,2573491,4697628,4966521
1421590,1457904,1493049,1535241,1650505,1805724,2594998,4809230,9992253
1399919,1447293,1492542,1656794,1640546,1798671,2565662,2488802,8669798
1413152,1476789,1496539,1558054,1647488,1782401,2581287,4916433,4901887
1424370,1459912,1479238,1533634,1660635,1801983,2527800,4817564,9917481
1415098,1452935,1495518,1537741,1653319,1795258,2558098,2652264,8727661
1428341,1459903,1591852,1548254,1653466,1820178,2559896,4700755,4373717
1411543,1448846,1497240,1532527,1661626,1795135,2604956,4518225,9696304
1514582,1447183,1476854,1546626,1657050,1813186,2508816,2727076,9047289
1430847,1442200,1501125,1550313,1641759,1795424,2620392,4802208,4679412
1416388,1455626,1483124,1551847,1644324,1921429,2555334,4925906,9615340
1424316,1450766,1497494,1552184,1649396,1793656,2539353,2536377,8611518
1413198,1442152,1481161,1542725,1650383,1811382,2554417,4688733,4555750
1416299,1446667,1494107,1535207,1644015,1799883,7423046,4571913,9980246
1410861,1550930,1481848,1545727,1645065,1817555,16498797,2538542,8677522
1413333,1464266,1493812,1535223,1647388,1799223,4727532,4829157,6252957
1423579,1448674,1594497,1538199,1652101,1812167,2442657,4697423,11075492
1414429,1456709,1501176,1547183,1656337,1797665,2389451,2644073,8403262
1406581,1446869,1481924,1657611,1654175,1811528,2409833,4799160,5132423
1424241,1446743,1500001,1535017,1664131,1797765,2394702,4691594,9706954
1410296,1447603,1473448,1544701,1676833,1806307,2390050,2554055,8842813
1521554,1446513,1486061,1535021,1660867,1795714,2409593,4739711,4511243
1414705,1445437,1481280,1536528,1654581,1803447,2332110,4557604,10003360
1405908,1446626,1489199,1553961,1661341,1807947,2373941,2518254,8998313
1409844,1457878,1480375,1535858,1643842,1788783,2559704,4936004,4580266
1410181,1573767,1484764,1640926,1657802,1787737,2591779,4583152,10527038
