x86 inductor b16,x86 inductor b32,x86 inductor b64,x86 inductor b128,x86 inductor b256,x86 inductor b512,x86 inductor b1024,x86 inductor b2048,x86 inductor b4096,x86 inductor b8192,x86 inductor b16384,x86 inductor b32768,x86 inductor b65536,x86 inductor b131072,x86 inductor b262144,x86 inductor b524288,x86 inductor b1048576
170966,232314,204122,281374,241643,296670,376589,554257,655043,1235001,2002014,3337930,7837985,14235217,27397213,51236761,100904339
179650,241296,213928,280633,248252,282405,416081,535365,614143,1349346,1960712,3302243,7907686,14130502,26347793,51189116,98620670
171365,230195,206110,288168,262555,270365,384071,484918,617786,1236249,2027824,3340118,7869787,14230985,27963981,50540228,98748041
171708,230125,215197,286710,247341,258903,424871,532267,589148,1115022,2094372,3645369,7706803,14296453,25745539,50836133,100457038
173806,237488,204226,279961,255514,270809,351761,512699,675303,1148796,2102840,3640805,7865715,14213763,30993318,50460538,102135927
166901,230732,206645,281001,253034,259862,406761,534873,889647,1267877,1903478,3629844,7795827,14220166,26333890,51525338,100550309
176465,242844,216058,283755,265994,295062,435700,511613,700993,2004362,2018665,3637650,7742945,14160798,26453043,50752339,103572739
167041,228159,205359,286129,242485,289815,640479,523007,670875,1150930,2033790,3653857,7868913,14209608,30169109,51008204,99973523
165889,230097,204991,281638,245877,260982,317744,514803,611215,1350173,2039210,3586534,8104608,14203336,27122771,56111105,100756419
167830,241444,205583,280242,256605,279260,322097,549679,604256,1212434,1965418,3656415,7790939,14243704,28562992,50646839,96975000
166994,234166,207717,280024,256658,298015,304173,496979,626477,1138574,2014006,3582948,8045184,14191723,27303433,51285965,100529599
168032,223619,206658,301906,252427,286049,308444,530202,590486,1203525,2037178,3630581,7679050,14232822,26364568,49686626,102470282
166949,221683,205718,280176,264591,291592,293513,508176,599393,1231746,2038142,3634355,7629757,14170966,28736633,51247271,99010788
166502,219589,216182,281362,248774,268736,308500,510031,846183,1937144,2020943,3699403,7607073,14224891,26761675,51264429,98570176
