SHIR FPGA b16,SHIR FPGA b32,SHIR FPGA b64,SHIR FPGA b128,SHIR FPGA b256,SHIR FPGA b512,SHIR FPGA b1024,SHIR FPGA b2048,SHIR FPGA b4096,SHIR FPGA b8192,SHIR FPGA b16384,SHIR FPGA b32768,SHIR FPGA b65536,SHIR FPGA b131072,SHIR FPGA b262144,SHIR FPGA b524288,SHIR FPGA b1048576
181985,218438,231817,279819,310881,365651,713126,1170686,1961379,3810632,9840169,14077314,31260564,77060648,171371935,225123582,439746890
192806,205284,230734,266956,299422,361106,722326,1101269,2089703,4021842,9704224,16148038,31065394,76692739,174266621,226972725,424366563
183407,203127,234899,279738,309970,360520,653641,1095071,2079373,5734085,8354878,15439603,31218947,76831361,171341057,225091489,435318369
180669,209163,227464,266374,317125,376157,719690,1201237,2026478,3857699,7204643,14125346,31234918,76789616,169385701,226404764,421005823
186144,203702,226637,266934,319052,389049,758805,1116368,2016894,3941198,8699925,14209813,31176762,75134671,170921641,224886416,442566365
183185,209052,234410,265929,308724,375367,753153,1091588,1981192,5707271,9555104,14191231,31293370,74876925,167706801,226022328,438515837
181045,204910,231832,279491,313649,360865,730338,1068886,1977441,3812672,8287754,14129752,31173961,74977329,175863675,224839738,438736089
190436,215097,228969,267250,295181,393856,728032,1073049,2185015,4034524,14147607,14179187,31205536,75080270,169463355,226898939,425567285
182962,207109,229979,266016,307869,369216,746925,1105783,2081129,5070500,9542757,14122780,31544346,74847132,176391430,224552447,444473450
184060,214747,224889,263374,300113,362020,723794,1123637,2083325,3944417,9424379,16034232,31309065,74957207,168958285,224678926,444548957
190575,203129,248027,267271,331118,360598,745560,1059670,2008921,3921641,9429852,15307838,31300118,75240534,171304661,224626282,436107325
185557,204469,242408,263187,309164,388091,740215,1095374,1962244,5018148,9406403,15690404,31352944,75064487,245085013,225012254,437709491
181045,205869,231239,266630,308911,368053,734095,1097532,1972413,3898805,9428773,15309666,31172439,75013702,181981430,224934221,445402439
191355,203889,267429,264585,296187,373106,747253,1108790,2099980,3937340,9589252,16134266,30451826,75096082,166613914,224533345,449754876
180083,207564,225778,274070,305458,378206,731412,1083245,2123050,4962836,9668699,16733630,30328523,74897558,168597059,230968731,433088423
184610,200180,225174,266696,301598,389982,727525,1098828,2051710,3805446,9612723,17077199,30463210,74854623,166846918,224386968,420829133
5614499,214809,229641,264734,311099,455693,748808,1369427,2008412,3982910,9703575,17054885,30476579,74941012,168139601,225262372,444429076
184278,204223,233007,263187,300261,361507,768369,1213140,1962135,4925220,9540825,17263780,30548646,75118363,202878987,224355078,433116253
184030,215183,231594,265375,305177,377263,752768,1127413,1974349,3783967,8052627,16722283,30460282,75009031,185584942,224451587,447763635
180406,203121,221350,262541,302453,385107,745539,1111648,2085975,3943975,8959299,17032345,30452234,74936858,166676036,224794268,439727892
180001,200684,230192,269290,309277,365346,808530,1145633,3313730,3848952,9442185,17234560,30395332,75192359,170190092,224901436,424326885
188746,209919,242126,272732,309767,355672,714745,1120544,2074275,3926958,9414800,16888724,30629218,75245041,166317534,229151124,440043370
181381,205192,222833,274804,304263,355861,729996,1105812,2088854,3914424,9840258,17429161,30560634,74998795,185000820,225651537,438311195
179584,204673,226737,272920,302774,363880,724468,1123888,1987853,3957389,9740976,17396570,30458865,75181048,171411103,225618534,437389285
188173,207606,232270,276187,307951,378246,729929,1119721,1996850,3855711,9817844,16825843,30483963,77622765,168283043,224798111,452751258
197890,208883,220248,273475,300813,367401,764271,1109098,1941474,3936292,9459544,16880073,30458610,74900429,165700825,226266827,432942147
189991,204393,225336,273642,317979,373618,774638,1128603,2214083,3951385,9487641,17423613,30460877,74921788,198211281,226697527,439442054
193641,211652,232832,274365,299102,373168,741479,1068677,3464385,3865757,9466042,17209053,31081035,74977661,170773566,225311997,440695222
181149,203692,224843,271070,309469,389893,751870,1083746,2084562,3963094,9379933,17370029,31198124,74891252,168285874,228410422,428189763
181097,202744,236339,269311,303108,388166,725614,1124803,2076407,3898995,9554428,17153625,31173492,74903932,198045013,226449798,454395204
180293,202224,225671,269346,305826,380356,768587,1048063,2026593,3936352,9513254,16791576,31133796,74737307,169547140,226793074,462956097
181606,203604,225617,271942,299651,372143,728710,1144859,1988788,3949707,9421335,16949147,31088844,74935616,189190057,225717684,457660321
179341,203154,229106,263909,313038,368114,727835,1132706,2246843,3853217,9562634,17291201,31423999,74992486,198808515,226601516,442130099
188275,206031,221726,264045,316187,390148,753429,1077827,2133479,4047280,9463158,16553759,30416509,75119908,167459393,226460118,443231615
178326,214921,233821,274079,306305,358126,736475,1068365,2072100,5011370,9471236,17273930,30583060,75201506,169525158,226115434,446822185
179595,203830,231657,270281,297224,374714,694061,1355508,2013984,3966213,9438874,17279772,30442456,75106846,184287436,225991771,440324780
191370,201664,220927,2022538,309332,363087,751115,1238268,2022575,3908155,9858796,15360577,30971920,74850545,172790438,225663774,462751118
181658,202049,236250,262217,308676,391975,732327,1164312,2256949,5726904,9402559,16264684,30515011,75155918,194626577,225663430,472692359
182505,206783,227601,259144,309185,357553,738847,1121510,2139646,3829753,9480279,15346938,30428074,82916725,170242860,225635076,443764398
197250,205250,224412,263605,299612,362692,746865,1097749,2081894,5004548,9468157,16392120,30516693,75075006,168582640,226420511,428349157
181845,203977,223108,259979,310544,372885,736674,1111430,1983272,5017422,9429888,15360179,30552693,74878492,174861272,225406144,456233728
181894,213378,228772,261002,297796,8724472,746932,1095731,1996369,3908603,9812641,15996184,30529206,75112336,191769261,225809889,446010660
188681,202477,241439,278502,325724,376020,752739,1105359,1939962,3981781,9559890,15311003,30539181,73811817,201459290,224873832,425549289
180556,212955,231907,261451,299269,375515,755616,1138102,2097915,3900955,8587494,16293385,30479019,74816643,168971641,224854036,451170573
180524,202837,256181,262085,313746,381386,726032,1106673,3472661,3928468,7396928,15327838,31195381,74569730,184971305,224260001,432077749
186119,204369,251386,263085,300126,377742,757814,1078675,2085442,4971015,8627677,14004892,30521048,74841730,166041772,224980815,448006341
181009,199590,227517,262330,325298,372289,730409,1085688,2042675,3807407,9477498,14124793,30487285,74727292,168287184,225723267,439241994
180774,203188,227418,259660,300915,374501,727890,1066347,1976171,6138856,9638938,14015440,31241699,74764699,165918156,225096397,437675284
193528,209642,230611,258094,306056,367194,726395,1097978,1920885,3814724,9669019,14148290,31263431,74903501,177152655,224156677,433708724
182512,207591,223806,257112,308218,375265,737339,1076916,2129432,3906554,8119252,16373750,31207999,74916472,165966718,224789369,448364775
178763,218609,225981,276864,311995,375629,734141,1077271,2132841,4921819,7109684,17211675,31207669,74785774,170147897,225137461,443689876
192729,205740,245039,261617,297664,363391,733293,1094825,2042535,8139748,8615672,16815743,31190238,74585083,186182262,225626549,432045415
177934,217172,244623,258996,324406,373906,740765,1120895,2013363,4113576,9463877,17336942,31380992,80185125,170269488,226300231,421663976
178427,202415,249250,259526,301443,356883,720154,1109693,1960149,5613116,9461522,16877927,31136381,77528157,166018083,225955627,421830248
194199,210041,232907,260144,305547,362594,727850,1299507,1953200,3937352,8386582,16978758,31395673,74710333,170028702,225910839,450416708
180466,208031,225944,261758,304340,374363,756964,1171769,2206182,3970311,7096312,17174942,31310145,74824295,166221071,225920060,436921381
180489,205508,231754,275506,312069,380674,750226,1075260,2123333,5663986,7065466,16941991,31315720,74468100,174903522,226075636,426231386
186040,206765,228364,258760,297601,729072,750463,1047038,2060726,3940081,8570251,17014807,31168665,74519921,166214442,225845923,427735597
182848,206130,225211,259657,307453,427042,744892,1084831,2058267,3978632,8209659,17227382,31385546,74820741,172119416,226111042,444835637
