b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144,b524288,b1048576
18442,17234,14217,15328,17495,13732,15441,17585,32894,31257,36416,34844,43834,36266,35221,46374,38068
18507,23589,13992,15145,16553,13751,15480,16530,30695,34266,45587,35911,58775,37476,34380,38633,51825
18349,18822,14341,15696,16018,19011,13227,15628,34367,30112,36610,35960,44673,79971,36248,47201,43056
18349,18366,14266,15214,16854,13879,12632,15355,27967,30622,37659,35084,42701,42822,37197,102519,40996
18343,18047,14559,14830,16510,12536,12808,14697,27475,32417,36081,35824,44157,37304,35899,43453,90856
18423,18330,16899,14745,18189,12822,12706,16842,27856,32400,35217,35507,45075,37392,51487,89667,39651
18515,18107,15024,14791,16635,12220,12515,14665,28904,30404,37279,36233,45296,37620,37017,40235,46950
18032,23236,14635,14369,16941,12377,25472,13983,31345,30649,41864,34302,43762,36882,35008,48657,38376
27912,18830,14448,14758,17189,13395,12755,14845,29869,30959,49291,46593,65123,36275,35306,41299,41638
17627,27914,14505,22334,16725,12406,12428,15773,30020,31846,40532,46848,44693,38766,34503,43298,39062
17962,17117,14405,14729,16895,13230,12473,14561,29230,29882,40926,36211,44879,37509,45594,43190,50443
17252,17397,14286,14833,16583,13435,12164,14146,33913,29441,41835,35103,43978,50196,35651,46674,88472
17659,16093,14316,14744,16671,12439,12271,14860,40317,32210,42648,35980,54927,34416,42955,94711,43623
17891,15875,14576,16558,16932,13261,11946,14716,31710,32241,40921,36477,42934,35946,35862,46163,55139
17814,15330,14669,16531,16690,13263,12125,14272,32832,31711,44049,35969,43596,34166,35382,50301,44797
18069,15456,14464,16639,17722,12033,12286,14563,29386,31419,40785,36375,45614,36703,34033,40610,50263
17290,23752,14421,18148,16818,12077,12241,30899,31983,30128,39188,34523,42721,36123,36245,48050,45294
17453,15938,14315,18101,17037,13221,12222,23019,31242,31684,38570,35360,45198,77573,36119,41003,50935
17200,15270,14308,16449,17355,12033,12236,17984,29237,31802,40753,34100,46221,38736,37011,46948,52324
17194,15633,14815,16040,17382,12004,12154,15202,30513,29409,40652,36108,42241,35603,35190,54259,45179
17822,15633,14585,16227,17701,13197,11940,15773,33419,31850,40488,34910,44229,36673,34945,43267,46953
17757,16318,13494,15825,13181,12078,12026,13974,31707,33072,41967,48794,44374,35119,43254,90415,89969
17351,22861,13635,16742,12893,12227,12363,13861,38286,32010,41654,35456,43066,35500,36089,41859,48235
18221,15992,14577,16389,13135,12131,12211,15544,32500,30237,42974,34497,43349,35676,35552,49727,51953
18329,13093,13170,17435,12753,11872,11949,14789,28777,30326,37714,36569,55045,34302,36609,40518,87635
17782,12387,14926,16810,12857,11985,11837,14444,28496,31612,41420,37437,43070,40217,36089,46916,49133
17994,12645,14205,16229,12570,12266,12086,15153,28621,31682,42193,36694,45935,36488,42284,38898,394987
17530,12309,14364,16025,12945,12193,12101,15352,27200,32301,40705,38779,42749,36347,36817,48072,44124
19686,12568,13180,16302,12998,16524,12730,21793,26624,34203,41792,35985,43635,36575,35247,90283,51537
18610,12485,14009,16745,13040,12270,12000,18278,31323,32132,41642,37068,44306,36675,35306,45361,85168
19238,12594,12980,16387,12709,13250,12434,15233,27027,32118,40961,35975,42880,38921,35015,51774,49286
19037,12187,13494,16304,13067,13289,13950,15122,30454,32227,41746,47352,51285,35561,38177,40712,51647
18568,12466,14333,16354,13079,13259,13290,15356,32089,32366,40874,36188,34965,42653,40549,49583,47373
19368,12749,13137,16770,13406,12230,12852,13712,30689,30463,42526,33341,52942,35112,37466,42772,51985
30649,12653,13240,16491,13965,11916,12071,15127,30565,32449,42890,35853,40318,42834,34995,48292,42708
18775,12635,20386,16719,12470,13092,12054,28088,35858,42763,50833,35047,38229,36189,36432,103333,50637
18860,12590,13231,16508,13003,12306,12021,20242,48055,31325,42266,35090,42966,35720,109621,47037,76857
18654,12315,13559,16591,12800,12282,12148,16316,30317,31425,40140,33077,46606,45705,38486,86895,55272
18918,12341,14562,26114,12888,13259,12149,14439,33284,32452,40838,33486,83131,43113,35144,40235,51777
19050,12352,13382,15902,12962,13325,12257,12692,30919,32611,43336,34696,45106,41116,35022,52159,94309
18650,12671,13216,16420,12709,12404,12046,13198,27312,31935,42316,34151,43382,37722,33975,40702,48361
18915,12545,13492,15461,12782,15001,11953,17002,30811,34640,41333,34595,45146,38852,43616,43527,51759
18318,12347,13046,17997,15835,14768,12239,13817,28693,32745,50573,35678,43282,36382,35122,43236,43706
19050,12752,14391,14079,16950,14968,12145,13455,29431,31659,40607,33646,44055,35532,44213,48444,51186
18507,12298,13139,13990,14590,14966,12041,13726,42388,41844,46964,35724,41329,36061,36635,90238,44946
19171,13059,13346,14122,14761,14991,12053,23345,32128,32204,39608,36027,51240,37686,34894,46887,50668
19069,12108,13222,15342,15600,14999,18266,15098,31383,31879,41695,35269,44516,45228,34644,93338,116570
18520,12719,13418,13723,14051,14902,12327,14994,32746,32418,43307,36794,43430,36420,33685,41345,52817
