FP32 eager b16,FP32 eager b32,FP32 eager b64,FP32 eager b128,FP32 eager b256,FP32 eager b512,FP32 eager b1024,FP32 eager b2048,FP32 eager b4096,FP32 eager b8192,FP32 eager b16384,FP32 eager b32768,FP32 eager b65536,FP32 eager b131072,FP32 eager b262144,FP32 eager b524288,FP32 eager b1048576
29345,36565,60855,69053,99538,108260,263527,367910,448611,907223,1754564,2732556,7945224,13580675,26718106,61290791,90796730
28994,36423,59989,64016,120936,116734,257226,317192,558591,923925,1734728,2691434,7950532,13607529,24208818,60902564,91019742
28932,36663,59753,76415,116353,108247,252087,334662,513355,917504,1731474,2784767,8003172,13630162,27648589,46129604,94330898
29267,37152,60123,76927,98386,110394,234342,340546,560835,864349,1739386,2716273,7846634,13580527,24390437,42081591,90768665
29942,36220,59589,78553,117073,108359,295532,312554,492657,995203,1724084,2715550,7935091,13618995,27657684,44223264,91290182
28999,36063,60424,69913,100833,107685,309146,414520,448921,918485,1709957,2703904,7987927,13587204,122587566,43724207,90787400
29573,35848,59431,67820,102626,109354,202885,284212,475282,849654,1746221,2704714,7953065,13657846,27620813,60104614,91119941
29351,37512,58849,69408,111979,106991,262780,263689,620118,961212,1687609,2693117,7963832,13612344,25341038,64367877,90624085
28933,36190,59798,64056,112487,108208,296633,281408,540687,936207,1711039,2752987,7945050,13586378,27404763,43635786,91096111
28845,35990,58778,69575,97046,129628,290846,352366,487754,852394,1734259,2729703,7902459,13594088,25353352,43668222,90833580
34638,36044,58516,69002,94179,123598,321897,349280,450450,929094,1681402,2746926,7975736,13575267,27345522,46691704,91205256
29765,36028,58326,68302,100656,121516,292827,338812,449370,973331,1696909,2675696,7933689,13680765,25289938,43669096,90834803
29509,36061,58960,69135,106669,107029,315829,371193,475348,831670,1709434,2692552,7937734,13641920,27338158,43916376,91232694
29038,36538,57618,64847,98623,122213,278027,365424,591386,965705,1730644,2650588,7919342,13577544,35105448,43490848,90761203
29589,35624,58694,67795,100588,105948,312083,344749,565891,922554,1719872,2680862,7970107,13603113,27587776,43794026,91265589
29373,36033,59455,62747,116606,121772,302561,371672,470591,896656,1726661,2689716,7871265,13619301,25253583,43545318,117221209
29091,36330,59525,80616,126824,105339,303446,322885,453318,979939,1731357,2627649,7987700,13558721,35196370,43725438,118272010
30789,36325,65389,69053,105832,117764,323060,345835,491132,886515,1716912,2627326,7954576,14929804,25341808,43733954,116636171
29692,35640,58037,67867,101274,107951,274141,366567,628938,870523,1701252,2681266,7912923,14835894,27598015,44001190,121041475
30432,35999,57999,67371,98727,124845,274328,353794,556947,969584,1688693,2642585,8290265,14814989,31756432,43678352,122182711
29465,37159,59236,69990,97903,118428,306114,452718,485312,916038,1718410,2665863,7956858,14885828,32452280,43978617,85611076
29112,36337,59018,65094,100867,109598,286594,274363,506696,948034,1688427,2674437,7893864,14780354,25476560,60243793,85895939
29184,36013,58130,69525,97783,109222,275183,262388,523447,898300,1682063,2658386,7930961,14856046,31278600,60646409,89706231
33967,36395,60653,67253,100484,108116,270551,325706,481337,844440,1740593,2631689,7975029,14887855,32825412,60078940,88981705
29709,36245,58529,79355,87015,107622,280961,314010,578032,975634,1692263,2667735,7907665,14861052,46138359,62175764,118069715
28818,35744,59852,70705,84079,108902,307549,316224,550035,871340,1765777,2751575,7930802,14846155,25426447,60845757,88989127
28978,35621,60592,68790,99495,110312,277914,356147,480973,874812,1721130,2698562,7928958,15058372,27401012,61728769,88996916
28949,36211,61100,67091,97013,107812,366944,356087,478820,939800,1739500,2632719,7910434,14913851,25128084,61012774,90661938
28401,37891,59626,69740,108509,112793,168054,324340,479013,912895,1695914,2723191,7937490,14885029,27432234,55695425,90835467
28982,36171,59077,68896,99914,108452,164239,356182,445328,862751,1714398,2681046,7908788,14694378,25543351,55709903,91133119
30712,36345,58190,69596,99496,107990,153457,327233,607766,943316,1742143,2686222,7935990,14918032,33497967,42071491,91902512
29550,35910,59673,67937,97994,108209,149274,361372,561646,887269,1660242,2657437,7934121,14863237,25020480,41678358,90843094
30389,37252,58387,67671,99522,108724,150024,368372,480847,895962,1694420,2658343,8007211,14863865,34617567,43342239,91070639
29364,35781,59843,68403,100281,107514,150918,347730,494540,920914,1706323,2703879,7912827,14836704,30352402,41891310,90798950
29290,36215,65491,64779,99372,114182,147077,441026,453061,961259,1731365,2712659,8008904,14834682,33971598,42666817,91175126
29488,37773,59700,66932,83351,111485,153338,300734,439884,839047,1716452,2670427,7969581,14830860,23384951,43776473,90936537
29283,38568,60631,63161,97947,122835,150032,292861,617447,1012896,1826458,2692772,7906696,14877128,40417261,39783131,91308824
29923,36007,63145,68880,82239,128492,147022,278940,556777,972952,1819082,2654549,7983209,14899684,23518060,42068743,90945200
29288,35465,59133,68851,97285,107874,160813,262832,497466,1000719,1789788,2687759,7974138,14828348,23671983,45716454,91656208
29171,35341,59912,74119,103322,128974,147025,342681,471503,997637,1757942,2661626,7910130,14815020,23425507,49403746,117502956
28963,38265,60278,64425,104569,118530,136757,325523,450526,974915,1780483,2695127,7997706,14857991,23518932,53530782,89140595
29086,36921,58553,69533,114157,107320,146649,358379,442331,1024606,1716784,2656135,7929005,14762983,40624233,41196130,91465518
28875,36138,59437,64090,99213,106515,158650,314364,651117,999040,1791652,2700471,7762377,16786092,23579661,41953523,89581574
30957,36867,58827,68443,97924,108124,275945,338964,563380,986437,1758085,2649917,7748849,14963133,23328099,42045174,89370275
29680,37767,59478,68704,100811,111093,160656,321260,488834,994586,1789422,2651206,7737922,14876900,23510125,41918017,120537676
29425,36771,59298,68436,99838,108810,150955,340638,455323,934758,1742431,2700165,7671464,14780986,23530449,43854907,117732076
28952,36176,58208,68410,103328,108395,162830,333101,450743,951328,1795717,2662621,7802994,14862652,23629184,41319604,123166752
28987,36270,67861,73066,100246,110549,248738,345833,482158,872600,1740182,2648545,7748067,14774839,32123772,49862022,123465965
28950,37474,58179,69577,98402,107401,229128,335591,642361,994973,1832899,2650688,7742997,14844971,23468153,40827013,83674991
28438,37072,57479,68743,87319,110946,208273,337814,585627,1009818,1816299,2671497,7714339,14843706,23483253,41458410,84342453
30229,35952,58020,69561,105181,105121,231564,358885,493182,1031830,1826686,3003359,7790476,14833234,23516905,39407760,90519274
29251,36363,59239,67371,100231,106543,261597,365120,472667,1017882,1778277,3064472,7723560,14792055,31349212,42952516,121513704
29209,41979,58415,61963,96208,108499,219523,323670,547031,999042,1791991,2666715,8050458,14868335,23508995,45285572,122711424
29078,36535,63280,70941,100084,109039,253484,435997,1241341,1024208,1762937,2645748,7781132,14786639,23505657,46164159,122234608
28674,36131,57772,63837,99175,120935,219037,253510,559671,973756,1767141,2654131,7671224,14862018,29597302,39539280,126196797
28937,36311,58468,70759,98609,107285,233854,355936,545612,994397,1807056,2644966,7798073,14827858,30002879,69244911,128676162
30376,36108,58064,68726,100633,107227,292471,328179,456403,989038,1806725,2700683,7782918,14854481,23528161,62763013,125038619
29773,36125,60440,68474,100251,106732,250758,406773,495526,945466,1771053,2668314,7705513,14787468,30869257,53627589,126035331
29544,36423,59282,68923,89021,119823,247465,337114,464135,983083,1786852,2713980,7770275,14949307,32705792,54529880,83447551
29513,35792,59112,69848,98520,104738,303033,350731,609246,1014502,1751820,2663276,7758732,15229336,35073092,84460700,84535700
29945,35673,57206,69914,97735,119422,293281,338420,541131,960159,1805033,2722587,7753648,13232374,23689833,53574201,83600649
29387,36334,58316,68290,93791,120667,286561,369757,497517,994100,1769852,2692735,7732240,13279190,23692341,67849817,87055076
29019,36718,57553,69551,98816,106777,224147,310899,476922,986919,1821827,2676801,7804053,13271851,26877740,61734547,86388710
