FP32 eager b16,FP32 eager b32,FP32 eager b64,FP32 eager b128,FP32 eager b256,FP32 eager b512,FP32 eager b1024,FP32 eager b2048,FP32 eager b4096
230583,229654,475447,570237,598925,785652,1454438,2042848,10628246
221081,241544,487356,595689,624863,783494,1341046,2028547,5722421
241658,232282,458950,582249,612650,796025,1351626,2001695,5981795
245414,238324,457496,566900,599290,778354,1310148,2009913,3537686
227066,232048,467322,593942,621772,782402,1282743,2452607,3976367
326711,239446,471116,588078,617188,779446,1274234,2323910,5664235
322187,233991,474449,578097,602114,770637,1238961,2244459,4607107
280785,240372,487282,596588,623891,772720,1250807,2181645,4657196
258650,228244,465724,610452,604467,783713,1216220,2265504,5845625
261225,238431,459314,569072,608268,781348,1213959,2087899,3675429
264912,236470,443475,593344,597083,787178,1348416,2127660,4173893
259975,239804,476124,582443,611170,781627,1344236,3819368,4306809
255818,234141,485923,569623,596932,774732,1364409,3597172,6142876
247624,230307,477736,579138,644518,783293,1341940,3609415,4798595
260441,233120,459475,571819,627149,792752,1392399,2033234,4458632
258312,260818,457075,568118,625771,765181,1359869,2021912,3831784
262624,259727,459244,592408,626415,842650,1403942,2017298,3558580
248832,260272,477376,592535,614295,794167,1371947,2016124,4551286
296988,270796,470025,582697,614580,779151,1358028,2420561,6006125
267645,259609,475870,577205,616378,779927,1324716,2305321,4689439
262674,255205,468338,580187,621965,787882,1398396,2271522,3766716
249495,260419,485183,571631,611538,778056,1365883,2209335,3761630
279092,256131,453601,589832,616114,788870,1364456,3203082,5111439
268559,264421,489605,589967,627249,1193800,1284890,3394658,4161090
262770,269233,465047,579145,611322,965427,1288583,3028677,3864801
246197,267456,464344,585218,637584,981460,1374441,2050141,5945405
276674,275763,475125,578173,632481,909189,1301070,2087337,3698833
277958,262599,447309,568517,616738,922574,1371111,1961323,3611010
253644,269636,458609,596418,624368,894353,1340173,2610852,4880903
245748,265680,452148,594757,627914,868795,1310211,3625370,6204970
254094,261089,463099,572876,596017,848534,1384655,3037460,3836222
245107,269354,478064,588780,628315,882635,1325716,4045042,3673708
231115,257696,473427,566264,628193,840763,1301792,2352696,3602037
215146,264231,455139,568851,611266,842694,1356175,3000644,5962460
238642,264892,448002,592430,614680,838598,1325595,3370155,5153032
241860,260572,452310,611170,622159,801486,1296171,3062507,4731846
214527,264724,477828,606098,607744,810279,1321069,2121654,4050742
232204,260694,484445,575326,622492,821309,1343899,3073310,3737815
240367,268605,481351,572986,619918,798007,1303667,2219970,3763429
253417,274315,467845,569430,607679,810592,1347903,2086230,3625642
221873,257509,448797,590404,626000,829738,1429036,2090756,4502596
