SHIR FX b16,SHIR FX b32,SHIR FX b64,SHIR FX b128,SHIR FX b256,SHIR FX b512,SHIR FX b1024,SHIR FX b2048,SHIR FX b4096
378180,465123,555909,574043,611624,673630,991665,4500294,4749084
385930,455663,567639,540719,634802,690935,991066,4323618,6318830
380865,476511,560411,547707,633735,714261,1024965,4702941,9668613
376520,481051,567808,575757,627158,710927,1002877,4860313,6111135
409279,542542,582811,548441,630649,672813,995278,4577848,9659573
378339,521181,553287,558511,639232,731516,996436,4529013,6644998
383886,518471,552720,561646,616986,715515,976248,4634405,9537325
374077,531420,572876,546123,644877,708013,1009871,4388435,5938462
378668,486933,538644,550023,653304,697673,992988,4452638,4491650
385999,483696,566647,571044,620204,683415,979106,4472896,5868070
378535,480748,565066,538850,613711,741568,1016211,4347566,5908499
383386,456437,553278,576477,613137,693008,983271,4500397,7100069
376752,465924,558712,570554,631657,676383,965761,4531915,6327972
387895,463424,573102,548997,648435,739271,1028971,4785246,6484485
377606,467825,550549,571922,651696,683700,1003371,5199730,9751845
377888,477898,564413,570162,597887,707705,1433038,4614205,5865022
378818,464278,568737,569283,616784,700447,985281,5269543,8921588
382007,464316,544541,554615,653245,712779,972374,4432410,5195369
388270,457314,567214,572182,646209,727643,902609,4449121,10746257
381198,454516,572995,560048,613275,706771,948542,4669397,6919128
384020,464705,570500,562732,607174,699594,925136,4499278,9565678
380285,471208,554755,565968,599404,713503,894093,4766749,5875047
391138,467076,562876,558257,622118,692880,911902,4754563,9191451
380756,458069,561537,551106,632759,716351,894916,4468005,6137043
379055,471152,560029,556834,645327,714075,868458,4388929,9349109
382818,469159,569067,557030,611292,706208,902326,4572593,4603796
377118,460110,565478,560670,648614,697768,893143,4069988,8979265
387131,455451,564916,562159,631428,717993,927110,4571737,5383231
383903,470553,564742,552273,605070,699725,964727,4517515,8668542
388381,461066,562231,540857,626058,674201,954178,4125118,5879239
377475,463120,560167,570314,635658,729299,967974,4467829,9205092
381113,457865,556099,553608,627646,706197,1001519,5121294,5807801
387906,471724,544637,559626,638915,684063,992049,4588175,4593239
384262,466211,570883,565866,600444,760882,915796,4611232,4377586
387736,463171,585004,563409,634290,687829,949954,4648062,4836231
379064,452289,560271,559664,642119,699891,912789,4495596,10225589
386954,476478,557316,561531,600274,672197,855944,4504479,5903081
381099,448404,562209,545668,638225,696109,900549,4552776,6313402
379448,462435,557811,545847,637733,734497,889550,4451294,10459852
373985,461442,563286,580156,629829,697998,925323,4529506,6172169
378689,466394,577860,544339,638552,705346,903209,4378906,9351772
386379,459849,548512,571822,654311,732635,907055,4390935,6019779
380537,465117,564267,562211,620242,681125,994236,4481942,10024924
388859,462042,574828,560644,630648,699028,925785,4516993,6049064
376467,470917,566154,572575,643956,718167,1035473,4280354,9132142
393647,457167,553665,551739,630915,693819,906216,4247335,5799708
378131,463188,575542,552562,630338,697436,994755,4468263,8940445
382204,462852,560727,566835,626504,711624,967019,4389282,5599838
384622,471916,555491,556822,602297,709221,924803,5191567,9879277
375538,454511,564193,556169,640059,703726,995668,4289843,6316199
388060,461806,551452,571505,650807,717119,1012704,5231821,6164074
381265,431009,549559,563960,625259,722230,963420,4377844,4842213
389086,470179,590791,562235,646153,700477,983671,4321365,6823577
376210,452572,560941,549114,629313,705834,952187,4778352,7507964
384876,459298,558530,551023,622385,693654,927068,4228340,6705863
388882,471577,586586,559868,629709,684054,951177,4295139,3723347
378748,471023,564619,567969,664854,725434,900016,4657346,6764479
388426,454909,555303,557677,618441,706200,934543,3941587,7123560
374705,457894,577962,561968,634553,677168,925915,4318034,4393844
387312,466004,568309,557648,658709,729355,939479,4494182,7236430
378995,466126,565341,564968,632559,699675,939887,4054242,5646974
381042,452636,583806,560231,638443,692281,975679,4187913,5493970
379481,475756,540566,551477,629632,715196,931533,4492350,10621525
380695,464794,567256,572124,600005,706150,964084,3965442,6384451
385765,465657,591326,551211,637497,694745,984983,4593284,9724099
379475,466063,573773,561006,679814,746619,940228,5453744,6606613
388051,467971,569006,574802,602436,711441,938367,4428110,10548768
378811,464100,578283,561850,631525,689472,1010388,4412169,6626511
388769,461783,565191,553980,661155,741477,968430,4879955,9904276
375965,455820,564317,585244,607287,715239,950717,4193614,6683735
379321,476138,554407,549424,640428,686619,991342,4643457,7531962
385119,471633,557241,543445,651596,723541,979892,4815150,7819642
380433,465044,550970,563088,616154,710862,961937,4164716,10605891
394056,460723,599183,553206,630168,716338,977831,4254961,5157358
380555,463807,544672,562887,656816,724032,977758,4784308,10055665
386290,469888,556476,549069,615810,707257,947257,4174163,6307665
376261,460849,565647,551559,648790,680069,1013547,4598962,6352450
377356,457368,561596,552783,656336,713287,962900,4660420,6468315
396786,471260,534801,565167,615179,693410,954163,4529795,5865456
386330,471216,572831,567546,651526,707069,999310,4466156,4384098
389949,463120,545787,556958,648640,719132,996543,5712681,11888038
382335,460629,537231,572303,608393,682534,958878,5236184,7640401
381193,464842,570349,552687,641914,701288,977817,5555914,11602755
382920,458316,547586,564629,661807,734687,980769,4371917,6415967
378077,458633,560116,542454,610693,690697,999009,5267091,6078291
377264,467769,568193,570592,632773,689348,994500,4441691,6166796
