FP32 FX b16,FP32 FX b32,FP32 FX b64,FP32 FX b128,FP32 FX b256,FP32 FX b512,FP32 FX b1024,FP32 FX b2048,FP32 FX b4096
53387,61214,120571,110305,117303,149534,206204,373891,516096
52560,62014,93305,108956,118764,156442,190623,401014,632839
52115,62051,148300,104945,125696,137179,183493,389043,607103
52985,60884,93483,115148,118810,137722,174737,392418,505322
57455,59930,143132,105168,122507,148393,181678,412580,504658
53677,66367,101648,104810,124423,149714,177568,462765,510842
52456,61596,121322,106261,114819,150352,169380,422848,493603
52498,61226,93264,106034,122739,136122,182090,414103,670445
52433,60575,124180,104449,115532,144107,175130,422829,585347
52545,61810,91974,112337,120567,135468,191286,400608,524740
53559,60872,142776,106213,113554,137805,180633,404177,504370
52435,60435,93397,106173,120546,147140,175841,390843,518947
52772,60956,134035,111214,112879,148629,175277,396580,492684
52243,62017,98186,104366,122884,146903,172554,411170,641189
52446,60857,139797,110574,121494,154556,165834,391125,585054
59022,60447,100107,102862,120707,137012,177165,397840,523414
53298,61730,137579,105112,131374,137239,180337,405918,541710
53010,60956,94521,105452,114439,139071,172282,402749,514858
52362,60234,148082,110762,122584,138253,177500,376887,468968
52608,60141,91193,114071,126488,136671,192669,408351,626700
51994,61630,122762,117856,114118,139010,176289,458269,546739
53311,60334,97490,115598,122376,152834,191293,458854,571997
52256,60425,133888,113790,128314,150235,176563,424788,531894
53041,66189,128370,108967,114852,150930,186243,396975,488607
52017,61379,92656,118129,120285,150427,239876,414103,562427
52944,60309,134198,114223,120327,137172,271275,399538,648693
54345,60822,101543,113675,104491,151168,203828,447537,567180
52655,61894,135121,113826,126707,162115,261424,399677,553300
52511,61053,133384,109876,137451,152034,218366,417430,500910
52809,60446,89650,107296,135908,138021,199178,403820,530824
52864,60812,89649,123519,136208,153755,268506,394554,634437
52296,61550,86990,108058,133120,149858,242046,403039,566106
52556,60999,89064,102556,135816,149136,252974,398652,577231
53389,61695,88417,126045,137871,159113,244750,392758,544540
53117,63204,89129,115344,139131,148387,252581,392770,532898
52832,61488,88474,140369,134837,151068,264814,373147,515000
53266,61198,88372,135876,136199,136972,249969,400390,644392
54554,60462,89098,137434,125377,135811,256655,390322,588292
52886,62212,90366,134875,131894,136520,251090,391093,526575
53303,60920,88491,130914,120059,134039,300043,464712,521518
52056,60476,99540,137400,123001,136063,250939,387996,497553
52708,66443,88459,136683,124152,153292,267239,422947,504692
57466,61552,88639,128649,116105,150209,284594,389722,640650
53615,60400,87740,136420,118391,136409,233592,376447,578354
53013,60380,88856,127353,123440,148691,270143,433687,494604
52500,61170,88435,128007,123612,137702,298600,399939,498364
52149,60217,88807,116325,132016,137801,287827,373460,496176
52525,60628,89713,136675,126093,136599,262797,384956,514775
54237,60257,87009,103848,125829,146898,272535,415658,642648
52269,61606,89011,99529,125518,138987,290859,450448,625901
51640,60501,88794,93636,132389,138680,281607,423148,537035
52634,61209,89662,99609,126111,153315,252153,428559,526522
52382,62100,96004,108036,129950,147315,262238,443363,488229
58141,61083,87775,98953,126149,148181,285663,392733,527068
53607,60546,90613,98612,126864,137864,302577,458702,653070
