b16,b32,b64,b128,b256,b512,b1024,b2048,b4096
38426,38515,33559,33918,38813,42448,49196,62402,103030
37329,38575,35291,34934,35984,42129,50587,63302,104554
38013,37802,34551,32456,37786,40468,51546,61512,131338
37955,36133,36238,33129,35256,40511,49953,70492,120258
36976,35735,37280,32533,36282,41686,50662,62949,112371
39015,37163,34918,34636,35533,40800,49393,62437,101006
38061,37307,34158,33865,38114,40527,48514,70556,101687
36701,36809,34883,33815,38974,39575,50851,63720,103286
36726,35651,39286,32494,37609,39550,50012,63064,136313
34557,38182,35627,32742,36330,41035,49257,63677,118060
36631,37086,33265,33892,37906,40094,48498,63001,110507
37981,38778,36540,34954,36091,41601,50174,61909,105267
38789,36167,34020,33504,40117,39939,47539,63523,102168
36938,37023,35943,38203,34507,48451,48208,62964,106538
36964,37727,31651,33013,33691,41809,48900,84894,134212
38771,36525,36171,34380,34688,41344,49033,70059,125700
38109,36054,33782,34530,38495,41062,50146,63548,110449
36266,36095,37793,36357,34580,38653,48251,65267,107449
44874,37435,34970,36611,39087,40911,51121,64083,104700
37151,37755,33714,35095,36899,39933,47885,62849,110002
36437,37308,34850,33142,36198,40360,48114,64724,135407
36426,37068,37271,34443,34462,43113,57924,63539,116310
36868,36757,34188,34425,35744,42170,47870,63195,106308
36721,36405,31029,33767,36337,41270,46372,63013,101839
36771,37114,33820,33452,34688,39189,49829,62392,105283
37303,35711,34678,36824,37128,39156,48983,65019,99653
35909,36156,36005,33584,36546,48998,47379,61842,134286
37632,42433,33848,32620,35370,42437,59293,63249,119391
35080,34912,32100,32183,35597,40975,48762,68739,117168
36491,36992,34234,33982,36118,40249,58646,67972,104919
35559,36283,32190,33832,35765,43799,49626,71094,106455
34218,35911,35332,34374,36177,41178,49037,62383,105913
37783,35828,34492,34131,35507,39979,48659,62183,133557
36724,34383,34936,31838,36271,39573,48529,85985,121673
35738,37577,36350,33236,36995,38374,48428,72038,107616
36028,36274,36148,34170,36218,43006,57213,67044,102525
41606,35952,33774,34015,36570,41649,50070,68813,98829
37762,36571,34545,34171,35036,39996,48220,62912,108289
35508,36503,35414,34365,39564,38895,50787,63795,133834
35039,36329,34212,34432,37453,44208,48502,63413,114332
34411,41683,35495,36279,36577,41989,49985,61922,105131
35068,34893,33191,36350,35093,42510,66214,61934,103346
34512,36918,32395,34331,39312,40144,55608,63926,106305
36174,48320,35607,33144,35269,46496,50208,63497,101216
35366,34734,32427,34786,35295,40468,50581,63695,138458
38219,36426,38592,33420,34730,40086,52702,63320,117299
36365,36858,39411,40784,35521,39853,51144,61552,110548
37853,45440,33881,45045,37214,39579,49301,62618,102146
34630,35543,31350,34314,35783,41055,60162,63883,101209
37206,35649,33648,34615,35235,40135,51835,91743,102452
35259,47818,33550,35014,38036,39821,51033,70418,102113
34757,35824,35067,35485,35004,39765,50099,66626,144993
36728,35051,29831,35196,34051,41493,51191,62528,118347
34972,35657,32497,34274,39679,41446,53191,65031,115315
35332,34241,35465,35857,35186,38795,50047,62471,106140
34523,36574,33485,36802,37847,39974,51435,63629,103070
34508,36288,44224,34483,35846,39234,52220,63187,104076
37092,34164,32541,32363,35270,44376,51367,62560,137094
34858,34751,33330,34639,35871,42658,49946,62527,131415
36692,34636,35450,33314,36413,44216,49515,63542,116775
36325,35466,32969,33283,36340,39076,47970,62983,112408
34310,34452,35118,34013,36533,42340,47533,68680,104326
36442,35251,33247,33162,34556,39902,51841,62557,136380
36191,35511,33614,35494,36709,39315,47615,62394,120606
34258,35228,35239,34202,34899,39394,49981,63570,109135
36296,34873,33678,34109,37437,49162,51443,61629,102536
37112,34868,34492,33680,36009,41370,48990,65616,98886
35293,34665,33270,33509,35779,39478,49616,62426,99092
34610,33515,33776,35043,39410,44225,48934,68719,137318
34534,35801,37868,33885,35885,51162,49194,84575,119401
35053,33946,33106,33322,37258,43594,61243,71053,114801
34403,35412,33877,34316,38850,39701,50318,67653,117162
34397,37148,34591,34216,37997,41772,50703,66226,108396
35546,34299,32605,35436,35209,40297,48648,64286,113331
35357,39029,40126,36163,37064,44375,47015,63288,151094
34390,33681,34235,32889,35925,41703,59288,63087,119298
37151,36872,32693,33749,37573,40026,49427,64095,120823
35261,35503,40567,33909,36665,39208,49760,62607,115472
35399,35415,33463,33938,35149,43085,48813,62343,114477
33305,36272,32439,41006,36729,43491,49187,62325,106046
45455,37278,32038,34539,35067,41393,49963,64660,146333
35191,32126,32826,38136,34747,39361,48058,62144,115494
34619,33913,31497,35062,35552,40746,48088,62962,110713
34902,36864,32941,34332,36944,41392,48755,63783,116640
33882,36868,32150,34362,35896,39553,47611,61389,117989
37532,35641,31450,34563,35817,39344,48419,62057,113985
36115,35346,33700,34626,37577,41912,49628,85440,148005
35455,35375,33057,34827,37119,40655,48711,70488,116386
38143,38596,32633,33458,34955,40452,48821,65493,119207
36889,36797,32027,32265,37386,42179,49029,65123,116445
35401,34811,33723,32309,37323,40014,47299,65050,110436
34415,34657,34082,34313,36779,44348,50111,64068,108164
35950,35198,33453,33673,34528,39090,48445,64291,143926
35344,35425,33345,32872,36434,40124,47286,63185,119209
35354,35998,32372,32648,37349,38835,47090,63093,114159
33631,34980,31634,33799,36600,40574,48866,62681,117159
34336,33943,35111,32555,39317,43748,47997,64159,118859
34557,34980,32112,35381,36345,39067,50243,62007,112542
34438,33176,33710,34187,38411,44039,48934,62800,149913
32429,35043,33428,35831,34680,40764,48548,62543,120235
35243,34378,31585,32800,37461,39607,49263,68553,113590
34465,35102,31281,34308,34121,40119,46638,61579,119763
