b16,b32,b64,b128,b256,b512,b1024,b2048,b4096
8465,9419,17655,20740,21175,20101,24922,50113,65284
8196,9143,17105,19819,22643,20699,28679,45365,78054
14582,9027,17107,20981,19972,20304,27278,45161,67293
8185,9196,18427,21075,21967,18746,26575,44916,72576
8785,8790,17454,19651,22358,21247,29088,39963,65015
8455,9061,18219,19728,21952,27538,25886,45625,54440
8283,8925,23634,20629,20266,20674,27012,42408,53248
8285,8990,18388,19761,19578,20443,28371,57281,54628
15208,9275,17266,19014,19425,18654,25847,45174,60979
8595,9018,20846,20447,22021,20871,29155,48633,95715
8430,9224,18255,19989,21087,20687,27601,43071,62491
8508,9131,18998,20390,18835,20752,29014,42605,58564
8168,9175,18130,21150,26316,19289,28061,44176,53078
8344,9074,16758,21679,21631,19137,26408,43263,53012
8731,9255,17739,19771,20822,19131,31171,45084,51197
8002,9592,17176,20007,21417,19665,30543,64664,69348
8518,9013,17174,18799,21303,19760,31461,43829,73880
8081,9017,16952,21245,29290,19686,31739,68092,54661
8128,8731,17041,20392,20712,20771,27800,45423,54073
7789,9069,17570,21224,20850,21475,43610,47131,73754
8042,8696,17581,21288,19533,20189,28999,47718,54266
8533,8597,23424,19737,18969,21466,28985,48420,69025
8218,8704,18782,21407,20557,20797,28287,45048,89037
8197,8932,20282,20440,21522,17953,26808,47038,54510
8706,8784,16662,18375,21225,22051,27585,46217,56809
8092,8706,17995,20574,22417,21748,29221,46498,52226
8388,8592,21928,21130,20779,19098,25506,41534,52610
7923,8614,24834,21782,20663,20482,31031,41394,78670
8021,8679,17719,21065,19897,20709,27189,48696,64839
8122,8601,17936,20357,21057,19764,27559,47754,55882
8698,8810,18217,21011,21342,20443,49699,44053,54254
8566,8642,17738,20087,20580,19105,29832,45498,52931
8356,8656,17571,20671,21027,19922,28538,43762,52071
7961,8968,17685,18883,20962,20391,29175,43392,72383
8492,8476,18278,19131,20350,20524,29774,46922,63473
8052,8950,17721,20759,19515,20716,27787,43182,58009
7971,8914,17987,21615,27892,26068,25769,85414,58031
8152,8798,17629,20018,22756,20773,26655,46903,52394
8210,8886,17240,19802,20612,21194,27416,55905,52071
8372,9144,17153,20486,22413,20890,26027,49211,73356
8381,8600,17518,19881,19428,19424,26390,46923,61911
8257,8910,18023,22382,21630,21992,24861,60764,75351
8314,8652,20793,22010,20683,21364,30376,44714,59048
7989,8799,17608,18649,20909,18937,26948,48648,57557
8121,8723,17905,20382,19114,21303,25061,42351,55009
8139,8781,16730,20145,20114,20649,26965,47328,54071
7956,8283,17248,19511,20875,22940,27582,47037,71166
8332,8602,17408,30037,19205,20216,26159,59494,61507
7991,9690,19044,19598,19415,21593,26809,49290,57811
7812,8943,18912,20090,19906,20618,28587,39598,51500
8103,8509,17054,19891,20310,22343,26549,37926,56376
7958,8849,17830,20247,22943,22644,26065,46136,52444
8012,8869,17543,21822,22135,19370,26268,60675,72130
8438,8760,22809,21039,21973,21347,25258,49611,57437
7987,9067,20676,21373,21094,18718,29587,55649,59344
7967,9331,20476,20400,20619,20362,30035,47104,83599
8001,8802,22501,19786,23498,20493,26074,48252,64757
8025,9079,27651,20713,20721,27709,29810,43261,74399
8577,8608,20782,21243,20790,21710,39985,42038,62155
7999,8775,20313,21319,21566,22507,29623,45684,55959
7869,8743,20231,18869,20904,21828,25273,44543,54128
8227,9066,20083,20189,20711,19125,26541,47466,50063
7879,8405,19438,20462,20832,20752,32713,53987,51620
8304,8991,21877,30770,21799,21240,42130,47401,67211
8138,8263,19737,20079,22250,21183,27185,45972,93792
8437,8739,21784,20131,23102,20812,28615,47590,66296
8086,8167,20161,20900,19458,19635,28096,46096,59676
7870,8409,19623,20390,21626,20892,25873,45278,54531
7789,8480,19621,20686,19331,20336,29133,43252,49829
7769,8251,20991,19078,21446,21016,29099,44368,72665
8179,8366,25348,21242,22635,22635,32724,45754,62682
8071,8298,20276,20315,21071,19912,29223,46211,57491
7583,8201,20733,21558,19494,20368,25877,59173,52951
7750,9134,19694,20474,20700,20645,27838,46424,52894
7880,8572,22322,18519,20053,19975,28424,43437,53451
7673,8973,20334,20943,21334,20976,32671,43159,70468
7806,8417,19496,21608,21617,19164,26311,50878,65444
7934,8338,21156,19350,23359,21856,29078,37982,54251
7831,9077,20057,20271,21840,20128,27812,43312,58930
7625,8933,19515,30821,21137,21639,26944,43737,52234
7942,8984,19662,20184,21579,21592,24479,42100,56430
7726,9056,19858,21716,21343,19431,38823,45748,70977
7886,8576,20941,20770,21945,21388,26599,44697,81347
8256,8573,19990,20315,22435,20735,43663,50037,68179
7810,8422,19678,22101,22114,19757,28841,43191,56922
7579,8190,20308,19687,21131,18022,27073,43495,61912
7666,8252,20579,21037,20082,22999,26051,44537,47982
7787,8419,20218,20426,22287,18930,28749,39163,74443
7683,8359,18936,30462,19470,29836,29503,50896,62150
7819,8316,20954,22202,20896,21989,36135,62954,50915
7411,8245,19988,21614,19675,20665,27003,45069,55002
7908,8546,21073,21661,21907,21574,28226,47332,51361
7985,8295,19682,20512,20451,21121,27014,52134,54374
7843,8300,19460,20641,21538,19949,39255,48142,73874
7881,8184,19259,19830,20742,20170,30068,49336,61242
7601,8159,19097,21027,20016,18873,31393,39935,66320
7865,8132,19056,20827,20399,21346,26818,45124,101811
7539,8404,22611,21006,20094,20329,36192,50724,50854
7451,8457,22748,22200,21204,21881,29829,43065,49886
7722,8381,23877,21081,22599,19253,28241,44526,68329
7717,8130,18019,20320,19455,19752,54115,43232,80685
7665,8453,17394,19484,21379,19809,25268,44300,62126
7550,8216,16833,21656,21652,22538,27256,44123,56637
7815,8842,17332,20405,22150,20638,24823,45323,52490
7649,9698,17024,30626,20886,20559,29974,42218,53021
7746,8925,18169,22398,20794,21926,35846,38843,69390
7456,8379,17747,20513,20088,20331,26830,42287,80384
7734,8607,20723,19394,18190,20405,49565,43806,66285
7578,8409,17032,31195,22805,21231,32920,58195,55728
7569,8142,25328,28979,19467,21657,28599,40915,54802
7729,8391,18953,20901,21272,21366,27840,46832,50465
7502,8674,18098,20764,20798,21354,28266,49524,94454
7556,8155,17074,21797,20981,20214,26324,42744,63059
7495,8023,23664,19611,21200,20723,26361,41760,52617
7541,8414,25967,19554,22232,21386,27102,46433,54689
7588,8469,17923,30598,21319,19083,27211,47050,51533
7283,7972,18518,20493,21038,27002,26392,44339,50214
7524,8283,22064,19234,23717,23314,48418,45396,55203
7381,8601,17486,21139,20140,20358,27616,46632,76739
7708,8408,21589,20083,20584,19064,27837,45170,67320
7956,8750,17576,21020,21000,21886,27164,49207,54906
7863,8216,17878,20749,19564,22191,24706,46177,52421
7673,8248,17105,29977,22386,21171,27393,45283,54941
7385,8354,18734,21786,22924,20685,25752,52570,55573
7798,8177,17470,20776,29881,22122,36049,46742,70721
8011,8508,16484,20107,19606,21305,25811,45904,89022
7343,8291,17934,23503,19965,19365,25454,47604,64087
7531,8631,16669,26181,21713,19119,26726,57986,52147
7453,8394,23302,23224,19313,21005,26427,45409,54128
7237,8219,16015,26031,22303,20161,27854,58117,71778
7485,14964,17260,22623,21014,19448,25933,46028,77407
7595,8638,23097,23022,22505,22278,26146,43786,65433
7496,8459,24890,25173,20292,20410,28090,41236,64058
7399,8162,20088,24523,21649,18653,27871,46947,76011
7366,7996,20594,24235,19655,19955,24767,53910,61254
7333,8070,22535,25034,21141,18337,24782,46479,71720
7403,7918,17704,25164,21623,19365,28648,53309,76159
7506,8338,23221,23222,22081,20265,23941,55144,63208
7268,8051,18614,32898,20913,19305,37233,47587,51307
7391,8458,16683,27120,20948,20094,27073,44354,53577
7301,9060,16829,24342,22085,25245,26576,48724,49366
7635,8109,17586,28472,21197,19405,26195,45444,68305
7621,7942,17310,21834,21964,20270,26443,50107,62303
7237,8313,20944,25188,20515,22433,29512,68901,58130
7480,8354,16605,22671,22309,20765,31679,44022,58501
7546,7983,16934,30674,21071,27248,30240,49025,61067
7604,7731,24096,24688,20335,19031,29528,46807,52851
7213,8513,16587,24531,28384,21065,28444,57528,67141
7155,8124,18361,23959,20886,19843,28283,39697,62734
7393,8469,23724,22704,20125,21280,27788,41252,53041
7467,7825,21141,22012,21316,19002,27941,41696,66948
7453,8416,20138,23660,20328,22311,26188,43656,95142
7252,7972,18343,24404,19788,19516,27752,43938,61584
7257,8279,17455,25243,20156,19516,35718,38674,76160
7020,7977,21319,24082,21635,19362,38141,46703,61139
6995,8003,21986,24521,21008,20692,26393,42523,61533
7002,8102,21117,25087,21006,20333,26454,42369,71416
7075,8070,23839,26604,22054,21483,25024,43524,60656
7084,8084,22787,24759,21879,19719,26714,43526,63034
7114,8352,23535,26113,21338,18680,25976,45071,82142
7248,7937,21798,22669,21069,21086,26298,47206,59848
7398,8021,22410,21873,22047,21126,28679,46777,61922
7752,8249,23544,23977,19972,21172,26602,48700,74591
7560,8390,22602,24027,21192,21837,29042,63638,61440
7241,8356,22361,25232,20415,21987,42458,47015,64642
7405,8322,21887,24418,20767,20781,26416,48795,83123
7268,8182,21734,24093,22254,21849,28093,43391,63957
7173,8256,21974,22653,19540,20025,27554,40891,64570
7155,8158,23857,24917,19806,21497,29996,45424,71752
7131,8512,23538,25358,21640,19617,27693,50284,61598
7411,8164,20334,24000,20185,21888,28457,44159,70015
7364,8356,22569,24329,21291,19452,29092,40147,84395
7417,8402,22587,24197,21938,20120,28594,42412,65558
7204,8240,25577,22649,21520,19444,25601,43323,61215
7280,8206,20688,23184,20992,21596,26909,47403,76631
7332,8719,21751,23175,21172,18276,28804,40776,71953
7199,8021,19277,22949,22038,18527,30672,67037,58751
7098,8281,20894,24890,21666,19295,25724,42350,77840
7287,8581,20454,23193,21410,21519,24546,48243,66102
7088,8617,19321,27461,21611,18665,27852,42937,64564
7144,8047,20254,23666,21499,19528,26789,67645,116913
7208,7641,21512,22803,20588,20505,34522,47162,61469
6935,8027,20874,23665,22014,21420,39046,46734,59233
7252,8412,19604,38185,20185,19590,24230,48612,78824
7304,7909,19778,34580,19581,19729,40576,47037,64433
6939,8409,20508,29672,20587,19912,30133,48763,59581
6991,8353,21491,28679,21641,20819,37171,44361,78943
7410,8880,24909,30408,19942,20581,28037,48129,64121
6928,8288,30486,29489,20984,21968,26945,46051,63455
6924,8194,22644,28633,19700,23019,34396,49538,84374
7107,8205,22866,27636,22462,20545,28271,58371,69544
