x86 fx b16,x86 fx b32,x86 fx b64,x86 fx b128,x86 fx b256,x86 fx b512,x86 fx b1024,x86 fx b2048,x86 fx b4096
1083136,1123540,1163344,1164932,1299050,1291758,1594710,2950681,9678654
1082756,1130946,1147960,1151935,1231356,1331333,1549185,3596565,6504723
1085189,1130053,1164865,1186624,1281633,1309236,1525343,1841222,9487527
1083219,1142212,1143382,1157164,1245749,1309436,1572624,5741019,6146522
1108340,1127080,1155048,1165679,1295003,1317716,1535340,4588744,9665014
973341,1126033,1148842,1158542,1270058,1323761,1525280,4499504,6101802
975520,1117390,1133005,1176438,1264818,1318924,1549578,5458582,5400435
969690,1121695,1153849,1167396,1257156,1323862,1495995,4674417,5172285
974690,1130609,1157083,1162811,1282365,1305896,1482286,4746942,5031096
969712,1124724,1158295,1157736,1263109,1305377,1545028,3354524,5171332
978385,1116973,1151067,1170682,1289553,1341632,1547746,2657556,5083444
971542,1118694,1143703,1165864,1250593,1312002,1549714,5853292,5108916
979028,1125432,1174242,1181078,1250888,1299953,1643140,4537536,5619509
973870,1138036,1140173,1155826,1266206,1331524,1566004,5460965,10163939
977989,1122613,1148683,1180774,1283680,1308656,1578011,4607482,6161802
978100,1126333,1135823,1151593,1253659,1317196,1629368,5657000,5199391
983265,1121344,1163609,1181352,1308793,1361955,1645804,4778837,4999929
972565,1128697,1155743,1154076,1287951,1333198,1649745,5405197,5483301
980730,1127060,1148375,1167718,1259884,1301328,1673604,4522798,5156836
974348,1129843,1154713,1154760,1266697,1328308,1642303,5419973,9657303
973074,1122453,1138743,1178054,1272988,1297217,1615038,7017169,6282129
971633,1125469,1155626,1164422,1271668,1294209,1635977,4443030,9493016
974890,1122852,1151346,1163618,1258730,1324601,1606530,5286749,6347895
998983,1125086,1136663,1158162,1261205,1306391,1606211,5570608,9874861
974562,1130042,1148281,1174227,1294761,1300291,1658380,3687272,6297992
970961,1125092,1147216,1157305,1263492,1338924,1614273,5907053,6828264
971668,1124635,1168100,1177559,1268220,1302447,1596497,4614542,10208966
980770,1125118,1149968,1154807,1256433,1317075,1628127,5474808,6026752
974550,1128138,1158136,1180496,1277325,1331752,1662936,4623149,9295314
977866,1124931,1155051,1166373,1270314,1312017,1634618,5370297,6464367
976278,1129107,1132721,1161692,1265720,1317516,1756487,4553157,9467891
970315,1118674,1155089,1165042,1239664,1336206,1643009,5384833,6342842
979409,1120883,1159284,1163828,1265365,1337205,1655294,4564183,9507996
977403,1123816,1160231,1145823,1260263,1298948,1684621,4592800,6236737
979843,1123404,1156015,1173353,1284761,1327063,1692549,4441666,6643635
976133,1133088,1165557,1155007,1283755,1323258,1633092,4568575,10526955
981083,1118559,1164084,1169870,1287076,1293937,1710211,4529466,6461414
970325,1124750,1155287,1154131,1275149,1322640,1634056,5168835,6628274
964728,1123250,1137283,1169558,1300076,1311338,1618075,4476070,10177209
972535,1136424,1156179,1144474,1275783,1309566,1723436,3239922,6128464
977090,1131199,1143430,1163069,1283571,1331428,1639696,4385027,6586329
974673,1129354,1161485,1157038,1252598,1316033,1613813,5542591,10541182
977766,1121604,1141370,1174414,1275426,1310258,1720305,4648812,6304214
974448,1116215,1159149,1162004,1266280,1325204,1656641,5446271,3807922
978914,1126457,1130431,1167154,1287969,1316478,1584099,4651736,9869633
977644,1135511,1142586,1148820,1278606,1289707,1702048,5473762,6053730
968929,1119846,1149837,1184118,1281132,1338946,1619243,4584167,9117668
971936,1126286,1156908,1155397,1251552,1313712,1642587,5450021,6514141
975509,1126855,1170758,1167845,1278276,1305291,1732664,4599179,6956701
1052828,1130953,1145041,1149631,1275086,1352662,1702201,5339136,9970238
1123754,1120302,1161547,1169856,1280663,1280982,1632486,4497357,6308262
1121489,1131620,1153238,1163593,1280397,1325291,1719131,5517460,6657589
1124740,1124110,1131406,1174097,1273293,1327011,1680079,4468504,9686094
1126865,1130101,1161615,1154256,1272794,1302890,1656328,4442737,6643963
1130132,1124660,1139733,1176918,1288030,1306216,1703369,3484111,7032531
1121501,1128272,1149249,1156412,1277775,1346218,1617554,2965403,9928414
1124730,1125977,1152402,1185036,1301496,1296947,1606831,5407873,6360142
1126237,1128721,1151293,1164245,1272178,1304963,1674834,4831040,6812330
1121308,1110302,1161755,1168207,1266407,1330823,1612132,3714637,10012522
1121495,1110927,1160370,1160499,1252234,1304639,1590038,5868220,6531972
1129280,1125358,1159140,1173298,1269635,1300656,1702418,4591652,9989892
1127593,1129675,1137190,1158930,1284481,1322126,1677097,5362256,5158586
1121321,1122009,1142028,1176344,1288087,1322410,1587916,4620353,5241496
1128296,1128294,1150432,1164275,1245830,1304778,1687196,5377343,4982751
1127031,1129818,1145859,1181285,1257304,1323790,1669594,4585759,5008181
1046705,1127527,1160856,1155922,1282863,1311659,1639825,5251941,5338115
982692,1126152,1130716,1171535,1257680,1309843,1662405,4461703,9609737
977389,1132675,1151015,1150621,1276428,1327008,1653052,5280866,6504303
976257,1124123,1143675,1172183,1260594,1311779,1590584,4449531,5237679
979013,1130477,1150136,1154075,1282280,1297549,2039684,2742723,5231453
978504,1123286,1155960,1175638,1258526,1345003,1637123,5858783,5016788
979547,1132530,1137377,1165330,1257014,1315528,1597396,4504550,5676973
977870,1135884,1152058,1165828,1256562,1318909,1638744,3197039,5140127
981092,1133551,1168494,1166161,1245939,1323271,1580598,2548658,5168546
976580,1118898,1157120,1179801,1287449,1314988,1558867,6406278,5186256
965266,1124780,1156155,1164764,1243121,1295230,1584650,4953994,5074718
980144,1126725,1135750,1184383,1273932,1351422,1556934,5525181,4949246
976223,1135131,1161692,1170754,1244287,1312339,1532167,4653131,4845027
977085,1124054,1150442,1174175,1270772,1303881,1560397,4883944,5471405
977160,1125384,1138463,1171271,1267201,1319248,1544775,4660895,5293992
982764,1134968,1152787,1205013,1277799,1317170,1543108,4608370,9456476
973105,1126135,1146838,1166338,1247745,1307547,1588315,4524852,6589165
976354,1121505,1160166,1161556,1289217,1327484,1530816,4541861,6715697
971735,1122888,1143559,1152001,1272179,1300280,1533386,2743185,10038260
979298,1125798,1136407,1173964,1249601,1298729,1559762,5768911,6868911
973235,1122622,1151702,1152219,1283329,1342054,1519673,4544079,5342513
984749,1119406,1151595,1172076,1270530,1319098,1497710,4459632,6095245
974961,1124644,1146986,1206025,1248744,1322208,1554150,4528730,9371154
975062,1126232,1166525,1189405,1266682,1331308,1566721,2849253,6198047
967620,1125326,1169441,1167699,1268096,1303650,1553408,5668162,10120375
976945,1121671,1142273,1180079,1305071,1295297,1597835,5135468,6196972
970809,1128173,1135237,1164760,1245329,1345174,1567320,5418710,5115073
978287,1120557,1153156,1168871,1287061,1304367,1587335,4683120,5145725
973662,1129723,1142866,1162272,1274672,1278170,1680340,5574610,9094354
978687,1131134,1160689,1165457,1251991,1329645,1615981,4728813,6175698
970169,1126287,1133524,1164601,1267496,1316384,1638101,2815161,5447133
978226,1124099,1144991,1171247,1294201,1308424,1628577,5770038,5066649
978600,1124477,1142458,1161698,1273033,1333231,1575892,4772917,5008989
975937,1127695,1147801,1169135,1284319,1305627,1558115,5431384,9051711
980668,1131581,1142476,1149580,1271638,1322700,1660630,4639169,7889251
977490,1122692,1143866,1174857,1275735,1338303,1576912,5389538,4951004
971006,1121933,1163686,1160778,1286231,1338738,1577373,4531064,9992687
977919,1115954,1138042,1182149,1266962,1303980,1630351,5287071,6329901
966247,1128922,1145179,1151245,1287416,1334235,1578304,4551102,3878637
976754,1129119,1145104,1152420,1274342,1292606,1564185,5255017,9941551
973586,1122618,1141045,1166002,1269697,1305890,1615532,4462476,6301855
975716,1123246,1157371,1166211,1259271,1325908,1658793,5224232,9329650
974222,1122072,1131711,1161835,1270770,1292817,1634516,4484644,6480598
980440,1124975,1156642,1181538,1257548,1306972,1714262,5383554,6459810
971376,1142285,1145590,1161575,1281489,1333464,1610013,4736186,6311907
1116262,1120918,1145533,1173062,1281958,1289966,1569176,4679074,9227632
1119888,1125392,1148802,1162309,1262656,1304342,1713483,5538227,6002559
1116167,1111220,1160972,1167997,1270722,1356088,1595543,4646605,9301667
1114882,1095348,1150528,1171023,1288201,1292638,1573246,3255554,5342248
1118362,1134227,1139756,1192395,1269937,1313798,1647351,2608175,9713070
1115580,1128435,1156941,1159379,1268478,1340587,1614495,5772304,6583023
1113394,1126649,1145812,1175965,1275271,1296260,1626342,4575105,9376567
1123480,1125660,1156401,1161857,1269865,1325786,1696743,4936506,6348582
1117682,1116432,1157219,1169388,1250036,1323439,1646986,2288066,9379359
1116725,1142238,1149443,1160579,1236914,1315490,1640188,2503459,6635682
1117659,1120798,1145910,1175137,1282606,1310083,1689208,3564917,5357315
1115505,1130754,1138227,1159749,1279727,1328635,1620421,2531794,6216992
1114373,1124783,1146915,1173021,1278574,1320753,1597663,3546044,9848610
1120753,1132015,1157870,1167148,1269138,1294061,1659835,2549186,6230385
1117518,1124140,1147777,1175656,1255809,1342585,1678667,6477092,9428811
1114064,1127883,1145248,1151081,1273308,1312012,1610576,4778031,5803962
1116190,1129394,1152770,1166716,1297514,1300788,1669758,5473270,9596891
974282,1132987,1153761,1159236,1250146,1326664,1607012,4690242,6539471
972940,1125477,1165231,1170919,1266484,1304212,1582513,4624282,9376788
973732,1127496,1148032,1156083,1258179,1311381,1728978,3621913,6105494
971611,1125500,1150220,1174852,1287495,1340665,1619910,4138688,6297614
976449,1134981,1149662,1158721,1234530,1325418,1574847,4876565,7003618
977137,1124549,1144071,1175514,1307066,1300365,1680230,4542042,10350347
972702,1127699,1147833,1164531,1265700,1336850,1627334,5342716,6573259
991397,1125589,1159533,1169001,1279807,1303323,1632588,3581508,9767868
1022008,1135388,1163268,1155248,1258178,1296767,1691277,6054186,6279020
969537,1142638,1153246,1168654,1276216,1334569,1649082,4572071,9416838
972443,1130026,1164941,1155087,1254421,1300231,1619420,5361222,5349012
978270,1129311,1148583,1171293,1274447,1313156,1683274,4541642,9599691
977412,1127965,1154916,1172031,1233649,1346046,1598977,5384610,6384994
975346,1123893,1160191,1170140,1275686,1311701,1611869,4650814,9634273
973334,1130675,1151771,1167803,1257723,1297326,1683137,5264963,6224110
979763,1136456,1157540,1176800,1296663,1320404,1620364,5227254,9395588
976693,1126010,1144912,1158131,1264664,1317851,1626434,5585666,6613176
974170,1136628,1150564,1179687,1272581,1312872,1637107,4673369,10071928
976395,1133011,1146623,1164126,1253611,1334031,1648321,5470671,6449489
976376,1130126,1157975,1177455,1251233,1309751,1939988,4622726,9768283
966187,1128237,1164014,1173842,1272631,1297903,1682566,5442221,6203640
979627,1124401,1156474,1172651,1281563,1352184,1583137,4619417,9319064
978139,1129024,1150051,1166753,1253243,1310005,1595101,5406455,6047181
975579,1125489,1144462,1181265,1275069,1305535,1627019,4600485,7138201
974020,1126663,1149178,1169598,1241983,1325449,1597226,5308628,10023060
975072,1135818,1151614,1172548,1293676,1318704,1581661,4584989,6238436
969301,1133338,1157159,1160098,1243158,1307434,1623136,5343215,9611779
975476,1126344,1144234,1183391,1260322,1323995,1564263,4562239,6168482
976313,1122667,1141077,1151607,1236587,1279494,1532365,5283912,9343695
972917,1123816,1153377,1172770,1280732,1290412,1566461,4600557,6518068
973617,1133928,1161454,1153793,1279460,1339737,1514675,5393720,9626692
978520,1132011,1154328,1167980,1276972,1315550,1497241,4077471,6437680
954845,1129325,1142357,1150347,1239339,1313166,1592626,5986173,9637430
950189,1123900,1164644,1173073,1294194,1331875,1546598,4767891,6255638
