SHIR FPGA (buffered jit-copy) b16,SHIR FPGA (buffered jit-copy) b32,SHIR FPGA (buffered jit-copy) b64,SHIR FPGA (buffered jit-copy) b128,SHIR FPGA (buffered jit-copy) b256,SHIR FPGA (buffered jit-copy) b512,SHIR FPGA (buffered jit-copy) b1024,SHIR FPGA (buffered jit-copy) b2048,SHIR FPGA (buffered jit-copy) b4096
189084,216484,265524,296077,379330,563771,908935,1741146,3150236
188175,222182,270734,299517,379386,543792,920889,2021631,3915261
188349,224986,266659,297011,381620,538694,875021,1678276,3269853
191508,215350,274094,299224,394915,571733,858099,1598487,3283566
189259,221708,278508,295946,395197,562067,911012,1668255,4151527
196978,215584,268287,312723,371291,545461,975279,1730368,3171811
188897,217417,281581,302983,379040,537579,988721,1735752,3474955
187820,215260,284566,317144,375124,548034,988015,1718219,3960452
194617,216297,261978,301776,371587,568674,949929,1714860,3120684
191167,214102,269380,298270,380636,539692,994154,1777900,3319186
184971,213785,273155,300394,385839,564748,981096,1784224,4314934
194546,217758,266879,296614,374672,545695,975555,1716773,3129583
187579,216111,267857,299962,375865,542591,992086,1719353,3230835
189126,224239,274655,302223,394418,547874,957461,1728327,4045514
189102,236864,267263,295232,380936,549054,1026155,1760176,3148452
189430,245772,262418,296319,382064,542031,991520,1718088,3304548
188645,214523,275994,297229,390863,541262,963623,1739759,4102697
195864,217632,268381,298669,372153,544763,993367,1730262,3143987
184713,218303,266708,302407,385365,544597,969508,1723375,3157445
190005,212464,276376,294423,374851,564457,925712,1737458,3946091
194438,216787,266770,296792,374359,544545,1002746,1728118,3171863
186777,216487,269284,300464,375595,543422,979375,2043987,3394131
185045,214198,264066,295528,380078,539070,995937,1671112,4137226
195124,212769,271613,298558,372406,549272,956648,1661090,3184178
188781,219992,284261,298738,395870,541814,964701,1697249,3240200
187978,212087,280982,293771,373599,546720,944304,1742789,3914558
191062,221434,262322,313221,370416,559838,966837,1729782,3092730
188162,215448,269047,300037,379274,563594,890908,1687041,3116628
188900,212841,275146,298974,372581,566800,953920,1722352,4289967
194859,216726,260992,301000,373556,542260,959523,1691203,3164497
192063,213902,263046,307480,385176,566569,957907,1740774,3190825
187680,212029,268804,294659,377482,564318,972737,1695160,3968867
194987,211351,260999,296324,372858,547074,970068,1727152,3085401
188787,224910,265388,300300,421156,561068,961393,1742466,3362660
188035,217506,270186,299343,378457,568232,970070,1732932,4178740
194233,225698,264572,295425,383237,536705,973840,1714473,3231626
188301,215936,262310,302124,385174,562066,932604,1719947,3227922
187871,216354,273587,299284,377882,558664,1010590,1718796,3960205
193927,215038,266689,298038,391704,548865,975267,1946787,3112936
189583,214707,267986,300616,382283,550933,960489,1681921,3199136
187636,217984,266392,320579,377917,564484,941137,1614545,4321974
200938,214316,265979,298604,371724,557904,957486,1657299,3233278
191576,223524,263811,299106,375271,551556,966899,1721825,3211695
189336,213247,271182,304815,376680,546958,972643,1720246,3998879
197491,221069,265704,299949,396218,574150,957089,1736774,3118043
189929,211770,266845,300586,378241,541164,958776,1734394,3251749
191466,211145,267885,301351,394152,540355,965031,1737354,4330272
199927,214634,264111,306912,373561,537441,957435,1733266,3213669
189553,216091,268040,310802,380656,563394,969705,1690263,3173366
188067,215263,267203,305242,382416,544734,962555,1711599,4025163
198631,216671,258929,306616,373395,549655,1198999,1712111,3174874
188323,215868,263699,307828,377841,558093,937786,1705829,3157110
189837,221402,262562,317188,384544,543252,873413,1746317,4201518
214855,233133,265559,311632,371982,550986,879632,1698449,3166991
205319,210750,269271,299701,377598,539830,879744,1733351,3225336
200715,220285,279139,308620,374731,568440,849986,1713416,4052309
196491,217917,267318,308852,378708,557653,852789,1740084,3174450
191658,215457,263926,298646,379775,573357,880182,2001113,3195849
186483,215766,266142,307207,377187,543944,840935,1704075,4023531
197200,213326,270541,297842,371705,551485,850507,1676976,3312416
197171,215189,266136,309600,405820,560083,839291,1656236,3200558
188565,213293,262990,325941,384933,565594,851256,1688057,3110492
197457,225526,264280,312080,374896,544621,847919,1739384,3045322
190242,220195,266015,313631,379848,925806,846252,1693958,3013895
187789,222387,269676,309609,377737,605974,846361,1720103,3434597
199537,215456,267369,311835,382469,580786,837143,1688551,3118984
184092,222915,273289,309841,373464,561553,844390,1764640,3137695
183134,215411,265500,325047,378557,560813,840919,1687655,3089975
196814,217972,288912,295252,374731,561297,854584,1739550,3095107
186892,213541,279546,298679,383211,582685,830501,1740904,3091061
185365,217841,276882,300693,376440,572192,833708,1700902,3022577
203203,215796,265020,304049,391990,558179,944655,1723325,3317986
189151,215115,265699,297202,372755,555594,837041,1718635,3214473
186819,224663,270661,299821,385434,557783,842887,1716601,3104236
198879,215836,270969,296334,380459,564699,921744,1733164,3073662
188392,223360,263797,301177,379418,551484,953254,1699496,3075034
188268,216499,269817,298431,374644,562068,992343,1918404,3072091
197929,217629,269852,296277,374677,554200,844469,2433494,3905774
186406,218651,262474,296256,380757,553795,938628,1732097,3325338
188620,215155,259532,298090,376896,566597,904359,1784491,3205633
198649,213763,263238,301412,374288,562876,913998,1739765,3137229
189453,212105,265587,297320,385342,549365,916053,1769262,3120985
188463,226908,263176,298841,376973,572659,996762,1767204,3077651
189582,217333,268794,316683,377011,556520,1021687,1732183,3481865
186009,225554,269866,302223,377141,547491,985377,1729920,3309728
188387,214698,272249,298967,398885,561761,987734,1771603,3238192
187900,224651,262525,302521,373769,551059,980234,1702204,3215382
189756,215925,268991,294662,380947,565368,967119,1717145,3177648
186174,210795,266791,297002,378154,545396,991464,1708839,3237593
197676,214368,261200,299193,393050,551778,983851,1755158,3201866
189635,214486,268849,294799,386292,558816,973676,1711703,3535634
189484,212531,264247,295436,394544,548228,969419,1818453,3341486
187799,217715,270439,304158,370437,567845,963359,1999809,3205556
186914,218883,269823,298291,379619,547027,940957,1848896,3134195
187999,211722,260555,296415,380242,562160,946148,1835021,3115060
192654,219715,271210,294476,381497,552276,976457,1789740,3565976
186264,212962,282831,301519,379842,565455,958113,1806298,3326713
186274,213354,272853,300978,390434,582880,963498,1749560,3232794
190303,210924,265168,305749,376991,546610,972620,1758464,3184612
189106,213363,271209,302707,381029,554036,974402,1819465,3155667
189180,217043,264288,298792,374278,550379,972798,1774426,3116206
188118,211316,267098,298883,377016,556837,945713,1772816,4185895
188771,220171,280522,301390,376524,542425,985425,1822806,3321335
186311,217125,268201,300131,376608,564842,967930,1771950,3328282
186691,223266,282953,298942,373471,543630,969979,1773249,4367332
186780,216811,275656,300537,374990,548978,948741,1795203,3252745
188281,211697,275612,299250,373775,557177,953126,1767611,3198436
190151,213441,267353,297347,372038,545496,954133,1745359,4191863
185891,213892,270676,300738,372920,548235,981078,1764034,3384554
187675,212498,262148,297397,375165,542682,949230,1774281,3350849
188329,214996,266803,298028,382544,549821,976951,1747101,3199659
187377,221815,273203,297167,375905,556525,961239,1760946,3239845
188215,211121,270215,299119,372994,543623,978642,1963275,4161358
188683,222928,272969,300274,373889,541097,997060,1819453,3258761
188523,212804,273876,295991,405025,542905,971854,1772754,3406730
193260,214450,271182,295811,380269,548332,1005572,1810346,4471689
189643,212916,265386,298792,390948,575200,971256,1793884,3300789
194329,214593,268820,299185,379117,539969,935063,1786053,3260432
191541,215129,266001,297482,375932,555644,990439,1746922,4018411
189452,213089,270359,300045,376886,562151,973390,1747941,3195475
192945,213053,272266,294052,389234,549180,975657,1760153,3280032
188965,210716,276281,300270,376164,547374,984504,1736919,4653118
187848,223106,269118,303815,376921,543282,989049,1758148,3315006
190254,214349,266273,298307,386754,537996,969787,1821381,3279457
185995,243204,265251,294951,377695,550484,973254,1748051,4298288
190097,229079,275761,299753,374795,542128,959211,1763299,3196634
192496,212413,270961,301973,376164,546347,921838,1763886,3365538
186014,215807,271292,299304,382427,558908,1179273,1799007,4487868
190634,218158,270863,294225,374813,547676,928493,1735229,3269735
190455,216145,265256,297474,376363,547969,881599,1951934,3279590
204661,214230,264002,300729,376918,556388,950806,1794562,4234576
207022,212914,263307,298600,401155,568791,911787,1788199,3168792
199942,214377,272706,297177,379755,539309,923641,1778336,3154263
196363,219306,274321,297732,376423,544811,917397,1784823,3586328
188431,212413,262054,298476,378614,548294,946209,1760555,3296259
190657,222468,272791,297174,397620,553198,879334,1777756,4772346
200271,215863,263473,297491,380095,554496,916623,1754347,3378745
191143,211880,262828,316875,378063,540576,908348,1778394,3364072
189187,214189,268194,296826,395836,541953,895495,1786794,4408066
199385,216581,264501,296333,376386,559363,915898,1748495,3405482
185659,214243,265648,296776,376400,546402,917596,1760456,3286937
191677,218547,273560,295404,385801,546086,917494,1778144,3206460
202601,218971,271182,299908,377518,547259,904191,1803631,3177143
190107,214964,264630,298973,372117,540081,907191,1749477,4191992
192553,219674,266369,302805,379958,547445,906687,1771809,3179090
194424,211206,263416,302649,401512,542291,881913,1741515,4245823
186755,212977,262338,301365,375846,545971,877429,1762496,4310228
190826,215543,269264,297056,378517,558259,913569,1745238,3391077
197214,215961,263329,297530,382588,544487,923295,1947317,3485341
188076,212646,267043,295954,374344,544351,900545,1795533,4725430
186292,212210,270013,296965,373559,555972,894574,1847330,3442536
196604,226472,260764,301923,374463,566608,928907,1785300,3369269
187767,214092,263202,297242,381646,563169,902156,1781801,4539752
189196,218676,269570,293282,377722,539722,872470,1750033,3318594
195489,215630,263144,299954,393037,547372,917342,1755403,3284180
188554,208900,268794,305085,375302,559183,881100,1807596,4319690
187622,214111,274580,297907,398275,543763,909064,1752813,3439398
196545,216677,279180,301892,381686,541012,917253,1745792,3529200
188584,216707,273896,296557,372778,545277,917324,1755258,4633207
189901,213836,271353,300027,375094,546624,988409,1820129,3382684
196236,213809,265730,300458,375627,556346,998737,1766181,3490825
187297,214532,264313,301273,389008,537752,962189,1777619,4774611
186298,221269,272828,298119,375794,543359,980770,1781752,3504311
195541,215327,267518,299844,377245,538776,1023391,1763035,3632830
184569,221494,269180,296446,392818,545210,998718,1747162,4868342
186748,215196,270836,296238,381227,555725,990167,1792871,3675161
201881,216362,271628,297632,382953,545943,975920,1744991,3613007
189910,214473,261530,302796,375046,541986,992120,2010179,4703136
186143,214516,271693,298084,379452,560375,972756,1803315,3369490
197050,215041,271720,302750,382111,542357,967440,1827528,3366447
186621,213337,261754,296862,378414,545181,976705,1770155,4701516
185898,223635,276608,300491,375393,544531,965492,1769633,3442224
196757,214817,267443,301756,372609,563164,971105,1794277,3695794
191425,215805,267919,314917,377685,539052,975131,1781519,4685470
188964,210386,281102,296114,381583,567268,964274,1757471,3449581
196294,211330,266903,317615,374544,581820,976705,1747159,3373042
187799,218740,260794,299358,373372,539766,968193,1773290,4506814
187652,212652,270132,297688,380520,540121,923468,1763641,6901122
194819,212387,284524,301280,383690,553405,959342,1774226,3175800
186935,213632,279759,301789,374840,540817,950143,1787773,4285429
187844,220173,268511,321150,376333,544768,975034,1781221,3124569
200737,216055,266494,300230,406883,549423,963386,1813397,3081784
190227,221771,260511,307296,373517,545583,961043,1723819,4043786
188718,215258,270088,298085,376900,541019,960421,2040729,3215338
198441,210187,263285,304828,376338,546946,985683,1818499,6835452
191723,214673,264659,297354,375887,544419,979092,1901769,3210595
191231,213003,272932,303647,375800,571831,950584,1801257,3210390
191627,215044,264567,305869,392411,542154,910736,1797955,4146869
188448,215398,261817,308474,374178,540371,987555,1796576,3459937
187785,217853,269917,307138,376086,545178,992248,1762852,3326425
193712,212165,262833,304314,382388,537930,950306,1762164,4310722
190452,224645,262277,304708,373061,572248,972763,1870198,3172828
191409,219888,278856,329750,379926,545435,997979,1750456,3170165
196111,217829,266644,298654,371335,559142,969146,1761995,4163373
190199,215133,264705,298967,383100,545654,965615,1798889,3132929
190217,217993,271632,302365,377527,544147,928552,1782877,3461148
217903,212894,272344,300401,374238,547074,969194,1778328,4429221
205244,216463,265612,300141,373527,539815,920904,1739839,3276742
198810,214698,264965,304245,385740,563328,964849,1798237,3205205
187871,216600,263084,299461,377150,560442,965559,1715880,4208007
191071,219579,264613,297781,372922,581250,982803,1798046,3137231
186444,215915,272074,301438,373947,558541,964638,1754437,3242477
189989,225500,270214,298745,376688,570782,948614,1753606,4820102
188207,218515,267363,299305,370129,544339,955671,2059032,3344153
188535,215057,274940,303879,373308,571714,1191559,1789407,3532240
192343,213543,264066,307065,378266,544703,929224,1787274,4443796
186202,220254,261478,306850,384615,540490,885192,1795856,3367720
187643,213567,270723,310988,372440,547151,873874,1794986,3436092
193832,212045,278818,300945,376045,561846,858392,1765845,4259215
187322,222757,274533,305882,373370,548082,877143,1759776,3181290
187486,212700,269860,302786,400022,564913,858727,1792481,3181410
188542,223307,266165,310930,379889,539676,860309,1730119,4115312
188371,213488,269318,304113,373303,565819,840939,1753957,3240204
188744,213598,273147,306214,377718,546826,861268,1753182,3202918
191593,214089,267648,304551,399921,540508,876265,1783246,4443762
189747,216175,261053,306019,389968,540353,857167,1752286,3214412
189986,216940,271194,311311,379428,562184,850423,1805502,3264252
187725,212685,264614,305226,376176,549117,850764,1758839,4087298
188076,221039,261532,310711,374175,570183,839437,1763707,3228526
188324,216907,265064,306445,390257,542844,845024,1779417,3426093
191557,220594,264848,311619,399299,542539,833848,2004327,4180789
189026,215656,282066,309303,374712,568087,844787,1757337,3272695
192281,219675,290140,305155,376126,555258,833094,1746899,3188115
191084,216292,261193,302408,385852,570523,839992,1774075,3117182
187469,213359,266563,317379,372513,547940,834613,1766923,3194876
190339,212281,275369,303191,379937,548598,935070,1793124,3188971
189415,211548,269543,305589,375795,567022,823230,1788224,3519607
188624,216661,270849,301225,376487,550498,848852,1742661,3451048
