b16,b32,b64,b128,b256,b512,b1024,b2048,b4096
46306,51829,57724,63047,73604,102708,287748,381823,559739
46161,51361,57848,64743,73152,109337,273308,373324,576824
47420,52698,58399,63776,80039,102077,252434,373030,568806
46716,54157,62236,63854,74618,98243,276503,354602,613752
45357,51511,55714,63922,72719,100753,269320,361088,525725
55336,50760,56879,62765,73775,100279,301714,373469,587903
45164,52815,58318,65063,83553,99304,313722,372935,561157
46705,51679,56657,64207,75421,99516,269146,346921,540084
47281,55916,60947,63049,73141,97542,273443,364180,568670
45237,52060,66193,63215,74557,102751,294699,378881,599182
52614,52295,63956,63845,74530,102025,335902,377766,522461
45235,51807,55345,64131,72161,96815,177612,360092,558966
46505,50298,57220,64226,73524,96327,154528,380529,567529
46746,52415,57059,64999,72647,94802,152907,427056,575923
46932,52398,57098,62471,74600,115436,149950,294984,553354
55446,51665,56556,65498,72447,95851,149359,286497,562216
45119,59229,55632,66748,73267,95731,147498,330298,546528
43712,52628,55572,61491,71560,95195,156144,357506,542691
44627,63225,56689,65440,73761,100982,219128,357763,558115
44692,52800,59479,63135,72823,92675,146169,356093,617791
47024,58074,55698,62710,71837,93836,146843,370711,557363
44474,51583,56933,63503,73786,93109,176408,366263,570511
46191,50848,58335,64670,72997,99704,175384,357544,588185
46273,53974,57618,63061,73500,102092,200893,424063,527575
46167,51966,57688,63975,73047,92368,203777,381965,547717
45651,61620,57677,63893,76311,93946,202757,372327,552490
48565,58419,55476,62372,73071,94389,196073,385642,650304
48282,65581,58630,64819,73350,98845,224248,373821,565960
46695,52108,57068,63048,73313,92499,198294,346093,555846
46180,58312,56578,62103,70480,94202,228638,432615,562322
46826,52306,56627,68638,73300,92401,214790,350072,556513
45335,51631,60785,67015,72876,109859,285899,342127,544979
45508,49246,57147,64137,73093,94952,207551,421505,628799
43881,51325,57726,64951,73916,88438,256255,406587,1504100
45369,54044,59332,63937,72560,93555,250548,419605,538198
45258,53005,55954,63575,83908,89705,274905,356410,559603
45960,51923,56523,63884,72463,89711,250095,400073,565658
46520,52188,58422,63217,74601,97172,187217,384119,585745
45186,50544,73705,64812,73493,92779,245696,396506,1475171
45736,51453,57659,65272,72354,89765,210834,372302,597385
53298,52555,58432,62663,72703,98880,210882,374506,590609
44445,49262,56875,62205,74922,86660,234346,413617,1407770
46197,50542,57019,61863,82198,102009,253325,425437,566353
45200,54334,57526,63573,84621,89444,280561,440453,648960
44617,50889,56461,61846,92505,100351,236878,454473,1503054
42665,51768,55810,68158,72464,89624,278001,409848,558515
46561,52053,59169,63945,74255,90531,294915,412487,594921
43605,51201,59245,64507,82905,91183,249690,399147,1406768
44775,51212,57152,62078,84999,91880,276734,402037,559520
42837,57752,56707,64804,73890,88575,243921,407966,623849
44478,52838,55209,64708,83373,92668,246529,382048,1497537
45743,51874,58483,63617,71772,88510,273743,440244,540547
47508,55062,57402,63498,73007,92523,277899,440438,598988
46759,51713,55935,64773,73688,91614,244650,421830,1390448
44374,51831,58717,64280,74341,102860,255531,410289,542738
45612,51809,63880,64397,73340,86002,249701,377993,610898
44432,50870,58005,64753,72839,89121,275290,383787,1515157
46224,51689,55946,63226,75031,84812,252048,384013,561752
55401,60463,64968,64125,73158,89099,269366,352135,567458
43211,50197,61914,62695,73684,94590,240825,353905,521758
45470,50366,63461,61216,72651,90462,276244,391023,565139
46506,57247,57281,63130,73192,88082,227106,355922,608498
44701,49333,66748,64802,74622,88345,306128,384369,568752
45839,55345,60399,63254,74408,89125,273945,382118,526653
43580,51573,57559,65633,83099,97809,255487,379473,599233
43010,50079,59140,60816,74198,90070,279942,405108,1430149
44022,51924,61912,63702,73240,89086,263579,381782,538990
43842,49507,56081,94659,74351,86810,243163,448101,603928
