FP32 eager b16,FP32 eager b32,FP32 eager b64,FP32 eager b128,FP32 eager b256,FP32 eager b512,FP32 eager b1024,FP32 eager b2048,FP32 eager b4096
29398,35499,59697,75738,92553,121138,182173,216327,490487
29692,35343,60026,61660,98681,121031,185095,256840,489445
29425,35072,59083,61860,86117,127432,179290,308450,454813
30247,36062,59459,62416,91888,109323,184573,308270,484715
29741,35181,56830,84351,92712,118218,165014,326649,614384
34443,35344,56932,67465,87647,117755,189646,307805,555356
30433,34845,57439,60803,93119,105700,196308,322856,472578
29815,40684,57034,61668,92116,105059,188304,347787,476063
29755,35243,57843,67255,98199,121729,188433,344788,473215
29857,35111,56550,67361,81338,134133,191789,336073,651862
29478,35277,56452,72244,91477,124727,202186,332438,544026
29107,34976,56744,72329,91662,123037,185554,328737,492318
30119,35823,57702,66407,93939,123267,184926,449398,491666
29872,35197,58137,68007,87112,123376,187287,251631,539120
29595,34752,57609,66763,82035,127615,298815,214945,481407
29960,35764,62640,65422,92334,122621,166152,279089,593725
30315,35601,57358,66897,85229,130293,212596,262649,548840
29900,36010,66693,80890,91706,125592,192066,329330,507320
29960,35307,58567,80638,99223,125345,189528,346781,461513
30671,35652,59143,67159,103472,128112,214040,362644,480972
29376,36092,57165,77016,93619,129418,161401,330340,462948
29131,35570,58715,60745,92365,121704,206558,323566,600792
29237,35346,57161,67726,93536,130773,199981,323991,554740
29052,34865,58826,64757,92876,110312,152349,341872,493689
29350,35686,57335,62037,100709,109491,192975,334905,463549
30592,35259,57966,71735,94825,108589,199229,330953,484524
29578,35249,57899,68495,91509,109082,202413,322260,469234
29018,35579,55744,63064,91348,119950,197657,418734,623470
29174,36503,57872,62660,89395,107847,142630,243893,546352
28974,35297,58004,69488,101371,122802,136187,228376,512704
29065,34547,57970,61850,97349,123959,214698,361857,470424
29131,35036,57576,62216,91904,121512,202973,319792,475819
29898,36068,58663,64035,95195,122555,138344,384336,495412
29383,35332,57338,72625,95636,114948,139914,336614,603273
29491,34594,66818,62052,93340,132345,138327,360700,555896
28929,34492,58697,60685,93275,122456,148609,347671,493986
29010,35353,58310,66885,93999,124528,165508,343346,479455
29591,35786,58115,63547,92777,126604,210741,354489,531034
30027,34860,56616,67692,93329,107374,207893,325974,1060969
29529,35029,57793,73332,82424,105723,230730,320482,589981
29534,34982,57526,62277,92149,111108,207501,341435,535044
29293,35946,57480,73133,96886,120736,249981,329542,450965
29570,35084,55994,66355,94657,110508,271303,326279,487146
29537,35091,57024,66853,99786,124013,253340,434506,439098
29130,35093,57436,66995,89800,123949,208294,267665,509242
30322,36058,58110,67211,91378,122101,226851,222262,627242
30038,35040,58523,66662,91291,129279,199805,265845,555842
29445,35290,59122,80523,92197,130501,197251,324994,503446
29555,35041,58717,62660,93159,115082,155944,321261,459737
29358,36214,56463,77228,90795,135322,224833,342427,483436
29154,34772,57605,64659,92555,114815,207872,364069,595342
30328,35323,65105,62494,99500,126751,192883,319998,549131
29526,34449,57377,67096,91603,113825,196164,318343,557409
28606,36030,58240,76100,102957,155020,204675,344226,511136
29121,34612,57788,67019,91748,134071,203679,321520,519956
29259,35290,58760,75604,89520,132366,172559,321546,479049
29130,35296,58424,68758,92516,133527,210682,318197,626409
29622,40792,58919,62382,100252,130343,205460,422486,559699
30209,35294,56672,62419,92721,115425,212395,248223,502960
29487,35789,55951,67286,100392,123368,198652,216374,487791
29685,35477,57370,60611,86588,125110,209324,255829,468747
28878,34945,59377,66979,91835,117780,207571,263646,486403
29274,35867,58279,67585,85018,130983,204604,350243,619254
29264,35158,60024,68979,92722,138806,205419,334790,547709
35046,34915,56848,66369,92726,134102,187048,326651,479411
29393,35622,59260,74696,90896,134593,206616,326140,504901
32138,36101,57311,68961,90514,139594,207287,336178,457243
30144,35387,58122,67390,96243,132282,213080,329142,464239
30152,35533,62402,62409,101509,143502,232198,335341,593512
30018,34793,57910,81359,90913,137930,211902,322482,583523
29873,35781,58222,67564,86143,131897,222673,314176,524959
30401,35245,56664,66985,91856,131354,242144,327873,457808
29542,34634,57023,67396,98249,151816,232476,429679,453158
29920,34899,57449,66878,94014,141525,211348,252807,470429
29220,35913,59825,61374,91748,135253,178369,206420,600780
29151,34972,57472,64022,85893,133339,179810,262877,508984
29491,35321,57704,79932,92661,134109,172559,278144,549881
34862,35249,58498,66773,90898,140354,171665,360136,515339
29793,36529,57198,66550,93321,131345,178541,329836,434849
29502,35232,57291,62640,91849,137142,337164,319287,469159
29196,35205,56767,69099,92611,130930,169594,324488,602490
29591,34886,57267,71454,91822,134190,164612,321481,558007
29053,40698,56497,67810,94259,113968,160820,331077,494988
28971,35191,58090,67170,97635,130942,207708,316852,480366
29996,35218,57793,68359,95388,131270,205060,320477,488092
29556,34867,58723,61582,94043,133010,209282,312500,476633
28952,35235,56911,67627,92208,133399,190396,325916,598525
29075,36378,63531,65908,91912,129903,207932,334023,539397
29119,34797,56300,62782,91490,131622,191932,418908,507548
29465,35085,58546,66940,99057,127938,199494,243371,473420
34534,34752,58059,61800,86062,144083,190726,212946,480016
29999,35448,57839,74637,90667,131885,192734,286992,612736
29007,35087,58452,67512,85344,130323,179479,367144,546408
29507,35198,58354,72793,92321,155368,190507,324697,509895
29288,34885,56101,67723,93575,138291,189217,350164,472086
28952,35671,59019,67881,98169,140578,190703,354423,475010
29425,35273,56768,67357,92639,142049,203905,320055,458434
30273,35204,57248,69121,99807,134659,192246,343050,645598
29354,35594,55258,68461,90050,133966,189700,340319,548685
28959,36097,56975,65715,93492,136886,194566,313754,516027
29393,35255,56394,66148,93762,124822,218508,324253,489148
29309,35338,57025,67642,91899,144025,199691,323369,518696
29075,35202,55785,68420,92415,140169,195857,449586,528631
29112,36082,59220,60532,99510,138961,193585,260910,582525
30142,35085,60646,68581,98944,130932,198166,214609,520711
29534,35436,56345,61511,82700,132346,222400,258982,518671
29937,35430,56131,69009,102829,140459,248689,258879,483655
29077,41162,56598,66647,93459,134410,235243,324398,471018
29806,35735,55446,61870,91694,133040,246287,317033,455606
29594,35173,56216,61623,92923,135268,261554,322701,617661
30230,35198,56894,60923,92298,138455,216698,330605,521269
29269,34936,56175,60674,101267,129142,199976,316960,485954
29448,36205,57886,75308,95237,133492,199642,320107,498194
29163,35214,56213,66311,93173,135400,201360,316251,485869
29292,35265,56340,66824,93536,134893,197358,320964,460127
29446,35367,57158,62732,92488,133687,200423,335203,614455
28928,36444,57703,61621,93567,133993,219729,325796,526535
30546,35293,57634,75986,93730,138569,204854,427101,501666
29940,35015,56692,60530,99880,134616,219726,241134,546378
29295,35095,57996,67610,91656,132644,216103,228362,487536
29293,36101,56716,75373,93198,140859,205758,267592,525139
29189,35244,56502,67945,93135,132187,214766,269864,582693
29160,34761,56696,66596,103168,139173,211583,321411,553231
30626,34961,55278,59072,92762,134312,212674,316967,477859
29357,35769,55261,61732,86118,129794,197097,316437,431876
29291,35447,60897,63489,98617,133844,230414,327142,531312
29664,35073,55844,67138,83161,132950,206248,326193,465612
29588,35345,64989,80925,83618,134416,199125,315010,566350
29694,36095,56174,67148,85713,127094,202490,352584,472611
30333,35316,57946,61387,89177,129493,243134,332065,455936
30827,35132,56209,68408,93924,129767,205162,318506,466061
29665,35394,57912,61526,94452,119625,228905,355789,460374
29799,40023,56141,68222,85587,121555,261167,304272,576809
29740,35629,59377,61564,94786,137316,195156,402438,549036
28849,35078,57054,65289,104316,174200,193305,247908,480892
29138,35004,56884,66171,92912,167248,220953,256327,456429
30576,35304,55049,68082,96433,150411,215613,298440,528014
29158,35795,58036,61130,93118,166348,209387,368351,493057
29465,35198,55608,69694,94506,166423,214336,372035,586816
28865,35076,56338,63017,88055,165160,212973,344469,537643
28958,35462,56191,62430,95130,157825,225104,325570,488415
28920,36060,56052,69524,96292,175382,213009,355177,455507
29582,35046,55725,77968,96895,149077,207812,323075,478587
29907,35531,56232,67827,101202,179613,277756,334428,468411
29804,35297,55347,66722,94886,183957,340492,335905,582384
29679,36185,57174,72332,98553,172861,161076,346726,541136
29587,35377,58190,66447,95560,198191,154375,340547,547365
29212,34786,57764,67363,94661,223217,156909,431355,476902
29525,34620,62911,68808,96627,198292,167779,260996,493988
34649,35761,56545,62443,101749,132840,152658,258012,502360
30087,34953,55968,76870,93986,109954,154931,263278,574988
29597,35167,57134,68356,96655,112952,155257,279312,543354
29491,34737,56755,67371,94583,116075,149585,340820,483848
29305,35895,55935,67894,94250,113486,150604,318654,454446
29493,35171,56919,60878,95107,132159,154479,344725,468476
29523,34917,56780,67152,100872,115948,139497,337815,457846
30650,34861,57255,66012,94744,115656,151031,333076,585197
29560,40042,56528,65685,93402,131079,145897,330182,544042
29346,35398,55861,66462,95343,123684,153958,323780,516927
29309,35602,55791,67059,95285,133051,140454,321307,467311
29327,35426,56109,67604,102242,133082,145054,313936,476056
29035,35142,55938,66943,311590,133888,144613,315701,564603
33756,35902,55727,61069,122368,115033,141969,403723,607233
29451,34948,56304,67438,132527,113689,138051,250819,569206
29279,35130,56013,79382,119811,116304,143499,226740,508035
29199,35282,56768,62270,111667,115176,142090,267932,473195
29312,35997,57467,65528,123151,133845,143775,406248,563124
29154,34964,60919,61228,118337,117553,161774,317847,542154
28976,35005,55250,75267,100826,132075,141199,319763,583357
30149,35249,59282,72633,98070,117248,153896,321901,482793
29558,36063,55135,67364,106131,116377,159497,330377,477220
28721,35571,78679,63183,99671,129651,154518,323372,451119
29160,35312,54863,66298,115854,136611,186844,317953,466112
28765,35050,58116,76285,109144,130634,164689,346543,624801
28837,36237,57056,66349,101230,117175,205830,405720,556447
29205,35439,58029,68743,105258,118109,173965,322141,477228
29961,35298,54379,62744,108130,146345,168165,324496,523302
29388,35012,57548,68936,109556,117519,191208,340154,467951
29166,36491,54117,69091,116372,131586,167450,430240,535771
29369,35221,56595,65973,106299,136735,187045,269227,559220
29030,35092,55384,61781,109520,126796,165187,234172,511799
29511,34906,56276,62247,115479,135490,181702,332405,512016
30318,39756,55629,61487,118832,131389,169727,350213,560550
29276,35677,56718,68328,102561,133978,220724,372757,509488
30147,34873,54727,62065,117620,135059,198275,328234,547341
29395,34986,58773,61524,119819,129940,181757,367092,593261
28980,34857,64345,72396,110264,334793,187829,406009,538474
29362,35875,58341,63240,116580,147157,183916,319772,536881
29342,34955,59478,61530,118649,132864,194280,337895,459107
30070,35098,56939,68469,100416,131995,181472,350655,460230
29459,35167,57964,66740,106758,133379,243144,318380,472121
29090,35635,58360,67159,98242,141723,221699,326934,588075
29000,35499,58230,61196,112316,138770,218483,410243,543467
28990,34933,57529,68346,110551,131357,224639,257933,478293
28707,34940,59449,62141,102881,134113,223418,235616,463874
35097,35965,57224,61945,109222,134340,232191,287213,528210
29160,35259,60391,74886,116967,127317,207296,265959,514164
29059,34977,55969,65709,104741,134400,206262,319508,571671
29546,34929,57994,61408,110855,130327,184903,316445,516944
29437,36067,57327,62768,112150,124721,191383,341974,474018
29079,34939,59555,68238,115668,108636,191857,337520,487912
29204,35012,56602,67117,104730,123411,190688,319693,477075
30455,35436,58551,62715,116205,109988,182818,365960,449037
29439,36480,58284,62423,98660,128719,188118,332319,613603
29296,35295,58097,75186,112903,108948,184149,348697,547208
29122,35664,66813,67824,119043,131345,188440,347546,526617
29246,34858,57035,66796,114925,133615,192951,360912,490392
29124,40324,59390,72316,125794,132388,190870,442098,495511
34146,35690,56385,67783,108867,110232,190064,251708,471194
30000,35124,58565,61345,92999,107648,351342,224762,601759
29357,34777,57246,67298,90589,105136,172871,273680,570397
29448,35515,59702,66213,90809,99059,159017,330013,495152
28762,36128,57302,62125,99110,111725,169912,308919,484318
29168,35261,58169,67235,89933,104276,153304,289710,474443
29415,35135,56103,66353,90418,109176,153605,260761,596859
29821,34878,57798,82922,113711,122090,157067,335489,538926
29275,36013,56911,63938,110524,120889,149018,324114,522752
28920,34935,63581,61218,100537,131844,142214,310448,466147
28843,34696,57013,75583,99544,115453,144140,317902,475919
28650,34976,59551,74450,101680,138637,144249,338058,469916
29290,35887,60370,67068,99960,110491,140573,330971,570028
28551,35333,60471,69924,98698,126124,141773,314378,503394
29940,35247,57699,80071,111055,128219,146880,331269,542998
29488,35058,58055,66460,94401,133797,147203,401541,473845
29220,35993,59649,67514,99384,122340,140843,275651,516678
28970,35392,56818,66760,108803,108812,139074,253002,514200
29989,34986,57915,74481,102083,125896,142078,275805,547180
29614,35294,55730,72863,100659,122305,136660,342419,523151
30476,36345,61205,72008,108542,129623,134898,311765,460778
29753,34751,56111,72015,104114,120042,146507,344031,474657
29320,34933,57550,61603,108158,120037,157299,328600,450168
29077,34599,56445,66434,83235,127749,161273,319607,475626
29323,39765,58124,68594,110685,118036,161267,323229,611554
