b16,b32,b64,b128,b256,b512,b1024,b2048,b4096
16745,23230,39632,72727,134909,270635,531905,1070189,2099334
16882,23460,39497,70129,132240,267929,539062,1066914,2103609
16966,24898,39296,69847,134085,262790,546159,1041584,2121918
15508,24812,40406,69645,143189,263578,538862,1064058,2127258
15609,24852,39796,73916,137187,270387,544082,1076731,2120325
15809,23239,45479,72533,138543,269588,543241,1068622,2098176
15219,24558,40640,69953,132258,260527,537393,1074679,2114923
15348,23565,38155,70480,137652,271533,541532,1070069,2087469
17086,23220,40083,72427,132521,269643,545173,1086215,2093018
15237,23155,40396,70650,137815,269792,541108,1077883,2148757
17045,23351,40336,70321,140131,271060,538845,1078130,2128101
16865,23426,40927,70359,132935,266664,540189,1062862,2125288
15858,24858,40714,70324,137990,265815,545820,1087806,2090268
17092,24278,39140,74289,137759,270492,540623,1059453,2137243
17058,24724,39986,70012,137923,269352,527854,1071803,2103817
17332,23269,39297,70521,136515,269487,512136,1097064,2105196
15334,25094,41325,70731,138209,268725,530250,1093525,2146840
16796,24661,38686,70117,133393,265539,525740,1096653,2119936
16308,24754,39234,70327,132520,271505,536257,1069903,2114613
16847,24673,38924,72518,132284,267054,535708,1084085,2103475
16594,23258,40794,70546,133489,270527,529295,1065922,2103387
16523,24799,40814,70193,136355,269257,527306,1073783,2091499
16665,24505,39205,70689,137291,265964,536931,1073609,2105462
16651,24362,38828,71812,132216,257860,537644,1083612,2129933
16469,24227,38933,69844,140203,266401,535211,1085421,2106963
16340,24372,38394,69698,132753,270136,536589,1073374,2108207
16448,25544,40852,70816,137694,269134,534131,1078260,2097565
16265,26780,38446,72212,133663,262446,543676,1065268,2137963
16413,27601,39909,71187,134061,268702,530707,1085162,2098941
16586,25373,38589,70469,137885,260604,536689,1081738,2098989
16794,25612,40105,71215,137056,268919,534644,1062127,2111328
16573,25267,39961,70293,133304,268328,529522,1079546,2108439
16615,25160,38464,70199,136049,268107,539212,1091634,2124115
16588,25743,38664,70116,138721,256239,544667,1098679,2109920
16749,25620,39451,70057,135777,263389,528751,1086161,2114560
16506,27900,39611,72521,137657,271365,521476,1077169,2140151
16682,25280,39691,69717,139899,269049,537875,1083046,2105347
16698,26618,38634,70089,132573,266515,536526,1074135,2090101
16551,26598,40369,72968,132346,270435,537705,1079041,2103304
16491,26217,39081,73728,132672,269242,536433,1076075,2122936
16699,26943,40993,69522,133782,267216,536298,1030766,2102676
16480,26335,38385,73786,135877,269219,536460,1077801,2123048
16321,27112,40262,70286,137758,264564,536762,1064381,2112517
16159,26486,39280,69249,138132,263196,540095,1067781,2105131
16515,25909,39470,72213,137797,266710,535932,1072846,2111404
16405,26517,39435,70227,132445,270555,536416,1073529,2099880
16299,26868,38923,70585,137792,268473,531856,1066578,2119423
16144,26196,37920,69479,137800,267680,538894,1076409,2110196
16153,24660,41295,69366,133408,269343,543755,1081422,2118881
15889,25141,40714,70120,136664,268655,536508,1069354,2095600
16002,24875,39704,69310,137596,271158,538023,1062041,2104740
16212,27554,40401,70462,132758,266961,548560,1084829,2113931
15843,26696,38014,73526,132178,268625,533916,1087920,2139133
19494,25150,39459,73083,132571,269231,537009,1090332,2109207
16424,24403,38994,70421,138183,269744,541916,1080764,2108193
16110,24783,38405,69643,133415,269043,543736,1076457,2101333
16255,25537,40374,70201,134892,269538,535802,1085084,2096723
16625,26764,39197,70787,139349,262037,550091,1074908,2153527
16138,26962,38522,69830,133031,261962,536813,1080737,2107826
16224,25801,40639,72751,132367,270896,540178,1074846,2116264
16098,26440,38452,72841,133010,270855,527936,1071706,2102778
16246,26195,38374,70628,139608,256100,536650,1067030,2110498
16215,24253,40102,70722,133810,270148,536758,1067247,2139730
16030,26306,40804,71685,133272,263642,543330,1094290,2133861
16601,25499,38887,70106,132506,270246,521445,1075946,2117506
16231,25923,38855,69844,133806,260153,536394,1074417,2109010
16125,25812,38841,69464,135662,269300,537255,1077335,2100709
15802,25834,38845,70978,136283,268824,530212,1077032,2120070
15826,25696,38441,70199,133160,256426,537819,1062488,2093784
15887,25678,40831,73327,132700,261119,539644,1081850,2133904
15744,25888,40036,70213,132635,268368,537363,1094376,2109548
15968,25002,38598,69553,132545,270609,540801,1092870,2114614
15749,24599,38428,69216,133937,269706,533938,1085065,2133018
15876,25005,40346,72855,132253,262327,527207,1084668,2082164
15804,24843,39910,73033,137980,271269,536603,1088013,2101402
15750,25186,38366,71813,137515,269017,554135,1077535,2120122
15976,24644,39880,73260,133267,255629,527957,1082870,2136400
16038,26639,40670,70285,132705,265884,534840,1071138,2118268
15912,24783,38800,72434,132455,262113,530865,1075487,2106958
15802,25208,39829,70300,137844,256175,535772,1044948,2100301
15662,24814,40105,75254,135590,262298,538983,1084700,2095621
15708,24410,40006,70634,135596,257506,539821,1069684,2154220
15686,24654,39160,70575,136155,269634,542302,1075100,2116396
15868,25990,39288,70047,137403,270895,542997,1073409,2108094
16077,26069,39918,73248,134621,271145,538947,1072194,2106868
15866,26125,39958,73794,132179,266456,537156,1044731,2100539
15714,24602,40557,71155,135541,268990,540739,1059400,2135650
15929,25983,39380,70311,133319,267148,539366,1092549,2105425
15821,24878,39925,69803,137353,269756,539636,1088051,2148743
15815,25836,40508,73486,131958,255336,537365,1090280,2162792
15693,25982,39982,70732,139119,271004,524673,1065649,2127769
15955,24604,39520,73010,137868,271006,537258,1079160,2097067
15810,26261,40296,71111,133345,259829,538313,1076126,2103042
15807,23884,39207,69566,133058,257667,539037,1070183,2093920
15965,25597,40413,71936,137060,265579,530377,1083940,2119573
15330,25855,38330,71547,140080,269281,538018,1085157,2118863
15662,24907,39278,69391,131885,263544,535703,1077359,2119068
15617,24569,38857,73550,138618,261929,530491,1075890,2102735
16199,24778,39109,72358,132353,261590,513403,1094874,2093752
15508,24784,41160,73371,133876,269010,535414,1069083,2122663
15734,24690,40327,71754,132679,268988,536436,1061544,2123671
15656,24862,39347,72894,132069,266525,536831,1066807,2110839
15679,24371,41150,72131,133489,268898,532911,1064164,2103450
15812,24639,38811,70652,139065,268765,541402,1054763,2100593
15283,24685,39872,69941,137863,268783,537259,1062854,2120758
15827,25242,40076,70679,133021,262256,535326,1068988,2137466
15683,24830,38486,73454,134834,269308,547440,1094213,2111070
16158,24347,38839,70428,133411,262750,537116,1095055,2111792
15812,24838,39701,69859,135430,268647,537015,1074188,2097057
15688,24399,39741,69754,134254,262884,534561,1076559,2092916
15529,23755,41230,69387,135166,261419,547708,1078900,2105801
15796,24542,41546,69864,132497,262349,535024,1074192,2117327
16130,24344,39103,76250,134407,262568,537615,1076809,2122340
15931,24530,41141,69619,137566,269860,536240,1074574,2116367
15537,24512,41125,69788,138921,262330,534253,1073936,2143547
22507,24389,38819,70227,133139,256630,532262,1066589,2097994
15535,24519,42825,73754,140369,270145,537235,1081778,2106635
17034,24078,39001,69701,137438,271487,529795,1083038,2124359
16776,26072,39720,72002,139233,269442,536771,1060973,2118850
15357,24242,41039,71168,133795,269247,535492,1084691,2117124
16000,24507,38483,73736,133149,270691,536639,1080911,2107839
15365,26297,38750,69057,135386,267878,538150,1085665,2110078
17037,24423,40635,69462,133690,264903,537081,1074917,2106152
15159,24454,41027,69948,132858,271053,541570,1077228,2110241
15687,24021,38420,72424,133127,255942,530113,1087647,2123067
15770,25689,38624,72540,135210,269050,536756,1092543,2115982
16164,25346,40429,70594,139138,270650,533802,1075758,2108068
15895,25894,38504,68998,133629,266689,549376,1084824,2109569
17220,25917,40460,69734,133033,262175,543931,1088736,2100817
15647,26000,41126,69504,132344,262066,527994,1059991,2145606
16917,25861,38422,69800,133665,260055,539109,1063390,2106302
15264,25694,38112,69199,132400,271242,527313,1052070,2113961
15481,24124,38679,69071,134901,269743,528781,1073169,2105459
