b16,b32,b64,b128,b256,b512,b1024,b2048,b4096
15427,13483,12849,12269,12991,14331,13038,12134,29065
15687,13529,13383,12523,12549,14107,13045,12298,42084
15106,13542,13102,12421,12607,14053,12983,12300,36239
15261,13273,13045,12475,12381,12516,12776,12331,40952
15347,13245,12774,12348,13712,12623,13037,28667,28879
15063,13211,12649,16937,12475,12996,12848,17495,42116
15415,13408,12915,17936,12417,12765,13108,12872,29513
15723,13500,12908,12569,12634,12447,13011,12424,29772
15906,13406,13128,12486,12651,12203,12885,11874,34682
15886,13644,12751,12299,13627,12473,12721,11799,26464
16440,13667,13214,12276,12793,12740,13068,12154,27723
15855,13502,13178,12334,13996,12702,12745,11923,40417
15060,13452,12510,12277,12723,12654,13173,11939,27910
14727,13819,12901,12179,12498,12408,12990,11933,30506
14536,13871,12794,13855,19407,13576,13002,15548,33835
14572,13674,12577,12027,12485,12879,12945,14664,30968
14470,13776,12535,12567,12543,14439,12846,13645,29394
14796,13927,12590,12339,12546,14299,12700,13372,53330
15013,13888,12415,11916,14036,14107,13073,12963,27538
14968,14142,12510,12230,12657,13901,13238,13083,30491
22819,14310,12919,12124,12238,15332,13113,12524,32705
15189,14342,12793,12715,12574,15062,12920,12015,28554
14622,14096,12486,12394,18172,15540,13001,11978,30996
15196,13762,12542,12435,12345,12470,12714,28946,40903
14928,13879,12689,12569,12695,12647,12722,16930,30480
15219,13788,12649,12167,12473,12336,12756,13046,24655
15349,13189,12577,12306,12472,12749,13433,12442,19985
15902,13607,12433,13773,12544,12528,12741,12206,18281
15111,13765,13720,12423,12386,12775,12687,11865,18051
15635,13914,13819,12411,12655,13480,12848,11964,38049
15446,13326,14066,12303,12824,12606,12843,11800,38653
15456,14276,13810,12475,12595,13879,12862,11754,29081
15993,13528,13653,11925,12469,13198,13197,11422,29663
15393,13527,13749,12302,14219,13628,12813,11367,34081
15923,13169,13415,12235,13745,12546,12900,11757,27169
15482,13252,13822,12314,12797,13452,12531,11486,38949
15608,13655,13652,12417,12706,12719,12802,11652,36473
14779,13120,13716,13902,12376,12582,18668,11628,28190
14626,13586,14025,12467,12571,12550,12602,11835,20956
14989,13413,13470,12255,16948,12755,12789,11586,19811
14320,13490,14030,12386,13098,12513,12574,11494,26289
14598,13331,13514,12438,14218,12802,12993,11696,40663
14998,13369,13136,12683,12722,12648,12660,27567,28889
14219,12855,12827,12700,13062,12191,12847,19964,28584
14214,12992,13022,12780,12660,12581,12789,13505,32044
14109,12578,12815,12622,14010,12699,12841,12704,30420
14008,13121,14047,12568,13064,13540,12941,11979,30240
14586,13133,12960,13025,12888,13644,12924,11615,41088
14678,12876,12650,12681,12828,12569,12795,11766,29368
14344,12832,12782,12853,13953,12632,13273,11656,29943
14175,12915,12553,12743,12642,12507,29419,11747,34746
14561,12895,13768,14246,12736,12650,17138,11715,27376
14593,12574,13081,12841,12691,12719,13592,11912,28603
14876,13062,12656,12730,12667,13360,13368,11753,41447
14916,12866,12930,12927,12644,12584,13605,11619,31056
14723,12833,12847,13430,12698,13728,13248,11615,44201
14884,12719,12944,12902,12576,12613,13330,11955,42402
14401,13275,13445,12809,12666,18306,13066,11598,28703
14927,12573,13168,12972,19391,12339,13020,28518,33492
14777,11699,13285,12943,12704,13750,12994,17112,33003
14660,11389,13274,13124,12841,14409,12980,12775,37695
