b16,b32,b64,b128,b256,b512,b1024,b2048,b4096
33372,31212,31273,30372,30240,32055,32430,33680,68379
32949,30925,30961,30108,30551,30666,37464,33551,72119
33034,31011,31330,30225,30337,31065,31687,43727,62599
33489,39278,31197,30292,31989,30580,31881,33754,79387
33719,30759,31319,30284,38651,30451,31949,33582,78651
33254,37357,31117,30108,30087,30130,56820,32961,62528
33103,30587,31788,29911,30226,30626,38660,33600,52984
33204,37426,35030,30236,30643,31715,34724,33800,48531
33397,30668,31395,30142,30423,30913,32482,60478,75621
29287,30320,31315,30142,30055,30087,32225,40911,71915
34877,30619,31117,30127,30613,30630,32089,36646,78970
29196,30498,31085,29972,30640,30913,32124,34191,91171
29125,30334,30955,30233,30265,38453,31682,33981,77575
29455,30594,31134,30059,29968,32549,33461,34065,60681
29367,30786,31076,29917,30206,32808,31872,33662,67151
28959,30360,30997,30411,31867,32843,31844,33907,75499
29497,30149,31254,30226,32030,30520,31590,33734,78732
29640,30548,30638,30281,30847,32117,31815,33576,85742
33687,30425,31126,36724,30468,32403,31687,33415,77559
29130,30506,32700,30066,30251,30498,31620,33595,59918
29074,30959,30952,30012,30364,30417,31786,33857,67976
29626,30504,31094,29782,30387,30583,31526,33328,91226
29276,30852,30852,30266,30806,30647,31503,33879,60577
28996,30456,30963,30397,30512,30796,31820,33682,54181
38456,30817,31237,30219,30262,30779,31633,41539,50679
29355,30501,36129,30203,30406,30556,31713,33406,66020
29960,30917,30911,32083,30544,30629,32269,33594,45816
29227,30026,30885,30172,30127,36852,32151,62705,80613
29411,30185,31235,30238,30493,30311,32006,40451,61962
29856,30331,31451,29761,30266,30801,39513,36799,53551
29350,30443,31208,30571,30574,30969,31906,34757,47534
29312,30346,31021,30122,30161,30556,31548,34203,44145
29419,29918,32814,30277,30527,30413,31648,33821,46473
29317,29876,31494,30331,30346,32064,31671,33530,81062
30086,30302,31400,30270,30596,30647,31679,33658,63212
28954,30201,30782,30549,30239,30473,31609,33453,51279
29151,30205,31229,29971,30180,30239,31867,33009,47939
29802,29833,31148,30049,30118,30633,32170,33188,47033
29103,30147,31240,30252,30255,30837,31839,33405,47181
29218,30167,30911,29938,32054,32295,41165,33538,79284
29430,29911,31190,30332,30176,30496,31885,33491,61817
29276,29845,31036,29763,30305,30827,31937,33473,56487
29572,30644,31419,30710,30313,30789,31888,33640,49387
29178,29674,31691,30163,30176,38071,31867,43433,48118
29415,30546,30801,30419,30533,31056,31872,33231,45175
29797,29974,31119,30299,30191,31083,32120,34547,81961
29578,30341,31359,30565,30165,30747,32177,62086,78269
29455,30337,31490,30209,30309,30419,31836,42304,67950
29613,32526,30765,30273,30476,30933,31376,36713,70554
29304,29912,31168,30613,30264,30626,31895,35502,67664
29658,29630,31192,31952,30008,30999,32202,34322,61202
29373,29961,30759,30755,30540,30927,31935,34147,81122
29064,30267,30813,30353,30831,32313,32086,33634,60585
29505,29976,31287,29992,30380,30571,41602,33672,54923
29153,29981,31135,30477,29954,32708,31865,33884,51207
36140,30201,31515,29576,30199,32390,32075,34393,48076
29090,29588,31588,30036,30351,30875,31714,39972,48492
28816,30400,30837,30092,30357,31172,31945,33435,80139
29553,29712,31324,30248,30130,32375,31544,33728,62884
29309,30302,31386,30223,30044,31111,32207,33884,50840
29318,30065,31911,31809,30070,30760,33175,33795,52341
29421,30098,30641,30335,29990,30799,31551,33128,46550
29486,29515,31249,29698,29866,30785,31737,60466,45434
34408,30545,31311,30180,30424,30739,31455,42368,90475
29518,29861,31499,30292,30315,32735,32159,36679,62262
28773,29837,31057,30233,30437,30799,31995,35481,52786
29300,30225,31246,29994,30377,30970,32099,36490,48987
29406,38784,31156,30342,31774,30670,31961,33599,48027
29010,29991,30980,30206,38542,30849,31520,33413,46634
29796,30269,37140,30085,30127,30718,31505,33623,80615
28941,30106,30868,30082,30402,34175,31620,33307,60641
34986,30432,31381,30043,30226,30715,31582,34122,53936
36074,29591,31207,30135,29966,30675,32150,33637,48930
31428,29466,31077,29958,30030,30357,31979,33264,48132
30248,29844,30694,30308,29984,30893,32058,33362,45957
29982,29761,31321,29953,32033,32452,31802,33394,78277
30381,30156,31225,30165,30676,30607,31761,33547,58650
30367,29308,31137,30415,30507,30384,31687,33787,48643
30261,29630,30882,29953,30274,30654,31784,33734,51369
30073,29524,31189,30041,30102,30416,31809,33702,45655
29942,29448,31016,30178,30746,30755,31637,33404,48248
30041,29674,31166,30136,30223,30531,32147,33598,44830
29651,30347,32388,31715,30163,30870,55232,60586,77411
35744,29572,31072,30185,30593,30764,37692,41157,79628
29202,29589,32539,29761,30862,30572,34074,36072,65808
29592,29934,31035,30073,30289,31065,33158,34766,55646
29753,29655,31658,30163,30343,30657,32670,34144,49342
29385,30117,31402,29903,30550,30383,31901,33616,49107
29237,29602,31044,30007,30329,30537,32393,33951,76490
29681,29578,31098,30255,30392,30852,31796,34126,58281
29094,29622,31276,30165,30400,30398,31869,33529,50353
29699,30088,34823,31187,30481,30637,31868,33736,49585
29386,29786,30952,38799,30663,31004,36841,33666,47520
29204,29357,31179,30264,30085,34589,31722,33726,95095
29955,29496,33061,30309,30394,32500,31877,33713,59459
29561,29430,31309,30126,30535,30546,31408,33354,56251
29795,29089,31004,30464,30402,32366,31994,33188,61466
29217,28791,31142,29831,30289,30606,31759,33486,48046
29316,28864,31161,29944,32717,34808,31772,33813,46606
29514,28993,32984,30451,32020,32391,31850,61423,80353
29348,28852,31217,31205,30198,31006,32131,39989,80773
29350,29106,31037,30041,30494,32482,31855,37774,62157
29247,29339,31497,29942,30186,30638,31636,34126,49715
29157,28647,31092,30118,30731,32297,32140,34570,48190
29148,29409,31065,30082,30266,30594,32306,34128,46396
28849,29218,30701,31572,30248,30911,31905,33721,77589
28687,29350,31165,30582,30541,32300,31962,34515,62889
29278,29490,31113,30022,30418,32468,32054,33690,50178
28796,35886,31081,30286,32509,32320,32246,33426,47658
28690,29326,31196,29828,30530,32582,32008,33641,48178
29064,29234,31215,32291,30530,30949,32018,33566,52247
28671,29253,31526,30089,30277,31019,31689,33608,78646
28908,29243,31104,30219,30443,32598,31885,33807,61287
28582,29391,31103,30469,30174,30834,32099,33480,62944
28880,29344,30952,32027,30252,30737,42013,34155,47011
28755,29267,31263,31980,30449,30772,31529,33445,45808
28878,29703,31135,30217,29983,31078,31989,34095,67085
28789,29923,31802,29997,30384,30842,31634,33390,90662
29507,29014,38651,30036,30255,37505,31897,61411,61581
28518,35534,30774,29980,30490,32268,31910,43319,52752
28870,29063,31148,29962,30595,30943,32080,35827,47799
28964,29006,31505,38873,30703,30342,31810,34100,46210
28852,29205,31461,31490,29839,30513,31514,33934,54193
29273,28977,30810,33183,30476,30873,31797,33343,86827
28901,28995,31331,30918,29942,31390,31793,33371,58905
28777,29227,30992,30336,30143,30775,31897,33819,51745
29296,29345,31071,30088,29995,30859,31754,33616,46804
28626,28873,31228,30157,30394,30457,35036,33561,51855
29432,29212,30870,30734,30561,31145,32486,33396,44424
28568,29095,30812,30354,30629,30846,32019,33935,76922
28671,29086,31157,30094,30436,32874,32115,33484,81012
29318,29218,31847,30140,30416,32413,32307,33693,66821
28631,29372,31982,29959,30239,31060,32030,33647,54391
28526,28970,31205,30023,30121,30638,31955,33560,51127
29490,29041,30921,30285,30406,30673,31870,33640,57734
29105,29226,32766,30015,30212,32498,32705,33798,79825
35842,28811,31831,30131,30813,30628,31553,33535,59844
28825,29068,30500,30506,30227,30702,40958,61720,50930
28369,28929,31325,30261,30077,32741,31910,43854,47219
29078,28788,30991,30111,30589,30587,31700,35911,47077
28999,28844,31207,30397,30580,30938,31875,33780,45330
28512,29056,31009,30282,30059,30501,32145,33649,78584
28914,28967,31184,30207,30708,30974,31895,33778,76618
29044,28971,31153,30415,30489,30857,31717,33198,60916
28661,29138,30137,30537,30486,30333,31814,32995,54813
29202,28700,29465,30622,29948,38521,32031,33498,46417
28582,29058,29395,30520,30036,30585,31830,33432,49238
28537,30996,29871,30333,30136,30738,32327,33550,79021
28973,32662,29979,30405,30206,30914,32151,33592,75645
28897,29348,29717,29905,32184,30626,32296,33800,61767
29516,29127,29910,30001,29920,30437,31892,33144,51295
28922,28995,31089,29901,30267,30950,32302,33122,46284
28977,28700,29480,29953,32191,32053,31776,33905,45149
29135,29202,29915,29626,30342,32625,31687,62434,50764
28893,28928,29541,29955,30491,32472,31530,45945,90291
29349,29509,29712,30152,30711,30688,32120,37173,62076
28860,29017,29346,30045,30169,31104,32048,34315,60106
28797,29034,29624,30008,30305,31893,31741,36101,50047
28851,29106,29853,30094,32105,30493,32381,33429,47878
28748,28876,29639,30190,30176,31507,56820,33455,52191
28787,29158,30273,29849,30341,30538,38342,33544,86913
29245,28965,29841,29889,30345,30787,33140,33424,79537
28796,29372,29818,30110,30152,30383,32603,33907,78303
31099,29143,30355,30228,30307,30663,32570,33969,52989
29067,29604,29784,30402,30665,30595,31954,33737,48354
28745,28997,29959,30253,29955,30440,31931,33629,79384
