x86 inductor b16,x86 inductor b32,x86 inductor b64,x86 inductor b128,x86 inductor b256,x86 inductor b512,x86 inductor b1024,x86 inductor b2048,x86 inductor b4096,x86 inductor b8192,x86 inductor b16384,x86 inductor b32768,x86 inductor b65536,x86 inductor b131072,x86 inductor b262144,x86 inductor b524288,x86 inductor b1048576
448143,578248,500081,519519,541215,1662886,2730538,4359684,11398494,15442431,25810001,130642153,93793378,239589961,644507105,734532109,979107311
467327,591635,497835,508365,521037,1071478,2550351,5486081,12726752,14354078,27501121,130100047,93726657,244159738,287098363,715343033,979008442
455573,615997,483266,491211,513232,2397022,2962132,4488929,11460133,15933651,25842521,130693756,93096369,241325906,652951519,679582342,979647863
437644,600974,496631,516843,514745,1163355,2480824,5465041,12667679,16374741,27509628,130462974,93420073,236525207,297583776,720286945,979299012
442869,605565,488254,540486,507223,1031834,2775328,4396400,11387756,13108465,26559006,130593834,93451343,243486751,653779422,750304745,975647403
489811,609354,494474,509411,526526,1673866,2574771,5428638,12634154,16421748,27476740,130760652,95762010,241927724,296780818,719229527,972207627
448944,593327,483524,532287,521655,1069730,2861266,4391919,11328672,15729308,25972521,130684013,95886694,243156419,348879777,744882969,982909635
431098,603136,474496,521053,506045,2402775,2460517,5484575,12182110,16336928,27527285,131030725,93437380,242025746,415023557,650594249,980576563
438416,548731,492059,508374,519974,1120112,2648226,4375755,11478659,15304057,26231872,130642217,92981303,241120156,367461208,686828135,981455094
422510,558860,486107,555736,502032,1042923,2368356,5117496,12298099,15850379,27967676,131056984,93457404,237958009,382276473,653476967,981142151
439939,554321,475127,518951,487830,1704571,1782164,4185672,11347948,15432661,25267198,131198904,93688625,239042278,407313357,671683176,982150542
437930,557543,489055,524554,495812,1264412,2684302,4635202,12576965,15715930,27754167,129204866,93493443,239451962,382407311,627223885,975484317
439972,559124,493375,531331,511610,2411228,1771136,3983819,11395067,15442201,25411411,130603585,93629288,233246515,386918038,653819451,980945316
427794,570325,473144,520555,486650,1124920,1598382,4421364,12531372,15755653,27819077,131191915,92931881,239188277,385948613,671273891,976704598
443800,572224,456829,530230,489074,1040090,2250994,4238222,11473149,15385968,25450614,131104339,96609449,238116655,363351551,710156679,978885744
439768,526743,481405,545253,495729,1680739,1777566,5042949,12702596,15803109,27761930,130377062,94234315,245427378,759938661,741365776,975156540
432179,562221,477303,513885,491577,1101792,3139946,4153109,11411387,15385407,25597507,130826356,93417428,243496201,417882634,731381777,980887504
433825,546952,468411,516978,487865,2430121,2023479,4727965,12608731,15945832,27961451,158118375,93522334,242035581,640627077,668929445,975856981
438337,538566,470157,548209,501494,1125998,1918268,4273317,11440401,16538846,25414362,131625047,93411358,239679554,358719123,668476156,977361229
445324,539170,469195,522692,475239,1022341,2559196,4862861,12404881,14622566,27956947,129079273,93150582,241464326,664162393,651038242,973186500
424867,554310,452414,516812,477915,1712838,1834834,4465507,11334589,15400240,25261704,131560874,93171621,243639061,375650328,732643024,976277713
404129,551125,472133,576448,484255,1062898,2626732,4839994,12351853,15874263,27836099,130949427,93568680,244648546,470854179,730632079,974372288
416435,536011,461521,555582,494458,2450208,1884875,4033890,11414175,13433604,25446022,131352453,92683471,245837151,452096205,733245457,977314476
416284,542450,468027,562282,494527,1134789,1689496,4491284,12717400,16528460,27743595,131781430,93113741,240605011,674404396,759312823,977501527
427875,560589,463838,560751,491705,1043115,2390958,4554464,9279164,15359866,25609508,131449866,93100713,240917644,401290151,717572639,982680793
417392,519398,451671,579008,482475,1662506,1729776,4816579,12112298,14472245,27620448,130880834,94520146,233661550,638980659,674257476,975015005
403707,508629,460307,573646,470000,1076813,2455198,4146791,11417213,16006048,25560550,131935087,93608021,241937541,426925233,737462632,977640679
429545,500968,464636,561929,499394,2460991,1740510,4801133,12605132,15834403,27593410,131819639,94155315,220609373,678272089,718655028,979924125
430932,502525,444648,563035,478778,1124584,1626067,4203013,11398730,13410366,25337395,131784245,92923111,159523169,425279003,696177220,975046092
406406,515634,465525,566615,490953,1064082,2304035,4598464,12513370,16450323,27796255,131341285,94347824,159999014,654352949,701811704,976764021
407769,513444,452520,560643,497121,1726026,1739796,4112187,11431848,15438451,25433221,131773092,92642841,159328999,478593973,709914900,979579407
426154,510610,448111,560501,484011,1100112,2384536,4379791,12546624,14556582,27869123,131521741,94311243,160591855,660343401,659684824,975565132
428286,472101,460930,570745,495437,2390687,1756362,4164059,11473429,16022217,25383540,131931639,93396551,162125558,486576444,756721648,979583720
407900,501134,451499,578871,519957,1136931,1639265,4515503,12532289,15795829,27868461,132066521,93825577,162854370,645648294,715189038,976138327
405641,494495,447184,542434,473006,1076743,2286803,4187500,10967770,15393699,25482266,131445677,93099889,158638161,487995517,681740815,977752386
403084,491812,454685,544768,503078,1655578,1724934,4670806,12259759,15859978,27890765,130824118,94271149,163440279,632516174,715993888,975305805
396338,505909,463117,577060,499835,1059017,2568862,4412760,11410187,15365657,25418537,131644006,93381877,159400623,532979082,727580357,979878858
398730,486335,436381,555609,477264,2427892,1897689,5000790,12609314,15759479,27858890,131684454,93952348,162063713,657359290,682602780,974073945
388491,519878,439604,531844,509123,1203993,1635023,4210940,11368822,15357480,25484789,132172391,93211064,161781709,530662915,719216145,981498930
395289,483202,446909,759512,495749,1117165,2326032,4710294,12749890,15712201,28008595,131269966,93749483,160677029,649731774,626072239,982355511
429812,496478,438238,735377,487085,1787390,1725146,4168126,11377193,15423364,25515544,131597547,93401375,158276362,529432328,705121706,975534698
391844,498864,437096,741125,508503,1082500,2315792,4678005,12810898,15756032,27675750,131922615,94337286,159301030,659376251,612782759,977575949
402300,493011,461823,749324,508046,2212463,1751709,4261866,11411502,15445116,25317462,131630311,93671168,159410757,578404865,651305670,984092798
411383,502461,437071,694460,493093,1149902,1736249,5189976,12652860,15827583,27695431,131939091,93045084,161807900,649396112,713319795,978959334
390741,490576,435433,705313,479950,1112395,2270119,4200051,11483658,15401110,25548994,132007713,92760902,161708912,563310056,633840036,984199550
418950,489329,449543,712077,490965,1702359,1719560,4937200,12669974,15953303,27736005,131951789,93630151,159540801,645662621,648746570,975089481
400446,494808,442911,676698,488999,1204494,2329856,4209496,9403734,15354100,25361522,131244673,93054063,159893371,578905901,714713754,979088784
392530,459601,435828,663626,503108,2282843,1849861,4711435,12690284,15709915,27881706,132409369,95026865,159389911,650481418,628293530,972858512
403819,465555,433752,656879,489621,1142459,1737519,4040122,9296236,15387288,25560115,132382880,87245843,163564208,594008839,661062725,981655575
430234,456486,440941,675327,506600,1100829,2244654,4854524,12412577,15857861,27932741,131939101,87924006,161769922,643391065,724340669,982540812
389563,482528,435855,636669,476128,1791259,1807940,4187200,10283187,15310714,25342450,132191306,87500512,159801723,598084942,714534317,975948657
399572,473866,440153,631377,503691,1147140,2744253,4988120,12482983,15885876,28086601,132231664,87666141,159156347,647392205,651967769,978100722
388473,482583,440483,632487,511121,2572790,1779453,4214529,11310920,15500436,25495103,132127747,87312699,159072991,615128716,741356926,977002888
401871,465436,455966,633344,532553,1192392,1628952,4616096,12569125,15850101,27980753,131799753,87967661,159465100,652063396,679388523,979317904
393943,472876,423884,641373,519970,1081775,2240332,4137327,11420366,15298251,25394410,132677589,87585835,241996146,628082841,721444418,975699851
403194,458251,423575,621187,489065,1855315,1729522,4706033,12582557,15733375,28056466,132051290,87834760,250895493,649955066,695215178,973034630
383157,481406,434431,622373,501943,1120047,2750047,4225659,11442694,15422084,25341371,133103334,89026544,249130074,623429844,659007822,979230450
