b16,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144
5310,4745,5681,7941,12405,22118,42103,78827,176173,386515,902963,1836864,3221967,7170107
5294,4692,5798,7888,12646,22610,54912,78389,170724,381982,896951,1817624,3472183,7054716
5279,4542,5890,9008,12528,22671,42195,79012,169507,387363,901114,1816693,3339688,7071304
5225,4579,5932,9062,12681,22512,42630,79043,169468,383901,898996,1735074,3484749,7180092
5004,5250,5889,7911,12370,22544,41055,78338,172872,393699,886913,1774612,3535755,6413678
4870,4672,5932,8522,12733,22789,41749,78606,171262,370272,891857,1771024,3308390,6433958
5060,4839,5976,8529,12990,22510,41531,82231,173161,392837,893667,1804354,3522631,6414959
5799,4601,5934,8039,12333,22542,41756,87657,166090,373245,830162,1823428,3326976,7098575
7400,4883,6669,9056,12366,22770,42041,78832,170159,383742,875724,1780935,3464508,7047192
7484,4645,5928,7951,12218,22908,42339,80294,174720,385692,833680,1770758,3507517,7082766
5636,4710,5894,8086,12287,23197,41941,78503,167462,378930,889167,1830605,3333407,7068474
5344,5255,5924,8126,12372,21983,41267,79212,169649,376519,893947,1573777,3527576,7087898
5259,4618,5918,8125,12771,22626,42529,79267,169430,390151,838673,1787523,3476329,7071265
5099,5172,6603,7999,12789,23837,42010,79166,169064,381537,872196,1738787,3588732,7075254
5315,4571,5950,7987,12870,24211,41856,77488,168008,396540,813201,1808531,3424843,6823184
5276,4616,5939,8192,13256,24359,42725,79000,169036,403113,837298,1781594,3703094,6438196
5090,4780,5864,8935,12617,23467,41476,83118,171116,392324,892795,1722584,3369575,6586006
5194,5127,6583,7979,13654,23543,42086,80290,170141,377822,905847,1671721,3374414,6439568
5111,5180,5698,7965,13803,24101,42038,79072,171105,384614,904542,1786543,3520594,6627316
5249,4586,5857,7885,13309,26972,41414,78722,168021,389339,909248,1760780,3136515,6508480
4912,4563,6020,9182,13475,24665,41936,79550,168607,398777,826938,1822357,3324174,6633151
5064,4715,5919,9213,13563,23681,41660,79347,169600,385817,833187,1815766,3377178,6473229
5096,5230,5853,7947,13102,23969,41927,79193,169860,389064,903777,1597479,3619205,6404393
5016,4525,5807,8013,12826,25360,53161,77362,167631,395135,816642,1658590,3351735,6613981
5223,5297,6034,9079,12951,35876,42347,79951,167361,387905,815656,1719615,3339379,6419059
5169,4545,5848,7937,13851,23803,42392,84732,167049,405311,823927,1780078,3316228,6400840
5056,4664,6125,7934,12980,23674,41572,81345,164109,443799,869617,1790357,3491748,6411624
5117,5198,8019,8362,13133,26063,41840,79754,166133,403902,898824,1814508,3341828,6387539
4961,6420,6176,8404,14055,24650,41693,78555,168700,404244,888301,1789926,3318706,6406686
4929,5527,5946,8029,13224,23456,41359,79477,169502,418010,900240,1815814,3334353,6462755
4781,5032,6397,8019,13488,24710,41904,80616,166792,386848,878740,1810577,3148278,6440626
5141,4858,5846,9020,13432,26025,41900,77385,166346,396597,864155,1804653,3258576,6448245
