b16,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144
15269,14262,11859,12320,16369,31625,32379,32126,34877,37532,42698,47671,35725,37351
14555,14038,11784,13676,16356,21284,31310,32983,35751,37256,42786,45683,35884,40673
14652,14044,12758,12415,14203,24711,33812,33550,42942,42085,44637,46029,36363,43400
14672,14225,11682,12505,15360,20670,31465,32300,35309,35949,41459,49453,36281,41046
14303,14188,11590,12177,15062,29077,34364,34091,36507,36754,43062,95767,36438,46179
14446,14315,11685,12383,13474,22960,34274,31937,33532,44758,44127,44229,42625,36676
14430,14647,11581,12495,13498,23134,39181,32127,35434,47214,43748,44974,39296,38121
17101,19730,11945,13903,13179,23843,29862,33787,36843,36100,43863,48812,35972,85497
14775,14482,12741,12575,12336,20338,34600,32971,34393,37178,42992,48089,34953,51488
15009,15243,12088,12475,15185,24417,32532,32471,35687,38299,41925,48639,36147,45382
15450,14435,12099,12275,14319,18543,32506,33277,34125,43627,45377,46611,35525,47396
15229,14449,11753,12755,13703,21080,33048,33958,41726,41184,44383,59568,36320,48025
20095,14085,11505,13489,21065,28828,31337,33499,34804,39828,42744,42305,46799,42184
20242,14582,11710,12220,13694,29104,32133,34136,33600,43135,47532,43349,83290,107131
15846,26422,11985,12651,14205,20753,33298,31702,33091,43131,43022,46347,33243,73379
15386,14158,11621,12506,15548,25067,32017,32517,34663,41972,42606,55965,42152,40789
18985,14106,11885,13807,13715,25010,32870,33255,32711,40810,45716,45737,42159,42450
15352,14170,11627,12772,13755,20052,34367,39689,36422,43357,44123,45772,42396,40877
15069,14321,11860,12368,13578,23874,31923,33091,34554,42087,45236,45332,43846,41106
14856,14123,12099,12443,13040,24524,30889,32108,34662,40378,42759,45386,44098,42526
14494,12818,12134,11946,14289,18587,31407,33328,35031,43454,44017,59960,43530,48711
14494,12763,12112,12427,18191,18181,33769,32389,37213,41288,41500,66310,52682,45586
16628,12824,11775,12216,14816,16463,33008,34903,34118,45730,42642,48355,56398,40805
16157,12438,11591,12584,13535,22573,32075,30253,35455,42251,42901,42471,42054,50966
16168,13372,11726,12692,14018,26021,34252,31745,34108,44943,64101,45362,42247,44295
16416,12427,13103,12717,14454,27494,38831,34399,35047,44025,56069,43622,53917,44441
16108,19154,11974,13017,19979,29780,31226,33747,36777,43973,44068,47881,40360,47589
16404,12623,12059,13094,27955,28966,55079,31128,34582,44545,62709,47473,43016,54285
16039,12873,12899,14719,26012,32098,34142,32034,35296,43425,36952,46103,42033,46488
16604,13090,12096,13021,26136,32012,40590,32794,35131,44148,44104,80941,52530,256081
16207,12374,11876,12820,28307,31302,33700,32802,34205,41337,44492,46758,42070,48969
16345,12858,12597,14023,30441,31691,30799,34213,35967,41296,43377,47744,46422,45082
16429,12813,18568,12622,27906,31093,32862,32905,36636,43029,44363,48790,41426,43487
16143,12956,12034,12896,26880,31729,33839,33052,41152,46727,45665,47644,40711,46005
16104,13429,12343,13100,24672,36277,32903,32068,34658,47796,43651,45177,42859,98240
15710,12690,11960,13609,24120,38881,30685,33097,37023,46283,41229,43010,41624,61405
15068,13040,11905,13697,26567,31304,32655,33160,35689,43276,42357,39667,40699,36277
