b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192
3739,4526,4670,5306,7558,23996,18941,42822,121137,168914
5695,4171,4695,5386,7083,37753,45215,45853,81335,201490
4347,4208,4491,5277,7340,12658,69980,95214,125353,199661
3851,4024,4455,6372,7164,34798,39354,76497,79053,195215
3622,4070,4373,5238,20501,12527,54618,38008,76440,174168
3643,4057,4487,5270,9538,11755,56827,37278,130354,234113
3534,4364,4300,5424,7358,12372,24728,37325,77497,198704
3684,3837,4414,5244,16603,23633,45865,52275,125783,184550
3755,4020,4466,5280,7574,11130,21307,80538,82241,408061
3822,3889,4460,5409,8087,36581,68147,37567,80625,205812
3682,3979,4390,5273,7729,24928,19593,41243,120351,193484
3619,3821,4382,5276,18478,15086,58764,42389,79593,163410
3584,4067,4243,5273,7183,48750,32744,40237,118724,197548
3523,3851,4404,6431,7463,12275,48985,100928,77703,221777
3833,3919,17559,5349,16523,13406,19747,40672,79950,175728
3729,3879,4793,5211,18348,36075,41229,38221,123431,204296
3624,4036,4635,5349,7342,24807,31224,39756,79187,207224
3685,3820,10852,5159,7150,11807,19380,37775,124964,205058
3556,16610,4771,5498,7984,11450,19164,71566,82853,177328
3626,4092,4364,5302,7714,12211,46782,64249,137672,195564
3624,3895,4503,5353,7547,11999,30511,37771,121048,201829
3633,3982,4446,5453,8158,14130,19644,39371,85057,167565
3680,3963,5167,5503,7248,23532,18667,38176,124574,203779
3586,4528,4666,6439,7977,23898,18822,55474,124773,204683
3506,4053,4543,5352,7733,23318,19243,75695,83324,194045
4266,3924,4349,5390,7256,10959,20236,39260,124899,180340
3750,4024,4426,5493,19205,13187,45166,41556,78833,198257
3740,3955,4452,5410,7198,11678,30591,44210,115870,199894
3630,3948,4172,5311,16880,13568,19619,102072,129307,169114
3643,3914,4395,5464,7541,12004,19933,77431,119459,185120
3548,3940,4506,5375,7378,26783,18199,41286,80513,197345
3924,3876,12824,5357,21804,27446,19059,70698,123552,216130
3688,3847,4651,5792,7071,11537,21339,62849,102917,168647
3699,4174,4382,5308,7678,22605,19057,50073,89273,197281
3815,8428,4480,5402,7526,11760,20019,70918,125525,213169
3660,3939,4392,5594,7161,13274,20458,97436,120259,195753
3664,4053,4328,5750,7186,11696,47428,50654,79749,182712
3920,3984,4944,5439,7168,11229,18928,48330,127107,195129
3445,3920,4422,5287,8062,12256,32177,41819,106736,198844
3515,3781,4531,5355,7126,12264,19772,100988,245766,170425
