FP32 eager b16,FP32 eager b32,FP32 eager b64,FP32 eager b128,FP32 eager b256,FP32 eager b512,FP32 eager b1024,FP32 eager b2048,FP32 eager b4096,FP32 eager b8192,FP32 eager b16384,FP32 eager b32768,FP32 eager b65536,FP32 eager b131072,FP32 eager b262144,FP32 eager b524288,FP32 eager b1048576
273455,339893,296983,432157,467063,972938,5489001,8681168,17369969,27743054,47187930,410751180,204008376,337101713,2659035477,1335707862,2645655458
279188,334994,284339,429041,531464,1006001,4308923,8489968,16768123,25696629,45434591,411043190,199689328,334600840,2624023715,1328721694,2681186159
291730,319757,286874,413674,464375,1017980,5873112,8642982,17687256,27887232,50556336,410673249,209843920,339436159,2793743677,1336045410,2647478552
285589,316605,295479,436368,536133,1069814,5512276,8408530,16288533,25665308,45506299,410703043,213700218,353479274,2419534233,1325849289,2686753549
283816,322002,283476,430694,464508,1110514,4753774,8475584,17556689,29192280,47198302,412044689,201775291,336255742,2455595446,1400402378,2648240036
329402,300280,291579,434557,532857,1110316,5475261,8498381,16396623,25457386,45421039,412243016,208283727,333831041,2518086029,1378751618,2661532003
264029,320739,289133,429482,464079,985714,3835973,9202939,17474517,28112897,47363911,410307680,200766441,335666549,2567105570,1344521465,2651928119
282630,309825,286734,411752,528625,1101642,5423866,10125977,16292253,25659927,45979355,410771369,201729154,333841712,2617026718,1331575637,2636457609
292294,329990,295067,448812,520379,1007845,4216984,9629763,17815925,27739643,47207697,409682751,201408512,335640777,2666433934,1329625592,2648219310
273416,319906,275429,445509,569282,998584,5295390,9449631,17648941,25631214,45382611,412529860,215880617,334128002,2676555015,1326182713,2667566021
286947,299541,283983,443327,517665,961361,4327261,9368851,17788541,27722484,47089396,409284565,207720889,335209469,2672437615,1345079963,2643941578
271166,285828,311643,438108,568668,984247,4329926,9043050,16515787,25654496,45396305,414070387,205822431,334308104,2556401055,1327573613,2654782458
270171,346610,282351,429962,513608,977127,5385132,8866049,19045189,27791048,47070434,411846647,201650584,343950510,2862534563,1341534436,2658052137
275893,284180,300482,437897,572393,1049583,4119343,8835481,16778448,25784780,45487313,417196618,201939895,336042464,3008733451,1327556315,2645036966
291462,275396,298162,439955,519215,935498,5659572,8715293,17619631,27978918,47419275,412228177,207442353,339630307,2639460603,1337918248,2647744466
266344,332661,287642,447310,580539,1049812,4050307,8705451,16535259,25564302,45390868,415313989,211660508,338089635,2679162402,1327525839,2641985108
283474,322347,314600,442902,546401,974202,5771947,8813348,17320396,28119638,46904868,430090886,210371683,335576320,2665453985,1333572136,2668692529
279711,292259,291012,437874,581939,1023398,5211731,8757049,16851877,25725390,45686521,410418476,204023759,339481723,2647568743,1426890967,2640225181
