b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192
9142,11005,21205,20998,25965,29938,40598,58677,104276,192161
9090,11045,22113,18585,24250,31290,36622,67781,113409,231420
8435,10735,21702,22769,22623,29297,41612,62271,107456,192844
8627,10614,25996,22759,24838,61333,46624,7863760,109691,195353
8684,11133,23957,19136,22193,27266,37564,64853,120374,195984
8722,10293,20118,20622,24048,31511,41624,59672,154515,186956
8619,10584,21018,19729,23913,110171,41725,59855,130675,194375
9429,10840,22766,19673,22821,30386,32174,70657,128371,196031
9530,10680,21243,20745,25065,34501,45075,67378,123302,208159
9092,14122,20981,18659,24756,35796,48601,60438,111617,197185
10092,12936,22396,21216,22352,36361,46593,72286,109152,198534
8679,11839,20451,20804,26464,53605,48185,62039,122217,201081
8965,12159,20863,21535,25448,31441,43037,70443,122730,193456
8692,11043,21360,18794,24167,29746,47403,73399,115555,196367
8923,11485,21412,18299,25305,35495,56068,63085,121516,199818
8961,11037,19179,20159,31748,37605,45023,69766,111392,190103
8626,10285,20833,18910,20124,26617,53882,76294,108548,201801
8619,10435,21842,18771,22682,34455,40879,72457,127390,198941
9312,10619,19857,20849,20451,25429,57434,66241,140526,190970
8705,10761,20355,19751,22232,33936,63435,69193,143630,191965
8690,13270,23401,18740,22867,27215,45963,63184,121335,207716
8971,11632,21964,21442,24189,28354,48989,4009369,114133,288731
8752,11321,19718,19318,22073,33677,43062,66917,120577,226728
9058,10707,20398,21021,22694,27200,50692,66086,147894,212970
9249,11264,19208,18890,23664,33829,47559,64324,123013,219926
8675,23217,25023,20109,26141,26129,47715,63889,125136,216815
8743,11038,21848,18844,23568,31210,48915,62597,108034,203590
9056,11121,21093,18309,25127,24825,49285,70273,111867,250334
8174,11783,19900,18956,22918,27342,59314,78222,114895,216903
8599,11071,22379,18980,22075,36867,235794,64494,115822,250010
8812,11587,21635,18598,29256,27699,52381,87376,117809,216597
8521,10944,19005,23841,26877,32186,44663,95469,115830,206023
8611,11165,20995,21236,24949,34251,38246,72556,122301,191259
8741,10939,21903,21305,24773,32920,45751,67579,118898,186926
8600,10718,20439,18514,23505,65009,44026,63299,129509,206016
8736,10669,19370,21374,22415,24089,43459,67127,128237,187588
8788,11118,22848,18700,21570,33962,46192,61904,118254,202015
8764,10042,19024,20164,38223,27196,49984,71436,113487,195739
8896,11140,21938,20775,30376,44507,50615,7977136,117216,198259
9106,11443,19041,19509,22592,27150,45373,8484654,134315,204545
8808,11477,18996,41727,23728,28952,49396,8148422,116592,190617
8485,10876,27642,44692,27272,31894,50779,8030051,112469,191433
8921,10730,20071,24642,28368,29539,43217,7987839,115528,195515
