b16,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144
17819,17667,17159,17429,20587,20457,27213,26721,27303,38100,29959,44179,30137,40173
17983,17956,17780,17191,19403,22311,38346,29093,29070,29651,30067,30256,30256,28283
17902,17846,17495,17322,18791,20971,26148,27748,29866,29678,29445,28725,29753,30642
17961,17673,17528,17323,20287,20501,25955,27188,29415,29132,30762,30484,29302,28723
17828,17896,17406,17172,18734,22005,25975,26950,27545,28410,29059,30589,29405,28348
18528,17664,17439,17398,19223,20683,26082,28796,27106,30117,36158,29280,29897,30309
17785,18294,17229,17218,19258,21613,26981,27617,27095,30092,36536,29478,28725,28451
17809,18115,17449,17183,19419,20643,26973,26220,27848,30080,29110,29424,29818,31621
17795,18127,17428,17389,19733,20655,27758,26430,27233,30722,29423,30553,31735,42353
17911,18335,17919,17686,19389,22001,26274,27439,28056,30115,30551,29286,38541,30547
17696,18061,17482,17947,19674,20867,26674,26761,27014,29796,29148,29754,30177,29915
17573,18244,17556,17494,19923,22905,26258,27726,26122,31526,28411,31487,28477,28414
17464,18230,17550,17389,19662,21042,27115,35008,27660,30551,30492,30678,28641,29962
17460,18124,17294,17392,19501,21055,27449,29562,27428,29287,36445,29570,27526,27471
17602,17656,17229,17374,22186,26979,26776,37879,27128,29893,30058,30840,28473,27843
17703,17846,17437,17720,23449,25825,27211,26354,28606,29949,28966,28986,27314,32972
17415,18176,17322,17791,24807,27714,26313,27310,27123,30386,29600,30344,30622,29773
17341,17733,17252,17340,24328,26109,27317,27366,27096,28778,29076,27798,31709,28168
17526,17826,17335,17476,25084,25695,27369,27344,26455,31466,29339,30579,29441,27355
17476,17706,17257,17242,24410,25466,27841,27007,27171,30115,29560,31845,30175,28895
17392,17959,17236,17332,26095,26087,25966,28396,27802,29163,30065,30644,27470,29809
17577,17823,17269,17824,25456,26039,25783,27991,34109,30617,30049,31432,28440,29639
17503,17727,17528,17453,25373,26815,27576,28457,26963,30067,34297,30669,27867,34879
17279,17611,17432,17178,25425,25488,25918,28524,27003,28849,29143,28970,28529,32082
17344,17612,17386,17354,25517,26482,26620,28931,27561,27141,27937,27935,29937,40222
16976,17846,17426,17722,25309,25996,26711,28249,28628,30792,29133,27640,28841,28580
17284,17745,17480,17532,24539,25543,27615,28873,26805,27887,27328,27934,32459,28408
17189,17950,17508,17559,24610,25745,26786,29363,26983,27998,29001,27750,39576,30904
17505,17920,17416,17582,21635,25348,28681,34270,27326,27930,27995,28689,29392,27883
17513,17880,17283,17876,23753,25540,26226,29856,26983,26598,38782,28607,29880,30305
17536,17892,17356,17381,24168,26649,27480,28095,26809,27227,28762,27707,30786,27638
17533,17714,17385,17291,24489,25188,25188,27513,26182,27281,33733,29691,29381,32141
17475,17876,17505,17528,23531,26258,26331,27506,26172,30300,28042,38973,28018,43217
17570,17859,17533,17510,24195,25798,25982,27355,27302,30047,28137,28909,28256,31035
17676,18575,17350,17239,24785,25653,26560,39828,33770,29844,28777,27258,28769,29191
17581,18274,17461,17477,24135,26023,25855,26951,27050,28826,28368,27259,42616,28494
17451,17728,17367,17401,23806,27260,26505,26276,27660,30478,27787,29126,29946,27399
17363,17777,17258,17554,23879,25532,26727,27068,26654,29392,27862,35070,30106,31934
17570,17746,17383,17704,23565,27496,26602,27318,26875,30209,27715,26733,29541,31128
17631,17750,17464,17377,24277,26569,44842,28180,26592,27804,27810,28509,30178,51130
17504,17675,17359,17306,23559,36408,27037,33715,27336,27407,27707,36849,29224,28525
17359,17650,17602,17434,23981,25310,26888,36618,26673,28450,28044,27444,28284,29274
17547,17680,17366,17298,20262,24254,30439,30753,28637,28385,29003,30240,29517,27672
17596,17603,17336,17296,18795,24969,25583,28950,27265,27253,28222,29705,28798,29213
17499,17795,17199,17604,19038,24182,26024,33588,27035,28629,27663,29816,28560,27595
17540,17764,17372,17343,18392,22806,25866,29843,26582,29485,27827,28977,29809,39839
17629,17571,17646,17299,18571,24670,40705,26407,29213,27044,27629,30557,29860,28289
17418,17783,17403,17453,17965,22049,27492,27523,27523,27996,28148,30361,27913,29432
17464,17821,17233,17375,18361,22518,27469,26496,27575,28147,36138,31191,31197,27933
17506,17618,17595,17420,18360,21160,27145,27970,27853,27926,28275,31598,32689,27956
17547,17650,17342,17174,18161,21562,24995,26958,28561,29934,27476,29304,28619,27877
17363,17675,17556,17264,17779,21610,26174,26299,26590,30759,28058,29730,28171,28772
17606,17722,17256,17170,17683,20394,25744,26498,28027,28029,27719,31885,29213,33448
17403,17682,17379,17293,17477,22513,34282,36344,27899,30579,28352,30073,30146,31623
17537,17512,17529,17169,17889,20762,26649,30927,27152,29652,27710,30294,30832,280066
17513,18069,17437,17461,17894,20936,26360,29209,26849,30464,27820,30337,29337,30213
17484,17814,17406,17445,17426,22075,26592,30212,27186,29428,27901,29779,41966,28324
17601,19227,17784,17302,17560,21516,26157,28791,27240,30631,28879,29443,29639,27602
17531,17916,17436,17514,17486,19761,50813,28267,26985,31684,28250,42652,32046,27691
17484,17976,17399,17308,17647,20692,26263,27889,27594,30327,29226,29387,33279,55996
22063,17833,17406,17431,17738,21232,50406,29381,27130,29504,27797,42734,29620,48603
17660,17889,17195,17313,17623,20008,26478,29377,27893,31130,28656,29348,28805,28933
17571,17747,17191,17230,17951,20334,25810,28922,26428,30576,28190,31814,30004,29691
17728,17725,17501,17197,17892,21546,26125,29938,26800,29953,28230,30513,29525,30104
