b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192
17742,17808,17381,17719,18452,17499,27772,29379,30569,27141
17605,17593,17631,17467,18470,22442,23371,28752,31158,35061
17329,17786,17477,17490,18506,19780,23420,30550,29942,27929
17423,17859,17516,17528,20929,18704,22498,28476,30341,28829
17393,17775,17630,20800,18308,19469,22118,29920,30821,28800
17489,17957,17443,18029,18640,18624,20430,31584,29987,28398
17583,17981,20901,17760,18266,18325,21342,28809,30327,27853
17531,17786,17651,17637,18366,18996,24190,36386,31375,28643
17671,17861,17715,17766,18121,18198,19667,29215,30321,27926
17666,17938,17422,17649,17804,18045,19718,29531,29899,28661
17590,19110,17428,17717,18122,18719,20192,32372,31460,27483
17448,17776,17611,17527,17746,18137,23036,38461,31571,29438
17664,17804,17595,17729,17693,17832,19339,30026,32160,28374
17513,17766,17553,17786,17726,18173,19479,28320,30408,27295
17537,18033,17722,17751,17699,18714,19613,28757,30377,27950
17581,17924,17573,17629,17936,18020,19175,31589,32471,27468
17598,17779,17603,17481,17657,17853,24695,28581,31332,26265
17641,17826,17645,17619,17871,17548,20336,29712,31895,27761
17656,17830,17474,17612,18987,19113,22856,28837,40382,27426
17650,18092,17554,17739,17740,17307,20318,29307,29966,27685
17554,17926,17424,17608,17835,17720,19902,39273,32125,35574
19014,18062,17592,17444,17847,17887,24363,32278,30139,27463
17634,17929,17764,17632,28882,18476,35837,28425,30090,27856
17526,17942,18077,18035,18176,17748,36991,31291,32089,29516
17545,25447,17343,17619,18205,18095,19392,44034,32905,28506
17614,17929,17645,17817,18254,18028,20132,28737,29520,28571
17570,17813,17758,17665,18129,17615,20640,30162,31280,28188
17468,17805,18031,17995,18041,18140,19101,31380,29099,35510
17622,17746,17724,17656,17608,17995,22940,27792,30382,27598
17503,17731,17555,17557,17797,17864,19448,29233,30842,27929
17545,17717,17515,17663,17915,17780,19612,28931,34448,27869
17506,17939,18025,17427,17633,17655,21883,32132,30296,27807
17505,20631,17594,17354,18184,17519,19760,30288,30203,28906
17400,17807,17654,17785,19135,17900,19946,28655,30085,28690
17469,17901,17768,17776,18069,19239,19025,28258,31377,27159
17712,17928,17449,17528,18010,17664,19412,30808,34988,28055
17409,17798,17493,18022,23045,17451,20941,40611,32852,34134
17433,17904,17694,17629,24777,17768,18801,29915,45354,33409
17488,17971,17719,17835,17939,18183,21435,33770,29642,32024
17595,17953,17672,17795,18217,17617,19826,28903,30243,30560
17628,17975,17532,17737,18067,17604,22961,28601,30545,30788
17504,17822,17699,17666,17788,17454,23019,28959,31526,32509
17890,17968,17750,17678,26841,18042,22473,29419,29831,39001
17464,18040,17678,17740,17946,17930,20513,28884,30257,28687
17641,17979,29898,17393,18145,18002,19918,29555,31401,27539
17649,17995,33371,17838,17634,17420,19827,30972,30120,27637
17741,17617,19980,17934,17753,17600,19518,29443,31068,28183
17698,17874,18671,17705,17735,17553,19047,28552,29926,27903
17835,17777,18310,18036,17741,17546,19263,29248,29988,26762
17830,17667,17922,17634,18011,17829,19411,28644,30696,27722
17541,17665,17452,17497,18003,17358,22373,31619,29832,28156
17401,17718,18114,18051,18149,18228,19406,29411,31808,34729
17631,17788,17505,17501,17779,17732,19813,28082,29394,26993
17461,17599,17253,17546,17586,18936,26445,28684,29981,28374
17464,17858,25783,17901,17898,21500,27995,28138,32522,28534
17538,17621,17572,17789,18002,23818,27351,34567,29572,27754
17261,17878,17747,17787,20684,21187,29003,28520,32569,28493
17534,17971,17799,17604,18291,21716,41019,30164,28846,28579
17605,17763,21511,17718,23500,20877,39701,28872,31071,27442
17515,17834,17601,17713,17902,25784,20863,29732,30521,28234
29625,17896,17458,17601,17678,19075,20880,38064,29997,27258
17438,17971,17284,17654,24506,18800,19710,28916,31846,33240
17404,17951,17849,18191,18247,17570,20710,28902,30152,30173
17658,17938,17427,17486,17721,17937,21327,31958,37375,29759
17612,17811,17297,17879,17969,19039,19503,29474,30923,31144
17589,18021,17528,17788,20197,17823,22530,27772,30038,28347
17585,17641,17406,17940,18011,17520,21303,32752,32517,28021
17555,17893,17547,17727,17869,17834,21804,32495,32136,29189
17460,17809,17274,17709,18088,18821,20327,28478,29753,28119
17565,17879,17404,17761,17912,17654,19202,30873,31621,29161
17600,17847,17640,17476,18090,17450,21411,28963,29722,27805
17698,17718,17358,17508,17648,18235,18869,28259,31787,27593
17617,17757,17354,17795,18147,17634,18724,54206,31524,28204
17479,17788,17275,17704,17993,17654,19768,28473,30720,29496
17490,17924,17461,17988,17784,17862,19759,31240,42714,28436
17678,17955,17388,17785,17949,17365,19530,31406,35753,29178
17501,17938,17465,17837,18413,18202,19115,43847,29266,28808
17493,17763,17635,17687,18238,17306,21913,28174,32155,27410
17616,30050,17638,17595,17792,17694,21154,32133,33307,29853
17352,17742,17372,17554,17722,17923,19455,28512,30570,29087
17478,17762,17715,17543,17703,17531,21011,31828,32463,27945
17598,17684,17623,18146,17940,17554,19739,28463,57332,36114
17341,17929,17964,17745,17734,18650,19879,31994,30025,27858
17405,17651,17461,17644,17713,17412,21615,28778,31362,28221
17626,17597,17914,17565,18015,18064,19758,32824,29632,37100
17639,17799,17325,17639,17890,17733,18967,28375,28810,28795
17750,31713,17680,17517,17699,19347,18494,32228,40261,28658
17566,17714,17381,17828,17775,17395,18616,32958,29725,27821
17511,17998,17520,17588,17826,17607,20491,28068,31770,28709
