x86 inductor b16,x86 inductor b32,x86 inductor b64,x86 inductor b128,x86 inductor b256,x86 inductor b512,x86 inductor b1024,x86 inductor b2048,x86 inductor b4096,x86 inductor b8192,x86 inductor b16384,x86 inductor b32768,x86 inductor b65536,x86 inductor b131072,x86 inductor b262144
315650,325153,415539,534477,561640,921075,1161197,4304260,7364733,20978880,21489339,38309853,71311717,124794390,347760269
323620,320384,423834,518643,563647,913181,1070970,4224058,7805855,21167555,21427922,38285535,71427920,124105798,353364530
315842,341142,437812,503368,557867,908640,1122244,4141038,7402748,20908318,21783996,38327780,71305209,129219287,287060370
321448,316707,418560,527644,563698,906600,1118001,4068902,7678511,20087806,21601242,38658870,71805039,125091472,283623020
313768,291070,412960,526994,565599,903986,1199054,3973134,7387108,21986760,21556654,38318598,71322736,126438921,354697496
322223,298955,401417,495798,564912,995250,1163114,3893847,7699590,22091116,21509508,38565245,71460442,125331152,365753171
312134,289813,397294,503821,554154,872515,1002833,3914419,6213167,21855422,21582586,39788193,71909675,125257719,327738947
324082,290968,411717,513372,560951,902365,1076642,4199412,7763946,21615497,21625168,38570943,71551101,125209018,314212803
313235,298788,401511,502011,556408,836612,1083354,4073074,7794181,20858797,21371564,38493291,113812448,124789388,342826151
322091,342457,417136,487292,540431,821871,1014380,4403304,7393478,21809747,21260645,38260047,104373261,124294524,326054636
312672,301729,429738,496398,569312,837280,1072061,4847337,7680567,21193381,21491161,39860803,115077481,126499258,344466635
314109,302467,420916,516917,540538,845842,1192762,4551302,7392721,13337200,21504738,38494444,114692004,126924458,328963678
315577,291528,424937,481616,551678,839210,1040328,4677319,7879591,21406420,21434502,40733746,122222808,126022252,320850834
314517,289403,419826,476160,560529,830200,1127349,4495432,7383668,21147907,21462992,39147092,71585746,123708964,320962262
322967,289303,418542,489014,562006,822093,1170514,4292574,7859460,18519606,21510052,38396745,71690454,125915578,326274157
312854,289131,409043,488920,554847,850246,1220655,4636186,6065603,21447055,21476135,44633777,71336678,125056248,303857941
324112,299390,429597,494721,557020,828550,1052860,4460221,7850847,21128122,21452155,38361484,70969730,125969160,305589541
312814,291396,427680,495407,554232,820309,1186677,4208451,7620634,21233043,21506341,38625494,71394714,127396743,281463163
323826,291164,401894,477353,561280,812797,1043481,4281683,7386089,17426554,21532595,38725011,71083797,124911156,335886505
320460,380027,421360,477669,555236,831642,1045482,4602108,7691478,21762884,21429748,38240660,70925197,123869636,343208265
322683,308902,411752,506246,556367,848279,1137352,4819209,7414610,17974087,21387382,38952114,70945147,122942863,327957252
311703,298009,432142,504248,557546,792183,987294,4711318,7580557,21993493,21237915,38219069,71362740,125057150,340023079
314841,312217,429245,464056,557421,777336,1120931,4402421,7426767,19407762,21448592,38348882,70997513,125823171,357818167
311730,299128,436124,478220,566212,800846,984258,4343929,7877769,21144451,21351423,38206853,71277629,124357092,299374744
314963,291058,422937,504952,552839,819136,1066177,4004030,7449131,17357960,21441357,37419595,70915542,126013861,357814651
314141,299991,432484,480810,552349,794338,979719,4156154,7827283,21223081,21616040,38471684,71372101,124974348,359286273
322056,290517,408503,484985,552961,781006,1148079,4665635,7377729,21134676,21419483,38593656,71536108,122860525,334594105
323595,288605,407968,494819,553891,781309,1120130,4676242,7784611,21151243,21417701,38504488,71408498,121949589,348182096
313628,299443,410438,472346,535142,816605,974185,4413278,7419234,20999258,21438280,38656508,71114317,122410744,353346287
330712,341497,433519,467982,546494,788657,1021541,4410557,7642002,21708916,21498672,38398392,71311106,121805150,346092998
314480,303445,409831,472273,566862,790803,1054434,4529541,7395905,20993927,21387257,56766242,71108109,122689953,318969745
