SHIR FPGA b16,SHIR FPGA b32,SHIR FPGA b64,SHIR FPGA b128,SHIR FPGA b256,SHIR FPGA b512,SHIR FPGA b1024,SHIR FPGA b2048,SHIR FPGA b4096,SHIR FPGA b8192
695390,1260401,2158642,4128252,8067004,16822973,31969012,66450291,130295800,258991704
691267,1249277,2166849,4158791,8022253,17667123,31602450,64238973,129987987,259277569
701145,1257356,2147335,4141948,8057575,16792929,32448023,67301322,130566555,259518495
697866,1222970,2157340,4126622,8077147,16126161,31541504,66725520,129820412,258921945
700416,1263704,2152179,4097499,8132970,16030211,31880677,66573562,130387334,259441399
694651,1232538,2154453,4168983,8179350,16189345,32066447,66417507,129826265,259140175
704758,1315163,2197442,4121633,8137977,15917757,34960656,65835053,130765778,259879923
702799,1307562,2151249,4156576,8116986,17319747,31350733,66531485,129056264,259280197
699167,1300081,2146946,4154372,8112811,16738733,31513393,66164586,130453053,253537657
704429,1282381,2173094,4127853,8008212,17720414,32292099,66441654,129070167,260630003
714171,1297864,2150500,4104047,8134153,16689934,32139411,67513459,130576528,259826311
705249,1299905,2172055,4170684,8049204,17004089,31359021,67323020,130037728,252415879
707548,1280498,2181388,4115289,8130222,16715297,31464576,66629066,130485464,260643203
694047,1281004,2174356,4143706,8142900,17379615,31697532,66414728,126996192,258139386
691339,1288218,2177377,4140969,8101784,16594734,32669543,66536354,130980439,252114362
695520,1282985,2174704,4121907,8132910,16056244,32297520,64882622,132207160,261013640
693562,1277441,2189217,4100176,8143302,15974096,31713524,66856710,128865155,258495549
698910,1268353,2168754,4155063,8077663,16031297,32703005,65918405,132389030,258671056
701118,1263417,2174556,4109191,8082291,17627238,31603727,66656124,125725598,258716380
695604,1256792,2174233,4167706,8130527,16624953,31719142,64422635,132354354,258311233
698772,1271849,2187706,4133682,8099037,16163907,31669847,67171010,130761918,258688373
703552,1260975,2169225,4126536,8136628,16006971,31435459,66530282,130195154,258740489
697527,1267973,2167335,4115544,8113450,16358634,32045664,65911103,130419850,258508770
714987,1261432,2176195,4148940,8098398,17218568,31696003,66731719,129914616,251971756
717469,1258099,2188854,4114086,8066729,16999559,32409927,65847508,130323656,260026582
703091,1256528,2185300,4146596,8081925,17773710,32338525,66355935,130330027,258391536
699763,1256675,2165586,4163271,8119578,16931035,31738295,64253448,130846568,252187523
702117,1259681,2185727,4359795,8142476,17832455,32345173,67165903,129643010,259646309
704665,1253805,2183462,4221696,8135665,16853019,31598488,66785869,131111595,258295956
698875,1254695,2181461,4212517,8137322,17747428,31706784,65771410,130215046,258762354
699918,1247296,2194989,4174289,8071129,16891887,32163892,66452409,130801573,258422843
697928,1235343,2167897,4158874,8143227,17820005,31612992,64414672,127140461,252097537
698048,1262652,2164926,4141653,8145317,16672287,34067904,67066162,131172563,260846539
690475,1241578,2186376,4145711,8069924,16077554,32165932,66591428,131902682,258293723
701804,1244304,2169925,4094244,8108189,15962441,31598488,65794498,125956580,251795033
694875,1243044,2195046,4155609,8168709,16034204,34025277,66470813,132327413,260231240
704383,1236227,2176115,4109567,8140704,17842527,32183470,65679743,131027310,258618023
938791,1240685,2168081,4162812,8129902,16708555,31528247,66351289,130399331,252232310
710924,1240047,2181788,4145620,8085629,16064499,33979074,65760968,130924767,260643184
695406,1232852,2165402,4158554,8098404,17923792,31643458,66332958,129834486,258391936
704090,1237948,2155253,4147954,8071142,16768001,31346844,64312211,130624382,252112815
699464,1251523,2158110,4248716,8048958,17660915,31952504,67242671,127209238,259376771
703143,1230623,2156787,4185891,8063751,16625058,31503297,66584392,130158563,258710994
703397,1222457,2155544,4200602,8050012,16048514,33821516,65850589,131604591,258565131
701623,1232048,2162797,4192966,8059415,16517800,31535115,66540751,128643588,258768104
698107,1227453,2174547,6298661,8128990,15934532,31276677,65865787,131689611,258172219
708308,1223622,2183745,4685012,8028983,17565572,31909789,66677852,128518438,258664754
697719,1233885,2169573,4195017,8068033,16524271,31968825,65837749,131719111,258281181
703819,1229485,2179757,4204184,8079451,16019018,31511097,66473551,127664706,258663411
699492,1215129,2170865,4228125,8025442,19416422,34019968,65825584,131775557,252439374
701691,1236059,2346612,4205941,8088673,17177397,32237302,66469575,128705794,259376970
714479,1238924,2174940,4193566,8071416,18635513,31543228,65798089,131985187,258326604
709823,1214970,2156606,4183188,8066541,16996998,31215853,66554499,128428202,259033933
704604,1227801,2161803,4251326,8120582,16432284,31295641,64283465,131818965,258208878
697191,1230784,2245788,4213082,8051339,18298108,33973623,67242620,128664654,258820267
