b16,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144
22680,34359,40845,47368,54971,70152,181814,353389,765348,865618,3660146,6614316,12260526,25019808
22619,34885,34950,47278,55453,88066,214904,388452,759961,1228441,3628988,6564445,12278846,25728590
22335,33788,34815,48784,55669,66758,196428,390257,771726,1223537,3414862,6523610,12022410,25589464
33350,34254,36625,48603,55071,62716,182449,403722,785649,1210802,3645285,6188469,12263891,25307674
33662,33412,34435,45848,54209,62692,198359,411960,683063,1234378,3636397,6777705,12099386,25081789
32028,33674,34701,45962,55031,93987,207949,408523,747543,1250523,3502418,6880718,12422109,25886406
22781,37593,37227,44043,55625,65672,274089,368624,742180,1225005,3637113,6634393,12159338,25945719
22371,35463,38611,43403,54169,89977,161094,398545,746517,1200820,3620621,6447282,12354278,25731261
21647,41377,40141,44248,84686,69210,207628,387043,769165,1195240,3602767,6697372,12317094,25721863
21824,34946,35848,43303,54514,109199,184231,402670,782997,1198242,3416550,6305219,12124974,24893931
22192,41860,39464,45122,52014,69671,180064,474523,759413,1376544,3538299,6831046,12075002,25342130
22136,35421,40615,43189,50567,93490,167129,363538,745853,1350310,3561148,7002755,12312077,25122552
22227,39582,48908,47868,52614,94537,182243,392578,761424,1208916,10074564,6261251,11900623,25041207
21720,38356,37085,46051,52835,96019,163690,390368,721035,1196364,3580546,6606497,12509396,25471920
22042,40925,35932,45500,51264,95597,215907,388918,759139,1185813,3603843,6483538,12576177,25326583
21864,34276,38170,48467,101541,79389,127991,402406,766452,849861,3449079,6599444,12509619,25409630
21902,33770,38896,44186,66352,79409,206357,447256,763087,1212672,3596118,6285304,12421312,25215026
22359,38450,37217,42812,55278,108955,185242,387377,689468,1231746,4005521,6360713,12211271,25639665
21991,34089,35111,41850,49908,101380,207427,420075,761335,1210693,3584687,6131730,12861577,24894309
22498,41552,39472,46842,53146,92347,232011,414164,762387,1326138,3416320,6270455,12908736,24971847
21847,35804,37315,51914,52721,84194,180466,387810,778344,1292712,3593115,6242533,12896840,25435484
21845,35873,39738,43772,51027,75184,181745,390193,763687,1920690,3462675,6358268,12181651,25158294
21686,38657,38475,44120,51679,105799,201818,291763,760853,1969238,3742082,6108224,12168105,25157831
21510,34717,38004,47795,55386,70792,216683,385606,747578,1963489,3512216,6342994,12383541,24962217
21209,38386,42027,39530,51588,72698,196488,368193,762793,1909782,3501279,6480295,12394794,24924051
22049,37669,50365,44499,53902,93289,193324,378232,765661,1936359,3534042,6511270,12580357,24294669
21550,33976,38953,44498,53427,73540,195028,410821,773633,1924885,3500654,6490318,12366784,25236026
31694,38936,40612,42507,54209,75830,196281,378936,759694,1782282,3409029,6586553,12732478,25124101
31087,35714,44472,40094,87905,72543,190550,376919,762988,1789591,3487396,6322948,12740838,25311431
21671,36513,38797,46215,80482,93560,199234,400038,768613,1782771,3548048,6291700,12575958,25182505
21334,36485,37042,40183,74910,75422,210769,370979,763258,1800742,3358265,7248641,12675160,25012618
