SHIR FPGA b16,SHIR FPGA b64,SHIR FPGA b128,SHIR FPGA b256,SHIR FPGA b512,SHIR FPGA b1024,SHIR FPGA b2048,SHIR FPGA b4096,SHIR FPGA b8192,SHIR FPGA b16384,SHIR FPGA b32768,SHIR FPGA b65536,SHIR FPGA b131072,SHIR FPGA b262144
417784,534024,655175,1041003,2224769,4060628,10319042,19350026,30730547,75255413,141631108,279326578,562601538,1121327014
411766,478390,746791,988393,2307637,3526550,11164408,15079456,38198424,74582044,138266216,280329881,562473379,1137517744
412888,498142,678172,1020085,2788878,3256331,10670989,19376660,37738928,74313102,140765598,279418883,561541873,1137979743
420512,495235,652914,1017495,2175579,3570544,11173645,18173152,36611423,74348201,138391819,279594051,562117835,1141546420
389069,506099,684567,1047885,3118953,5324742,10356564,15934454,37431264,75352958,139456458,280636145,562084666,1144822971
397019,484007,670859,1075550,2163383,4229245,10744841,18438828,36502316,74697026,141145361,280731895,567953613,1147628443
409328,499741,652284,1012383,2126416,3521929,10498051,19190199,37677752,78596423,140161686,279529222,568475285,1140446517
395030,490588,671521,1044316,2690360,5612130,10555996,16534094,36421369,74129880,141679663,280460262,570536038,1148277377
387757,508369,650499,1080612,2165658,4181225,10545527,19382567,37611259,77620023,139908075,280437236,557853350,1128382874
387595,478575,650863,1082264,3165943,3578019,11074830,16350688,35998200,75464315,140859309,286957342,557262317,1134715805
408828,497457,689775,1076480,2123919,5605917,10477030,19230785,36536593,77043098,141007435,281109782,556810734,1144731709
403066,472867,658723,1042694,2143438,3723866,11099508,16541820,28873727,73336926,143402746,278067658,556096604,1135055943
404105,496308,667367,1038361,2632177,3401653,9806347,19256768,38344944,74604472,141215353,279582923,557066239,1115588801
387536,482905,673278,1075644,2144311,4125331,11434934,16514627,36087826,74097313,140146704,276808030,553939809,1133098188
408936,484177,676967,1047216,2989268,3516554,10558689,19259847,29861858,74312892,140212218,278116694,555864157,1127855980
402055,474112,647600,1076695,2022976,5714139,10863422,16647595,37854726,74166019,139567886,279480969,560520521,1114139020
394001,492647,663452,1078262,1980985,3707375,10525387,19526611,36293718,74331746,139707632,278997225,560726664,1132660084
389807,476943,672396,1075912,2436567,3326085,11027884,16528034,29462341,74125967,139131379,279698814,559305807,1134804166
390947,500937,667244,1093425,1965406,3846552,10463617,19491050,38523843,73826265,140518548,279831146,562856289,1114603305
392639,480549,695459,1040112,2995353,4067078,11151552,16054072,36221134,73839567,139719659,282630454,557149815,1127242414
392295,497895,656214,1077125,2555260,3659354,10364868,19249635,29600402,74003468,139354389,277656823,556745929,1128399420
