b16,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144
17790,13031,13491,15036,35921,65397,79450,125216,216650,402430,824277,1563358,3066838,5869531
16466,13792,13750,16122,39232,89812,92551,125234,217364,410101,829892,1800662,3213933,5741726
16959,13995,13562,15480,65739,74253,77995,125868,248837,410081,829878,1744030,4186210,5716520
23055,15026,13323,15047,37940,61027,109608,126803,224189,400610,777962,1793575,3335857,5927916
23108,13751,13365,14792,47307,54762,78771,124935,215649,402207,767107,1705924,3174735,5699563
23591,13797,13871,16007,29718,51250,79375,130139,213040,398389,771629,1591864,3077681,5843403
17891,12561,13462,15089,25045,42183,78477,125339,215913,400730,810088,1603068,3065488,5799608
17336,18186,12678,14544,27927,39029,76482,125872,235249,406243,778128,1584827,3094865,5683246
16958,12385,13274,14214,27583,38201,91025,123787,219858,408304,763146,1653416,3192824,5880322
16400,12198,13160,15034,30955,37056,94914,124382,224334,411523,775817,1667193,3170631,5729588
16727,12262,13168,14595,21505,36656,76538,138181,219609,403488,826922,1556835,3171924,5743422
16780,12378,19639,14476,21648,38239,80051,125723,227175,409880,969960,1565501,3086853,5836002
16712,12260,19254,14497,20816,38241,78784,128373,216135,408966,1113245,1849990,3059429,5721127
16944,12413,12913,14673,21600,40068,78513,125354,229958,402525,857551,1795265,3057730,5782803
16602,11856,13428,14619,19806,35270,75885,124342,229145,413453,838339,1752640,3202562,5842833
16994,11880,13151,17863,18544,37132,76090,124473,217106,411481,841061,1617110,3095924,5834114
16501,12263,12855,14253,20868,45228,80682,126670,216426,400914,861217,1587541,3048592,5767583
16086,12196,21633,14869,19283,38140,87926,127059,215399,400732,907735,1531180,3139607,7001254
16817,12270,13526,14543,21004,38337,77648,128660,225832,398138,840148,1511906,4349560,6962562
15856,12090,13692,14408,18588,39764,95748,124857,230245,400609,855996,1522914,2933205,6587074
15973,12427,13556,16081,18143,39207,91410,126343,218583,398701,858701,1500009,2923486,6548757
16260,12069,13851,16219,18940,44199,80967,124833,217218,404927,835590,1646420,3090762,6734271
16408,13452,13405,14444,18569,41061,78106,124747,229131,416846,865384,1480085,3179750,7759028
16013,12247,14158,19327,19907,39631,78950,127739,219767,400504,832356,1642870,3165511,5866786
16282,12467,13445,14583,18608,39906,78552,125719,218508,400329,833652,1588074,3131274,5752904
16024,12613,14514,14512,18983,41398,76100,125128,218281,403118,830457,1659087,3116509,8154975
21620,12202,14896,15913,19343,41063,80727,136488,215400,414145,828897,1487594,3096290,6588932
21968,12383,13685,14325,17616,39795,78244,130139,214723,402510,821042,1674888,3139077,6679046
17422,12392,13240,14428,20461,46963,78039,126563,216999,405944,854933,1849517,3186687,6641852
16450,13763,13636,14523,19441,39987,78689,125608,222941,407794,831473,1564303,3149003,6639941
16660,12454,13479,14355,19686,45516,91749,123386,212528,414729,814454,1751630,3145694,6666055
15808,13488,14732,14229,20573,50880,77148,126014,218174,401811,844302,1605719,3186160,6629371
15789,12169,13439,15086,27061,53802,77284,126187,217060,410798,832387,2727458,3079948,7747714
15922,13406,13504,15792,30328,52675,80001,128543,217462,414236,819518,1857447,3072350,6494420
15773,12045,13208,17095,30265,54229,96173,129178,218461,404034,840393,1773290,3106259,5938461
16330,13650,14369,15158,34367,54247,79578,126799,216611,409374,850280,1573397,3042668,6541296
15992,13691,13355,15193,29447,58859,75361,135437,218339,408150,845725,1763957,3111370,5826319
15555,12554,13096,15324,31994,53017,76898,138155,222530,395803,844655,1729834,3174663,6526871
15746,12194,13205,16733,37137,63166,93040,127136,216184,407225,822075,1833413,3086742,5840780
15723,12337,13362,16971,34857,53653,77291,127897,217913,408746,824993,1755289,3091506,6471559
15494,13462,13406,15411,31889,52718,75046,125553,228485,398006,854627,1574359,3074042,6506645
15861,12150,13630,14718,34430,53187,79798,127489,221488,401260,825301,1637845,3120894,6382043
15685,13601,14135,17145,33476,63983,79548,125561,216138,405543,835630,1713922,3049464,6560843
