SHIR FPGA 16,SHIR FPGA 32,SHIR FPGA 64,SHIR FPGA 128,SHIR FPGA 256,SHIR FPGA 512,SHIR FPGA 1024,SHIR FPGA 2048,SHIR FPGA 4096,SHIR FPGA 8192,SHIR FPGA 32768,SHIR FPGA 65536,SHIR FPGA 131072,SHIR FPGA 262144,SHIR FPGA 524288
349059,389482,472489,589429,805153,1331964,3096600,4630809,9782476,19372884,89476511,314569552,351160065,687687625,1383724938
336723,392057,467112,587095,829732,1345938,2530177,4572750,11054962,19445844,90105177,337396024,353010766,687501264,1341945645
344192,391970,474893,562170,801273,1312945,2518920,5127524,9758658,19457094,89589094,315581937,351402901,687100455,1340191192
347183,398602,476705,562766,809823,1320637,2492568,4923856,10557982,19470281,89315828,315127426,350880866,686295335,1340531191
340378,405663,469516,580786,799317,1327512,2407605,4826554,10358244,19387072,89550554,333226076,358679950,689005337,1337942359
335455,415294,463662,581709,832839,1320712,2986405,4719873,9884081,19367970,89098455,314500515,352984118,689554219,1347774574
350876,394449,457127,594719,801768,1313177,2455753,4718324,10870993,19411806,89411593,314691711,350970406,688642953,1344458056
333892,416097,468407,578794,829819,1291217,2523910,4652812,9808455,19471589,89078656,314639155,351312385,690053912,1341408082
340407,388920,454423,570709,829354,1297838,2409499,4683022,9871414,19602874,89341385,320304769,351567120,690176201,1329528360
346716,399906,512016,566590,865628,1323174,2444266,4629838,10542568,19456398,88800771,314605246,353703292,689306819,1336618209
340480,389428,471952,602479,866045,1302733,3076377,4842350,9977677,19373643,89759421,319082873,351945685,690063804,1340842194
331560,407705,424679,617359,857051,1300607,2425846,4625361,10432989,19395644,88659916,334100413,352624972,689992931,1349900375
354016,389962,432773,605355,837454,1329764,2427220,4653217,10490530,19443594,89795425,318899856,350493934,689654667,1337300672
333977,390056,430696,603910,840116,1391835,2455296,4608608,9833867,19482358,89113551,324968841,353346705,690031812,1333221356
348931,406359,424321,586872,836588,1362864,2436828,4782841,11052733,19298821,90031558,323688024,351719370,689253400,1340938472
339024,410121,435041,594003,867844,1381845,2966359,4954673,9953294,19288922,88962757,334747173,354231110,688336185,1332950584
329240,398158,445346,609728,831538,1398004,2497184,5091916,9873665,19270322,89875618,323036702,351346766,687766696,1320756663
327536,413505,430765,592538,864828,1400821,2444459,5095445,11060987,19311461,89508926,332016013,352780607,691849759,1332511254
331692,392675,421639,591629,837114,1347361,2403049,5042836,9981035,19321950,90083062,330167832,351234691,689333392,1335078157
326347,393237,426354,621645,890852,1601354,2442755,5021540,10692215,19373701,89250402,330652181,353100620,692149526,1323582246
334121,407922,435720,623695,886944,1555828,3039929,5008728,10536015,19390064,89463703,322793025,350882068,690269926,1323187401
334709,395604,433750,594538,898308,1586062,2427669,5136932,10014948,19270540,89463829,357263568,353290854,687586820,1340837630
329925,398394,417943,588825,863173,1475534,2479022,5211482,10951969,19258698,90093703,320677506,351634370,690854483,1342844715
340944,375024,429565,566348,855519,1328057,2746451,5083586,10093334,19278130,89049723,335609072,353696321,690189012,1343275940
326791,405398,416849,561956,886727,1366731,2488103,5035971,9954604,19256359,89561625,332251345,350307791,691092842,1352469607
329136,407301,422103,548959,858738,1392760,3150782,4985001,10788863,19327968,89060888,332566790,353940371,689516390,1329838659
504852,410739,416750,564749,838528,1368713,2570166,4969020,9815664,19313217,89474500,332982469,349814386,688601679,1334675458
435340,401649,429146,553106,891585,1351605,2540327,4924147,10772852,19285412,88932024,328472356,352711679,690909118,1336103902
387758,413355,425696,570053,854714,1340215,2514356,4942316,10589441,19227992,90113486,334691335,349537685,687226631,1346326092
378909,400059,419395,538405,902505,1354876,2444331,4836035,10097162,19125578,88868391,327754667,352437151,689796462,1338166600
408863,397062,426273,562129,830447,1450378,3090108,4881127,11137677,19182577,89894494,334202684,351353556,688623611,1334359788
370593,400380,425663,549574,841815,1418382,2478296,4848783,9897293,19233539,89222260,326520362,351857194,687072279,1313770394
373989,406703,417387,532435,857267,1437923,2505248,4826523,9861450,19283746,90041170,339744786,349507481,691117612,1325901947
364410,398619,434114,546803,841515,1407686,2465696,4807969,11056786,19345827,88654897,335830911,351006839,690932355,1326450238
374523,396695,417383,527120,855811,1406049,2423374,4880786,9795246,19362165,90032937,322401694,349805808,690454606,1321361227
371704,395257,431582,547640,829783,1401448,3081421,4860258,10712910,19242212,89093581,352685698,351429074,687991673,1344072829
373437,415433,515865,558189,820329,1409109,2509312,4828697,10680299,19249654,90072273,336547922,350119238,688162582,1337281505
372538,408337,467811,516921,843651,1419648,2463857,4749020,9868849,19343229,89100833,340285370,353151172,689598084,1334637129
373419,394176,460657,527911,828228,1414177,2454650,4804205,11089747,19297558,89671139,333999201,350657073,688554728,1357427485
373486,419015,462847,539003,852006,1405890,2483635,4829521,9971064,19242659,89026076,337684370,353770000,689814716,1337310000
370595,406441,494451,543317,820966,1510348,3084294,4932806,9834402,19491567,89802955,339337569,350050643,689247331,1358583324
363464,399629,454945,535487,896583,1502063,2569131,4898554,10962502,19366738,89342663,337745177,351708716,688019695,1340279009
378574,394748,433083,526921,883082,1519443,2475408,5524862,10045024,19377231,90074682,334506870,351519202,687551244,1329170279
315931,405380,486819,518334,872530,1478911,2464792,4928392,10519846,19428956,88982226,338341276,353506443,690747348,1333398897
310790,400532,454123,542957,898415,1491278,2502040,5862506,10407938,19423951,89935672,338202301,349485690,689110285,1337616034
310544,401127,435435,531560,865875,1508345,3143018,5500175,9912666,19298967,89260784,337888898,352758180,688033587,1362383256
311014,403967,429242,520013,854346,1566659,2570851,4872157,10823027,19465682,89842048,334647162,350393412,689370228,1329604786
314485,407187,429275,520649,908368,1521628,2598594,5399890,9868283,19407088,88920302,340110292,350389441,687868161,1340799759
305783,391876,464634,540055,843202,1589709,2511595,4823497,9801323,19540560,90001027,349218664,349979987,687679787,1342942163
304833,406906,450593,536313,841199,1534876,2548763,4757257,10766270,19333539,89464918,329361076,351653432,689438825,1344170094
316072,395483,421662,559139,821192,1495067,3072013,5478013,9808407,19435024,90381084,337533749,350847387,697298067,1331902105
304530,392053,431159,533210,829869,1656674,2579875,4916104,10457533,19307942,89363615,327915374,351580061,687075435,1337039685
315761,390235,413470,554492,812207,1551910,2558576,5886754,10545606,19568069,89673731,337404419,349555679,689568285,1329082090
302001,397447,424455,541192,854302,1523295,2425116,5433007,10103059,19378468,89012727,337189314,352897305,689441807,1336163051
307179,389154,426251,527390,843004,1520532,2481810,4900257,10862207,19494148,89992767,333299716,349643595,690720026,1320449150
320686,410724,426486,527942,861174,1593804,2993682,5343727,9964305,19424779,89269080,360487490,351565344,690400465,1336341365
319052,403141,428119,541663,836025,1619597,2574757,5069884,9837153,19445583,90187421,358707669,349999865,689161246,1335087992
308920,413682,423620,544504,850354,1545529,2495445,4853374,10827677,19420009,89681484,335167542,353370863,688634631,1341542594
308986,408363,419022,539942,945517,1491944,2517620,4742448,9805963,19439277,90029007,328852330,349389284,687799127,1342913862
310821,396887,422810,529390,925970,1666548,2523052,4718801,10509670,19434023,89621168,334722258,351633307,690877230,1337761336
317992,392449,425195,540160,905257,1609349,3119504,4692096,10639606,19447498,89304466,324744012,351123124,689835874,1341948817
305915,398802,425766,543280,912467,1540285,2557270,4533502,9999530,19447370,89424487,335857046,352794342,688133293,1346837416
439424,391727,414984,533796,896564,1549264,2524504,4659746,10711112,19490833,89211485,328550828,350948961,687432340,1325044676
378316,398967,415551,539057,900496,1505908,2459627,4593787,9895488,19433224,89234481,340734415,352689993,689995130,1342786066
360027,405613,410568,535752,853150,1609394,2570355,4660825,9882213,19514211,89159876,335129931,350302425,687881702,1335191167
387954,428405,453812,538195,836504,1484862,3165648,4509147,10820151,19452097,89166352,328745303,352484870,687315133,1334154881
373770,423005,498486,536436,835792,1357102,2557730,4673015,9895775,19439276,89189743,341645915,349872234,689104920,1344586217
350585,401519,445633,537770,844771,1374136,2564873,4520426,10497102,19398562,89114140,328820840,352579209,688338710,1333064633
287617,426426,427004,548201,813193,1381525,2530621,4613931,10370059,19484420,89533844,351767325,349362572,688450340,1366677278
293587,409357,441390,537436,852159,1402034,2493735,4776938,9950611,19186033,89363111,332654008,353045126,687521193,1338651105
288302,395954,433073,531786,835292,1404103,3050631,4956998,11309854,19322631,89249334,316513175,348843893,689848666,1343522482
294898,398297,436412,523385,836750,1365766,2571691,4870808,10131622,19358501,89266947,346709727,352918227,688286129,1333210442
285990,402153,408180,546933,830426,1377675,2571389,4908463,9980684,19220307,89189564,330911262,349900836,687361568,1334937209
284092,413391,426220,523220,838065,1382233,2526063,4847080,10998672,19210819,89204424,338156806,353076353,690255293,1337215690
285665,400137,422343,544324,856901,1382732,2442280,4980577,10239535,19183047,89391414,316455858,350202947,687935209,1346826122
