x86 inductor 16,x86 inductor 32,x86 inductor 64,x86 inductor 128,x86 inductor 256,x86 inductor 512,x86 inductor 1024,x86 inductor 2048,x86 inductor 4096,x86 inductor 8192,x86 inductor 16384,x86 inductor 32768,x86 inductor 65536,x86 inductor 131072,x86 inductor 262144,x86 inductor 524288
292177,392486,496646,348790,465270,491474,1694902,2470666,4905645,10601601,19605183,39325474,68494816,122172986,215109971,425759599
296869,380624,455627,380082,472453,507052,981993,4026767,6899362,10746943,19531480,37958509,67650345,121804918,213152384,417577777
308232,381770,506056,391994,487660,515968,2320228,2699302,5663090,10702575,19609757,39265056,68760083,120621380,212644534,396056428
295652,408511,444438,361395,445162,517026,1707904,2483735,5275133,10825348,19396260,39836635,67690719,123070447,215568743,418591795
308750,383921,491778,339161,464376,509560,954448,2973397,7651977,10719965,19577209,38496061,69146507,121393502,211506010,414780316
292544,409448,435243,342783,458619,519215,2311635,4724445,6267158,10768130,19401987,39730806,67708003,121453353,218389849,393551143
301096,380727,484535,396850,440992,475226,1665222,2321407,7543031,10810833,19468534,39184077,68714733,120653091,214864319,428608057
290001,385163,437662,367878,433053,497939,971696,4693967,7568809,10744509,19570038,39681563,67513131,120492844,222383797,403343980
296866,379641,501487,335282,447827,510476,2354612,2942229,4905715,10708908,19682637,39038143,68707216,120900426,215759526,437105304
303015,412916,446422,365769,439792,485475,1693665,4242374,7066238,10744480,19387603,39662602,67816226,121099189,213334836,415108621
300174,391873,492632,373841,425809,479364,936086,2859178,5938112,10623015,19733884,38573001,68290357,119982771,217641308,423193636
308940,388345,441174,355817,436250,492339,2307093,2620487,5164650,10751018,19612083,39444929,67831224,120798537,216269821,433352324
300700,356592,495962,341727,426470,473964,1651021,2580521,6542919,10674118,19839536,39101201,68652386,120728971,217544801,414558164
297442,397006,441983,359860,386057,486824,954394,4025473,5661250,10579701,19619723,37739996,68130068,119839582,217366348,427977764
301255,396048,501323,356426,408858,509545,2314409,1844728,7062187,10810677,19814468,37348437,68959005,121259680,218628727,427588013
291319,375664,416323,338614,399204,471449,1642895,4244896,7582364,10763953,19580733,37676144,68349774,121559290,220747759,431139643
304321,375916,489150,357468,403876,481343,978156,2565943,4920936,10682435,19764877,39062364,68851834,121015925,221723568,425501310
296573,376582,433303,368848,401752,515242,2335540,3994263,7482145,10639392,19610207,39888077,67700023,121232796,216281882,424601215
311678,383715,497693,379404,416035,485214,1680717,2770406,5581590,10841277,19893688,39111952,68843449,121224627,215304028,415613746
296513,467006,427355,389732,406388,490044,966174,2508880,5523868,10608779,19615424,40147491,67580146,120888819,216091793,429250312
308060,487794,555389,380218,418473,513805,2404857,2556526,7706577,10886594,19728515,37627904,69321733,120403444,221348954,413052666
