FP32 inductor 16,FP32 inductor 32,FP32 inductor 64,FP32 inductor 128,FP32 inductor 256,FP32 inductor 512,FP32 inductor 1024,FP32 inductor 2048,FP32 inductor 4096,FP32 inductor 8192,FP32 inductor 16384,FP32 inductor 32768,FP32 inductor 65536,FP32 inductor 131072,FP32 inductor 262144,FP32 inductor 524288
312729,500180,426596,409590,426766,733903,1079732,5629481,5991726,12408050,21533001,39246745,72872831,133546754,231051440,445213101
301699,493348,433103,412716,427328,726289,2355529,2965146,9092406,12177718,21764226,39200622,71659655,131307225,227139048,437772580
314821,502104,426350,423422,430024,751385,1781388,2967653,6316014,12278241,21789565,39351294,73306286,132517279,236918686,484906179
301779,499420,485733,417467,432017,814480,1054869,5288124,5850340,12223202,21767712,38984042,73189759,131155378,235519066,424039201
308709,492435,438711,416073,437237,749391,2358881,3617381,7396652,12532556,21839759,39267346,72245383,132935021,238183888,435077544
304708,469403,428711,440409,416042,729735,1859249,5966647,6377027,12257813,22000768,39113072,70025447,131880822,233032597,423026772
304202,467291,438099,418942,419597,735672,1068438,3232276,4995049,12460473,22000783,39591697,73567610,132342925,235888219,414743996
315600,476825,436231,421964,433670,730716,2560182,3205309,4781886,12509037,21900052,39360399,73297181,131157502,232815574,439326184
304297,418986,433163,407258,421586,720913,1791316,5527958,5593284,12257868,21845889,39112045,72131530,130964496,239291746,428115016
315045,420535,418773,405923,438421,709536,1064899,3021286,7585199,12389758,21926824,39131273,71738186,133581756,238581968,412734859
307158,426288,439685,421087,436339,784963,2555076,5557291,6974075,12476263,22075599,39173244,70269467,132233440,219348449,438133114
315632,409988,494132,412973,462897,819676,1753192,2824594,7581084,12277184,22005328,39329935,73164141,132419362,214290843,444391187
306737,432595,428705,414385,463266,720465,1102733,2832978,6404063,12241990,21856458,39207804,72676665,132035579,236952541,433019004
301664,406211,423114,429598,444220,774949,2335465,5275256,6941002,12408100,21986738,39092622,72218290,133959409,222232363,418523998
306648,436228,424660,429107,451568,716982,1778002,2811034,5842587,12391945,21977679,39219362,71754880,133057787,234298943,423937129
307333,409446,438810,420387,418362,710346,1101702,5271954,8120466,12260959,22028139,40283479,72728931,130207662,225456370,438764450
304180,418514,449907,419266,444192,716067,2545955,2710277,6091374,12563169,22181528,39972363,72639069,135593630,217370269,442742021
308409,415993,429984,418614,447770,693926,1819980,2831163,4689813,12410895,21944798,39785346,72550304,132635474,225126432,428266315
305361,414481,434995,415390,431858,699240,1098761,5093525,6922379,12422403,22000742,39633065,72811688,133077785,235627919,432234868
305100,415846,461986,420263,424763,691656,2536791,2793712,7117315,12471467,22077593,40312820,72892584,133314764,235849747,433220032
316882,415044,431445,425721,427979,700241,1782889,5212279,6139067,12364253,22092126,39355237,72990459,131028660,239908241,429610419
305811,411294,421838,409183,410840,721188,1103741,2711913,5968289,12462421,21880908,41432744,72945758,131856230,238337949,433771471
314573,422227,435092,429849,442637,706482,2560923,2861887,6688275,12527640,21944222,39455862,72967810,131742466,235847655,433315806
301734,424419,449292,425625,445060,696169,1805307,5120326,5697138,12395260,22021438,39663010,72375570,132378124,236268091,431573178
303486,413633,453616,408739,440959,673383,1066615,2800544,5389437,12473966,22178995,39756113,72742371,131906868,236086075,432217040
303006,426038,448296,419728,442547,709003,2556061,5214028,6362196,12490496,22035517,40386411,72887498,131659726,235850298,447071414
302393,422302,429556,419276,449857,726380,1795112,2740995,5972372,12332479,21333238,40138712,74669265,132834231,220886894,439914271
318916,413416,439416,410856,399499,710072,1069221,2849695,7835769,12378519,21923261,39802270,73440855,129729362,218156777,438269262
302783,406230,442880,428353,434827,712375,2615717,5107206,5988133,12428428,22073153,39467696,73084836,131157623,221602629,428929480
317098,395951,418320,432318,424476,705637,1797994,3166782,4515185,12484596,21864772,40157882,73158907,131719793,235039056,434415922
302658,427884,440411,453861,417065,745896,1092109,6026447,6537959,12546265,22055259,39180959,73561059,131876272,227353695,433789109
314143,409120,452417,451044,420559,693818,2520313,3269321,7171361,12643902,21964489,39751120,72730722,132049854,231398730,424631522
305902,408962,433290,414670,453069,681263,1808679,3166782,6296582,12561103,22086255,39862363,72887726,132431603,231930106,447155853
305106,418786,484032,415637,427620,692462,1077669,5670420,5984193,12447740,22153435,40060258,72747095,130062958,233096669,438437051
328186,423092,435361,413413,433298,686123,2573413,3069002,7395342,12432944,21984896,39686351,72737600,131908686,226767455,432258390
323006,418592,413183,421256,434241,715244,1801294,5597296,5879451,12531135,21932450,40343889,73009319,131084408,235435381,423949189
305168,415903,436233,437335,434778,695826,1107445,2848471,6506681,12402904,21914079,39428948,72312094,135097881,220499614,419220446
315728,410810,431029,414927,432940,723171,2358870,2881032,6025938,12400861,21892539,40008444,72769345,132865826,233970048,432753017
333559,409589,430405,434650,489551,694320,1801475,5224555,7896104,12447280,22025824,40062927,71973730,133038024,234318361,439006035
312561,421874,432269,424861,432106,760810,1122676,2831036,7798543,12383411,21909986,40012948,72099017,133301474,227863238,440675374
320618,413608,451699,415221,446051,713349,2607031,5373606,5041377,12507383,22027513,39909401,72421549,130918467,236953184,432499797
302348,426762,409228,425213,441678,775573,1875997,2882834,7285773,12189111,21860146,39667564,73063743,132818060,234845479,420695873
316745,415747,461693,418296,421113,648650,1168935,3636261,5926825,12237495,21913358,39727543,72996131,134085683,242398068,431854617
298554,410910,456518,394279,438485,615203,2741383,5450277,7265315,12294888,21960845,39865957,73015701,132412406,236704513,431581055
304840,391090,440587,428069,448677,656284,2059956,3225628,5893995,12456445,21761224,40548383,73405080,132690542,234834188,437410041
303179,410254,435142,409239,422939,600611,1176456,5546049,7525616,12234092,21836031,39836582,73127577,132403189,232186124,464735733
303870,415713,1767050,424064,432620,623066,2736641,2954396,5900458,12276862,21913589,39529114,72538652,132648425,235037454,433403934
309670,399990,444882,428320,402993,633994,1951489,3004825,7261319,12581514,21944810,39838795,72913954,134211086,217617142,435175821
301717,425624,440818,417610,459750,608572,1178261,5357651,5967068,12562840,21863364,40584051,72515250,132616259,216043191,432997005
310932,406699,431852,420883,440467,617662,2716471,3032964,7411073,12336054,21924743,39725447,68764196,135057864,227428737,419384936
303233,466977,441238,414867,429916,618174,1995128,5313115,5898043,12281884,21929753,39970929,72912838,133581635,236849590,430548073
312434,438300,438395,418152,440453,619135,1167537,2931814,5671867,12392376,21854804,39740463,73143929,133252730,237065927,441355415
307137,439499,421446,429605,446553,610577,2737431,2926623,7325619,12328734,21771178,39997682,73089374,132805097,221923958,437821752
309339,430210,439657,420463,423505,616348,1933630,5211067,7262202,12467752,21824718,39825680,72536335,133280448,224844928,408339154
301621,458537,444931,439682,435611,623367,1190321,3025713,6590036,12426421,21847632,40032953,74040366,133132667,215941858,456201216
309301,417304,473195,429377,418856,664049,2665672,5348170,7424899,12387922,21923888,39710839,72700138,132411923,234196235,435427645
302441,425991,431809,422122,447309,721972,1927128,2938553,5899890,12112686,21882413,39396189,72540414,130780516,235697836,407054599
324725,437719,443039,428662,417708,655502,1190364,2932357,7345791,12588253,21964448,40124594,72723353,131644106,236439129,409803253
301928,425529,434601,409669,440322,633692,2735865,5195928,5865322,12210309,21828675,40264561,72730775,132801210,237654814,440157658
301151,448794,438206,417250,436219,641278,1898394,3477084,7340917,12295640,21778024,39569794,73035706,131581897,234458532,433406041
304237,443529,443747,411247,438909,618136,1162001,6196811,5918505,12224455,21695532,39644286,75066411,132907255,239017426,433031750
311113,416575,422833,425602,451265,632863,2681164,3479345,7347391,12480072,21926434,39534743,73012675,131480963,235057909,415951735
