b16,b32,b64,b128,b256,b512,b1024,b2048,b4096,b8192,b16384,b32768,b65536,b131072,b262144,b524288
19479,28062,32108,36758,44468,42537,50642,104766,201239,516195,1000900,2900800,5872707,22301765,21781002,41882393
20149,27790,30100,36009,45832,42140,52068,115522,195855,537258,1035022,2970182,5825600,17925866,21751582,42522102
19737,27632,32259,37070,44777,49342,52367,104582,172214,534252,1008333,2909430,5746589,22363269,21807426,42513749
19526,27788,29391,38214,43417,49161,52266,107686,175637,536379,1017891,2921860,5771968,18568215,21914035,42801408
20208,45701,29898,39491,43938,43811,50839,144715,184649,522840,1004091,2984439,5939622,22697856,21876031,41269156
19188,34386,29157,36883,41032,47477,49131,112202,229951,516782,1002836,2900536,5722492,18752546,21827253,43431001
19850,34047,28158,39562,42171,45573,51890,120712,204514,553930,998994,2917086,5712040,22399967,21799282,41585666
19977,33857,28559,34017,42288,44411,51062,119971,184881,538222,1007087,2906348,5755356,18800514,21907110,42251297
19903,45670,28510,36238,41902,44764,52780,133181,179909,547467,1005673,2923261,5835855,22289274,21847476,43689425
19352,34180,28984,35712,42317,47565,50198,102876,263207,528351,1008979,2934991,5745608,20693278,21828001,42331568
19520,33671,40560,43926,43151,43984,55138,99932,255118,535921,984631,2924118,5756223,24644146,21732094,42917503
20119,33791,36369,36190,42232,45004,52323,115896,282342,548918,993838,2893788,5757600,20735634,21842314,43009050
19660,33918,28977,36313,41905,44628,57066,99945,238989,512085,1000070,2913360,5762387,22259560,21800168,43220453
18866,33941,28970,35585,53567,42349,52888,111780,203577,535363,994779,2946513,5869770,26207767,21933330,42453635
19010,37066,28229,37909,45099,45247,56662,105144,222502,520752,985955,2975066,5607685,23035906,21894680,44239687
19488,33111,29452,37535,42165,42174,49781,108240,188779,512757,988953,2933408,5627118,21433794,21724057,42339289
18644,32916,29703,36621,42736,45853,60425,118031,197637,515062,990862,2931305,5544480,22882261,21627791,42050151
18863,32789,30502,36410,44401,42088,52304,105764,270983,524364,1001086,3944529,5624554,21206027,21839483,42653723
18499,33019,29155,37014,44441,46681,58405,108089,280331,519807,1000611,2966737,5711366,22839449,21862470,43047081
18927,32582,28756,37476,46395,42699,53130,97283,257483,525611,1000208,3924575,5511106,21425209,21871493,42806043
18889,32856,29178,37671,43995,47152,58720,90033,301044,554052,992493,2916992,5579105,22825255,22247138,42741218
18841,32304,29301,36339,41481,41946,49580,110623,285475,519446,989933,2896291,5579286,21285500,22193087,43843030
19121,32535,29884,37798,44773,43796,63286,93115,298766,536451,995535,2908196,5634457,22916261,22375096,42794587
18687,32917,36293,37472,43300,42573,59761,112660,279437,551682,1002979,2895193,5548471,21335585,22098794,42799354
19139,32575,30318,37125,44366,44563,50626,109296,283781,538223,1003846,3895708,5621913,22971155,21871465,42997408
18877,32706,31099,35863,43453,43981,72870,96924,274182,532446,1008329,2894912,5487681,21513025,21755291,44394926
18733,32765,28665,36722,42523,51443,64284,113986,265869,545082,990710,2939392,5541760,22912682,21865342,42995844
19044,31964,29919,36789,43256,50709,62378,100717,310866,512565,992111,2912164,5490358,21342536,21809908,42313601
19149,24661,30327,34678,42657,52758,59803,106217,267559,544581,989682,3913701,5540624,22825703,21872544,43592800
18872,24492,29524,35741,47500,49850,58119,93131,277887,510997,994347,2933882,5563913,21547501,21827063,43848645
19992,24900,30425,37533,46837,52681,63052,94731,282528,509119,987517,2924117,5591921,22896316,21769160,43413404
29644,24327,30171,35106,43142,51881,55192,109182,294135,544769,980103,2892976,5547280,21606416,21688147,43792492
25922,24839,30941,38316,42660,50542,74875,91263,264404,526506,1003936,2894494,5585718,22934514,21870031,40814701
18675,25155,30891,35338,41394,50527,58094,103665,307401,536109,995992,2897150,5618333,21409281,21782677,38950860
18689,25152,31181,40209,51176,50214,52859,95602,275843,519025,984901,2920842,5556011,24134824,21844476,42812788
18403,24189,29305,46196,42923,50788,54070,93325,286605,532193,998051,2890575,5620544,20573867,21789672,42647741
19058,24810,29018,39072,42955,52351,50386,140035,254336,508526,989408,3917806,5604798,22940817,21798925,41670388
18662,25147,29430,38424,44320,58160,57405,104212,291058,538777,1000299,2855846,5480072,20366772,21773471,42457327
18521,25449,28633,36874,42863,58319,55974,113358,270802,565680,988642,2920419,5523249,22968706,21902185,42688527
18533,24734,30306,37981,41110,49556,64751,118019,283139,522547,996611,2891149,5613851,20264270,21786852,43488207
18590,24290,29371,36855,44791,46902,52644,140837,274881,528786,992491,2950374,5524896,22849473,21820428,42514034
18279,25138,32089,36046,44147,50959,49749,143341,292158,536543,975267,2896575,5591899,20116303,21795851,42773492
18579,24914,30589,41678,42451,46217,60293,134080,278657,548977,998066,3905555,5571582,21843218,21827509,43276116
18211,24887,30828,35082,40850,46445,60162,142189,278562,518485,1006071,2896889,5607072,20118638,21779446,44332106
19638,24808,30993,38043,43504,46561,50125,123783,263319,550873,996003,2946862,5523376,22990086,21827344,41817296
18530,24290,29608,37741,45107,51503,50493,121645,264383,546056,1001550,2891684,5527841,20204732,21850248,41736282
18330,24811,32047,37512,44001,45993,50839,121228,274433,541258,1006214,2892442,5456043,23018224,21923243,41097937
18425,24434,30131,34007,159114,48285,58855,147579,295997,523895,984582,2900010,5495165,20453917,21801617,43720183
18225,24899,29801,36697,53108,47388,52950,210669,261270,546656,989217,2889308,5581668,21641679,21865894,42562856
