x86 inductor b16,x86 inductor b32,x86 inductor b64,x86 inductor b128,x86 inductor b256,x86 inductor b512,x86 inductor b1024,x86 inductor b2048,x86 inductor b4096,x86 inductor b8192,x86 inductor b16384,x86 inductor b32768,x86 inductor b65536,x86 inductor b131072,x86 inductor b262144,x86 inductor b524288
365586,662944,779047,492369,602241,949301,1711168,4398760,13163522,25170366,45333985,82574033,92812107,259801927,433750677,753617147
353841,655205,797769,496941,580265,954441,1709971,5637819,15280422,25331611,45660842,82893532,151258236,259434692,392659315,752041639
364685,656238,813236,499815,602316,944796,1697147,4292472,15018424,25021153,42777763,82322311,149598259,271042925,402899790,741140617
354409,645196,790859,483734,604071,937212,1701917,4857495,14697238,26226664,45952192,82999006,141028428,258295221,451279026,714063820
353173,647366,794251,481862,601366,967473,1704930,4607050,15062565,25374665,45497856,82235510,150673466,270285222,446728922,667707156
371225,655119,788887,486353,606102,976656,1678841,4850372,10858499,25192374,48788644,82803460,143468913,263728725,398723212,646914718
345008,648249,777174,496077,593028,936525,1705534,3858608,14938626,25213361,45464578,82103609,151073700,259419597,396445592,696494995
351504,640087,804009,501345,601938,933637,1718170,4923584,11740477,25092970,45329846,83138069,141155230,276795174,437684957,700318835
383672,641004,800012,506648,583090,937916,1707962,3817865,12917414,26126256,45365822,82407517,150029672,275640132,437246409,715951993
373258,642483,794068,475626,592364,954476,1680045,4804613,14778956,25263304,45877233,82756762,146873399,265716693,419275152,678479568
344052,638468,807644,477941,605255,949463,1673776,3842084,11516582,25145254,45220128,82701230,141334335,265450017,444988969,715691895
363434,645383,795507,472411,580697,955765,1690152,4942985,14457439,25033392,45225488,82872718,152953919,263996505,450709470,660843570
344310,655840,791522,493204,611858,939440,1670936,3945921,14742302,25093668,45190150,82364085,155090671,266824291,463330320,760073987
342072,630233,774903,463250,588884,947712,1693302,4925414,10838630,25060761,45061542,82935062,140042451,261169144,365251556,663930284
345609,643773,786515,464940,615525,942138,1644314,3982493,14967992,24972070,45262831,82958297,152844793,257789919,440754996,700146980
342842,643298,792752,487164,626893,945763,1670153,5006343,11661731,24912391,50489970,81871769,148878494,266196694,433308777,695795424
351165,636908,801488,498579,608775,947023,1650464,4016706,10291889,25021641,45074005,82195426,158214795,267276303,416711890,729065018
346831,639930,802222,508383,618106,938676,1666611,5050979,11065133,25156653,45114402,82388471,148639753,258376277,420388154,707649961
355028,663675,791500,472747,624005,928764,1630049,4026387,13090148,24990947,45585732,81921032,152262173,274300073,402428096,721178765
340298,649964,778376,470508,633883,930009,1658706,5003927,12875968,25055800,45179664,82228512,151605282,269383687,428768471,663943059
346622,658658,803992,478189,635164,943918,1641679,3999016,11881642,24863413,45374086,82197509,145502917,269121255,443731481,660564787
339695,647417,793291,468682,667474,941086,1683508,4975312,12090268,25126769,45321790,82564995,157704174,283028885,454040342,704374317
343415,638763,779420,474453,669360,942860,1703565,3970003,13051008,25006850,45305347,82076971,145979216,259119905,442896553,759876479
358417,624866,798942,485584,639885,950169,1662580,5214083,9858168,25026657,45149325,82587271,151412618,246839162,415977551,660223949
331886,639583,786852,483664,597833,943020,1682220,4180045,8862111,25214323,45385874,82028090,152278917,272845910,440178637,682060906
342122,643353,775937,498157,588156,950801,1652197,5041683,14783692,25084241,45257857,83094111,157396448,275788109,444575837,683210358
356003,640700,792824,494597,606002,938843,1653038,6921075,11573378,25208009,45123025,82144304,149513772,270652422,437192096,651064999
331531,665135,1000909,488825,614410,940244,1633666,7616561,14618568,24996812,45332343,82125163,160709462,255869854,440487784,687706639
329234,662522,1058023,523377,600089,927694,1653524,6170970,13167857,25184464,45703677,82476244,140797381,274041114,422007064,660379075
331041,638983,795886,478987,580676,942487,1653388,6673310,9670545,24931651,44927012,82537355,148650045,268634763,402948513,705145099
342230,643545,793978,475941,591699,940394,1638743,5394785,10926724,24969798,45097873,82106782,141803167,275447948,374127634,709085847
333926,644309,799300,485168,600442,954420,1641911,6033530,13092081,26127687,45347820,82352511,147398682,257186898,401746244,753518696
339045,640228,808568,497543,591172,949575,1655166,4839661,10746965,25193296,44984612,81655606,148487857,264079724,420995645,736685050
329701,651098,785010,472879,584341,945267,1620053,5733405,14659935,25103416,45366222,82190247,136929801,258616868,448126139,648367846
339237,658878,791496,502310,596886,947482,1650129,4528417,11492538,25014517,45089777,81566959,156276530,268667039,404418631,726309248
332142,652481,796398,498217,593536,970622,1656873,5502771,14556498,25018509,45298931,82723017,160214115,243698247,441220718,703099919
330999,643540,797990,496140,594552,937537,1622660,4300743,14969456,25113413,44937643,81790881,129917434,264138831,422846480,740158604
332003,593799,793815,482230,579354,944307,1634525,5197490,10256673,25391107,48408005,82119237,144792910,262782969,430059045,732672952
331727,530446,801050,503542,651975,1025278,1667634,4150084,14900748,25363095,45469428,81801245,141447120,271584423,443104285,746882072
341134,539479,800488,489182,615184,1001864,1682514,5774431,11664765,25054082,51858709,81865804,152437158,261187992,433684069,679928761
334329,527060,803657,509154,589432,988171,1682416,4142268,12964182,25099973,45729314,81583378,141217767,268413785,388060766,639159298
397555,533763,801965,491087,584838,948904,1694542,5040318,14124217,25097098,49028611,81865728,155352604,268125387,446052445,684400833
450105,546000,795024,478319,601869,1032016,1707359,3876805,13419737,26272812,45312312,81931431,142099459,271514400,414735234,756096045
447849,557914,800834,497476,607306,997386,1706920,4972557,13152515,25140698,50972196,81767110,142520371,259306713,443392178,763887995
462846,575953,803920,478175,593691,945721,1699282,3935084,12060581,25062232,45387609,82032969,141001226,265857126,446159617,787805678
454536,551054,798237,476201,594712,952965,1725287,4964537,12440032,26144298,46159884,82322527,153995988,273799150,439728397,650521722
467983,532859,808028,473150,607184,943437,1703248,3906104,13302678,24992606,45591457,81476419,151106064,273835882,435824122,670416217
342151,556941,812442,472563,595866,968460,1658729,5049227,13113040,25187072,45373141,81878968,148808005,269343167,394067131,689519626
344088,564815,787520,479027,597259,1161335,1689440,3884875,12241946,26015772,45511245,83284169,141503039,272507694,412429030,759586548
323742,530604,807296,488168,599737,972492,1685927,4979569,14867093,25138578,45936464,84672753,153249786,263016636,447332573,750398512
330583,532304,801533,486162,579838,970429,1691788,3890221,13147676,25175134,45450658,82862011,151455155,258109081,433390320,672466625
322206,546452,817067,488837,597687,971867,1700426,4971858,13168008,25300006,50396897,84102045,152844343,266599227,412719807,719583621
333703,541367,800839,492616,593143,972334,1706193,4268156,11544273,25143621,45443528,83000728,146592873,269501309,368459444,750558635
324438,534959,825631,496765,604618,966448,1681171,5064849,12342282,25154544,45882614,84279168,147831576,274173475,432451021,690401414
324294,536242,807738,476528,591505,986894,1728313,3974875,12658792,25225301,45455323,83396951,144822537,271459140,409615587,727637568
327063,538244,801356,475953,598406,997972,1707796,4967708,12956872,25161564,49003138,84410952,152256137,262971202,443034207,681432792
325656,558816,797872,487841,589847,939285,1717854,3915319,11564127,25126350,45500800,83222748,150268950,256282931,431862842,714142374
320647,541357,823546,481654,583137,932349,1676136,4975459,11515037,25254030,45191629,84074014,150085331,260352585,440189888,739406134
322737,547999,796907,496801,597128,943792,1699752,3878987,13269731,25063466,45216507,83342444,148969944,256117396,362304252,660585565
334163,568251,792471,490053,591269,954729,1718108,4996549,13218411,26334781,47805618,84087264,144702975,278403245,440717775,688410159
322036,538966,810880,499070,593006,937074,1690097,3890815,11539761,25362445,44981978,83022815,140432652,263398413,448083605,713632707
332102,533636,785464,470793,603261,955236,1683163,8068763,12253622,25140046,47508639,84181940,152381080,256697694,437898084,731304189
322244,526481,789465,521342,602031,945294,1679919,5827238,13354699,25191123,45145491,82919769,150707349,270753777,432008612,733805913
365375,526255,809410,504773,630298,941620,1698765,6697414,11613337,25161751,45621603,84569466,143602962,263925390,451013289,752269784
337449,538851,806183,493174,594330,991306,1699441,5166521,12794915,25267476,45066253,83181318,150247769,269096406,432798015,693757799
323942,541764,804396,486163,594770,941500,1681238,6072589,13304301,25142098,45181645,84300282,150316816,265552548,436406896,698559971
324542,542893,796607,470648,601132,929459,1658411,4699172,9863111,25069573,45252273,83133910,149967324,263914439,431131203,731377220
