FP32 inductor b16,FP32 inductor b32,FP32 inductor b64,FP32 inductor b128,FP32 inductor b256,FP32 inductor b512,FP32 inductor b1024,FP32 inductor b2048,FP32 inductor b4096,FP32 inductor b8192,FP32 inductor b16384,FP32 inductor b32768,FP32 inductor b65536,FP32 inductor b131072,FP32 inductor b262144,FP32 inductor b524288
315695,501873,542705,474187,557855,729815,1286142,4389867,10571312,18312363,33329110,61710413,109967486,201480880,306701707,593179500
323269,488172,577641,528977,569320,858313,1353231,4494649,9433628,18555947,32926717,62181133,107608364,199555778,310888508,606161186
323121,499691,549898,514179,560190,744370,1285553,4312752,9358135,17808682,33121252,61741316,110057180,199019805,330653658,599432585
317695,496741,561751,511342,560875,706096,1378635,4488105,9373451,18451687,32907543,61914673,108664225,199924881,341498775,614400941
323133,499054,556171,495085,550959,719978,1278096,5002376,10830196,18351179,33206432,61418056,110524435,196356402,314336900,556300066
316971,494325,551388,481798,546419,693958,1267925,4444741,8602193,18577751,32837336,61905094,109712824,196310313,319462097,580153126
321555,499558,546867,470845,557666,714115,1267370,4405169,9314000,18357442,33228888,60975444,110584015,200166260,310157739,619066274
321573,488471,547119,473255,545633,693414,1340212,4992337,10561569,17756666,25356714,61713433,108608074,194080326,333432854,596707605
320452,492919,550259,462893,548830,696343,1313865,4426187,9374073,18486713,33106684,61399291,110517778,200374107,320292725,625457711
319258,495608,549187,472327,549740,805840,1302563,4927765,9377088,18517410,32898036,61975620,109529743,196565509,330630071,589773050
313043,492809,542104,490383,558957,811879,1301762,4469535,9397920,18566999,33238761,61820820,110797731,199196740,309725667,629895003
317109,508870,546525,492439,553453,781259,1279431,4447611,10575860,18493667,32940836,61601748,109813087,202180317,308661198,576711373
317479,530521,551848,487800,554928,783293,1301722,5048523,8983095,18584298,33499699,61870229,110842617,195312121,349141338,623270538
326462,496159,552331,471058,546187,776900,1360749,4440390,9224489,18462470,33005218,62150424,109300220,200644745,309112127,573190815
314736,502289,547532,474884,556918,775536,1298041,4865562,9334099,18426961,33353973,61580714,111452886,196207019,295171181,585129733
322777,498047,557414,474757,552553,764268,1323944,4467367,9275305,18443386,33032956,62161584,109895811,194533208,308883124,631852097
315603,497766,555058,473433,559524,786357,1305235,4448492,9466536,18340887,33325415,60107621,111004489,202799829,335318377,621805703
324429,498417,561225,482445,554549,763555,1384951,5016095,9414260,18441926,33019891,59845908,109701009,197219400,300328993,619770787
316073,505694,548620,478167,557320,782537,1275007,4540475,10578640,18347870,33249078,60792673,110401815,201581601,309380426,578835375
317496,503892,529757,466319,556474,803528,1335920,4769216,9345235,18399162,32831025,61756672,108832878,200574589,311618570,588867667
312752,498584,570782,471794,547388,789418,1318112,4203688,8317480,17730706,33020660,61081203,109928809,196481886,344308592,549630857
317264,491004,579737,463125,564262,793889,1343279,4262788,8761471,18422721,32778091,60929256,109516933,199240277,345463046,553811910
322183,499433,557979,471197,561229,785958,1284465,4883909,9265657,18356927,33056234,61087917,108496004,195984115,340396752,551208709
317048,488528,567378,462375,560561,788236,1310960,4370782,9507409,18255100,32788626,60954696,107966601,200441096,339695050,572204034
318107,500974,570584,469515,571287,797912,1280906,7377136,7821216,18113786,33248925,60901672,109842894,196243771,320244513,572784455
317854,489589,563873,465260,587515,775723,1303374,6065885,7207541,18385054,32810651,61840954,108301609,201714545,344970238,553133049
