FP32 eager b16,FP32 eager b32,FP32 eager b64,FP32 eager b128,FP32 eager b256,FP32 eager b512,FP32 eager b1024,FP32 eager b2048,FP32 eager b4096
153358,258811,446596,753912,1405240,2670302,4880259,9341991,19948972
152977,259852,431433,756656,1404734,2588834,4931566,9380054,17671607
152108,260741,435634,742176,1460012,2660644,4868420,9348930,17825435
152665,261246,429595,746176,1420561,2622901,4869726,9375370,19451487
147259,256881,430601,746260,1408375,2615287,5032898,9551837,17570201
155254,262255,435050,750818,1401929,2642202,4832659,9362623,17791766
154850,250451,451805,745330,1483372,3211087,4876463,9389866,19529177
154508,257901,429820,761826,1393345,2654128,4891540,9359617,17728866
148613,256709,442711,761246,1410277,2650428,4920587,9314327,17314491
149784,258256,496910,815589,1397355,2574378,4867465,9336174,19189053
153211,263058,440414,737126,1412526,2566923,4903071,9397808,17831658
154828,254169,436752,754547,1393001,2632903,4906214,9309222,17671820
150766,257254,422745,749285,1402731,2588486,4899398,9287826,19695395
153175,259548,434243,740340,1394162,2610955,4783461,9369793,17796224
150752,259860,438410,755669,1419494,2594654,4847464,9328940,17946960
153852,256647,421531,742797,1420754,2577847,4864666,9328542,19402515
153163,252363,430933,735916,1455073,2617503,4764296,9338328,17544456
154253,258485,438592,754467,1393675,2590542,4861094,9368723,17938713
226940,256144,432493,752785,1408544,2606300,4888230,9734966,19527498
155233,259358,443016,757526,1394195,2593673,4910748,9324734,17797549
156099,258817,449285,747231,1407738,2601551,4923363,9369502,17720178
154143,258910,433716,757224,1396190,2572354,4971391,9325137,19789322
156429,262272,452325,758689,1405305,2594074,4924695,9344776,17747792
154839,256008,437290,750829,1398302,2577122,4920555,9246045,17867968
148153,262694,425952,751010,1410533,2667551,4910591,9268048,19463946
155941,253703,445741,748602,1455787,2634369,4813404,9331149,17536681
163689,258776,452293,751755,1413408,2643311,4905162,9245361,17887660
153260,266889,442839,744165,1399221,2569122,4785870,9333982,19292904
151581,253235,449640,812809,1457097,2542779,4863974,9376664,17499965
156174,255591,442518,751665,1428353,2549488,4883767,9363237,17507318
153368,262451,428360,749437,1410963,2691030,4886279,9395633,19044497
150421,257607,440368,754329,1387096,2577151,4838030,9918723,17657531
148198,252474,448997,745415,1408157,2571079,4877521,9391527,17747838
154169,259483,428532,763572,1421918,2659741,4807046,9416838,19427022
151180,259725,437302,746563,1484556,2657819,4856864,9313880,17809220
154526,257789,446655,757567,1416182,2585982,4881942,9393011,17947011
153194,262870,445896,746332,1419909,2619758,4847500,9384739,19542929
155346,258967,426975,756904,1397058,2568744,4928989,9382923,17930490
153701,254040,453141,750953,1423285,2543529,4901126,9328917,17777526
151509,255538,450191,746451,1393213,2567163,4863534,9286410,19430761
153256,255050,429316,745465,1406143,2662443,4801643,9380453,17764063
157068,255668,440643,756589,1401647,2596023,4822753,9283055,17765939
154713,258349,430228,743599,1400618,2626538,4861554,9352097,19361376
153230,324447,432581,755965,1396109,2582414,4877477,9325017,17637014
151846,261553,451456,754370,1480705,2580492,4872199,9278633,17603177
157053,259089,426452,764629,1423050,2574236,4883191,9521126,19326774
152058,257262,432291,751808,1402612,2553975,4842257,9375656,17853506
156700,263633,431366,754746,1401951,2595697,4871217,9305237,17373233
150872,263197,437543,747293,1406118,2624743,4960992,9382172,19325158
151842,257304,443322,754926,1392151,2616745,4905524,9304952,17745786
